Epoch 000	LOSS: 55.22	MAE: 55.30	RMSE: 56.16
Epoch 001	LOSS: 54.57	MAE: 54.67	RMSE: 55.53
Epoch 002	LOSS: 54.00	MAE: 54.02	RMSE: 54.89
Epoch 003	LOSS: 53.32	MAE: 53.34	RMSE: 54.23
Epoch 004	LOSS: 52.38	MAE: 52.64	RMSE: 53.53
Epoch 005	LOSS: 52.04	MAE: 51.90	RMSE: 52.81
Epoch 006	LOSS: 51.27	MAE: 51.14	RMSE: 52.06
Epoch 007	LOSS: 50.26	MAE: 50.36	RMSE: 51.29
Epoch 008	LOSS: 49.61	MAE: 49.54	RMSE: 50.48
Epoch 009	LOSS: 48.84	MAE: 48.70	RMSE: 49.65
Epoch 010	LOSS: 47.85	MAE: 47.83	RMSE: 48.80
Epoch 011	LOSS: 46.99	MAE: 46.94	RMSE: 47.91
Epoch 012	LOSS: 46.01	MAE: 46.01	RMSE: 47.00
Epoch 013	LOSS: 45.03	MAE: 45.06	RMSE: 46.06
Epoch 014	LOSS: 44.12	MAE: 44.09	RMSE: 45.09
Epoch 015	LOSS: 43.01	MAE: 43.09	RMSE: 44.10
Epoch 016	LOSS: 42.28	MAE: 42.07	RMSE: 43.08
Epoch 017	LOSS: 41.24	MAE: 41.02	RMSE: 42.04
Epoch 018	LOSS: 40.07	MAE: 39.96	RMSE: 40.98
Epoch 019	LOSS: 38.90	MAE: 38.88	RMSE: 39.89
Epoch 020	LOSS: 37.61	MAE: 37.77	RMSE: 38.78
Epoch 021	LOSS: 36.87	MAE: 36.65	RMSE: 37.64
Epoch 022	LOSS: 35.62	MAE: 35.51	RMSE: 36.48
Epoch 023	LOSS: 34.34	MAE: 34.35	RMSE: 35.31
Epoch 024	LOSS: 33.10	MAE: 33.17	RMSE: 34.12
Epoch 025	LOSS: 32.13	MAE: 31.99	RMSE: 32.90
Epoch 026	LOSS: 30.87	MAE: 30.79	RMSE: 31.68
Epoch 027	LOSS: 29.60	MAE: 29.57	RMSE: 30.43
Epoch 028	LOSS: 28.47	MAE: 28.35	RMSE: 29.17
Epoch 029	LOSS: 27.31	MAE: 27.11	RMSE: 27.90
Epoch 030	LOSS: 26.00	MAE: 25.86	RMSE: 26.62
Epoch 031	LOSS: 24.52	MAE: 24.61	RMSE: 25.32
Epoch 032	LOSS: 23.47	MAE: 23.34	RMSE: 24.03
Epoch 033	LOSS: 22.12	MAE: 22.06	RMSE: 22.72
Epoch 034	LOSS: 20.76	MAE: 20.78	RMSE: 21.42
Epoch 035	LOSS: 19.54	MAE: 19.48	RMSE: 20.12
Epoch 036	LOSS: 18.29	MAE: 18.19	RMSE: 18.83
Epoch 037	LOSS: 16.94	MAE: 16.88	RMSE: 17.55
Epoch 038	LOSS: 15.63	MAE: 15.57	RMSE: 16.30
Epoch 039	LOSS: 14.35	MAE: 14.27	RMSE: 15.09
Epoch 040	LOSS: 13.02	MAE: 12.97	RMSE: 13.93
Epoch 041	LOSS: 11.70	MAE: 11.68	RMSE: 12.86
Epoch 042	LOSS: 10.50	MAE: 10.41	RMSE: 11.89
Epoch 043	LOSS: 9.24	MAE: 9.19	RMSE: 11.06
Epoch 044	LOSS: 8.10	MAE: 8.04	RMSE: 10.41
Epoch 045	LOSS: 7.03	MAE: 7.01	RMSE: 9.98
Epoch 046	LOSS: 6.17	MAE: 6.17	RMSE: 9.78
Epoch 047	LOSS: 5.42	MAE: 5.58	RMSE: 9.79
Epoch 048	LOSS: 5.20	MAE: 5.28	RMSE: 9.95
Epoch 049	LOSS: 5.05	MAE: 5.22	RMSE: 10.15
Epoch 050	LOSS: 5.02	MAE: 5.26	RMSE: 10.32
Epoch 051	LOSS: 5.20	MAE: 5.30	RMSE: 10.41
Epoch 052	LOSS: 5.04	MAE: 5.27	RMSE: 10.35
Epoch 053	LOSS: 5.10	MAE: 5.22	RMSE: 10.14
Epoch 054	LOSS: 5.04	MAE: 5.24	RMSE: 10.29
Epoch 055	LOSS: 5.14	MAE: 5.22	RMSE: 10.17
Epoch 056	LOSS: 5.13	MAE: 5.22	RMSE: 10.18
Epoch 057	LOSS: 5.03	MAE: 5.22	RMSE: 10.21
Epoch 058	LOSS: 5.18	MAE: 5.20	RMSE: 10.13
Epoch 059	LOSS: 4.91	MAE: 5.17	RMSE: 10.05
Epoch 060	LOSS: 4.82	MAE: 5.08	RMSE: 9.76
Epoch 061	LOSS: 4.93	MAE: 5.03	RMSE: 9.92
Epoch 062	LOSS: 4.72	MAE: 5.01	RMSE: 9.74
Epoch 063	LOSS: 4.79	MAE: 4.99	RMSE: 9.83
Epoch 064	LOSS: 4.66	MAE: 4.98	RMSE: 9.79
Epoch 065	LOSS: 5.07	MAE: 5.34	RMSE: 10.50
Epoch 066	LOSS: 4.75	MAE: 4.98	RMSE: 9.76
Epoch 067	LOSS: 4.89	MAE: 4.98	RMSE: 9.85
Epoch 068	LOSS: 4.80	MAE: 4.99	RMSE: 9.66
Epoch 069	LOSS: 4.74	MAE: 4.95	RMSE: 9.83
Epoch 070	LOSS: 4.75	MAE: 4.97	RMSE: 9.69
Epoch 071	LOSS: 4.77	MAE: 4.94	RMSE: 9.78
Epoch 072	LOSS: 4.72	MAE: 4.94	RMSE: 9.77
Epoch 073	LOSS: 4.75	MAE: 4.92	RMSE: 9.70
Epoch 074	LOSS: 4.69	MAE: 4.91	RMSE: 9.72
Epoch 075	LOSS: 4.67	MAE: 4.92	RMSE: 9.66
Epoch 076	LOSS: 4.72	MAE: 4.91	RMSE: 9.67
Epoch 077	LOSS: 4.65	MAE: 4.91	RMSE: 9.73
Epoch 078	LOSS: 4.59	MAE: 4.90	RMSE: 9.71
Epoch 079	LOSS: 4.63	MAE: 4.91	RMSE: 9.69
Epoch 080	LOSS: 4.68	MAE: 4.91	RMSE: 9.71
Epoch 081	LOSS: 4.73	MAE: 4.93	RMSE: 9.66
Epoch 082	LOSS: 4.58	MAE: 4.92	RMSE: 9.61
Epoch 083	LOSS: 4.67	MAE: 4.94	RMSE: 9.54
Epoch 084	LOSS: 4.58	MAE: 4.93	RMSE: 9.55
Epoch 085	LOSS: 4.62	MAE: 4.93	RMSE: 9.62
Epoch 086	LOSS: 4.70	MAE: 5.01	RMSE: 9.42
Epoch 087	LOSS: 4.62	MAE: 4.92	RMSE: 9.55
Epoch 088	LOSS: 4.65	MAE: 4.91	RMSE: 9.65
Epoch 089	LOSS: 4.64	MAE: 4.91	RMSE: 9.59
Epoch 090	LOSS: 4.62	MAE: 4.90	RMSE: 9.62
Epoch 091	LOSS: 4.62	MAE: 4.92	RMSE: 9.53
Epoch 092	LOSS: 4.61	MAE: 4.92	RMSE: 9.52
Epoch 093	LOSS: 4.44	MAE: 4.91	RMSE: 9.56
Epoch 094	LOSS: 4.58	MAE: 4.94	RMSE: 9.49
Epoch 095	LOSS: 4.57	MAE: 4.92	RMSE: 9.50
Epoch 096	LOSS: 4.62	MAE: 4.93	RMSE: 9.50
Epoch 097	LOSS: 4.72	MAE: 4.91	RMSE: 9.53
Epoch 098	LOSS: 4.60	MAE: 4.91	RMSE: 9.53
Epoch 099	LOSS: 4.56	MAE: 4.92	RMSE: 9.54
Epoch 100	LOSS: 4.59	MAE: 4.92	RMSE: 9.52
Epoch 101	LOSS: 4.50	MAE: 4.94	RMSE: 9.47
Epoch 102	LOSS: 4.51	MAE: 4.91	RMSE: 9.56
Epoch 103	LOSS: 4.58	MAE: 4.91	RMSE: 9.58
Epoch 104	LOSS: 4.54	MAE: 4.94	RMSE: 9.49
Epoch 105	LOSS: 4.55	MAE: 4.93	RMSE: 9.48
Epoch 106	LOSS: 4.65	MAE: 4.91	RMSE: 9.51
Epoch 107	LOSS: 4.57	MAE: 4.92	RMSE: 9.55
Epoch 108	LOSS: 4.57	MAE: 4.91	RMSE: 9.57
Epoch 109	LOSS: 4.52	MAE: 4.94	RMSE: 9.52
Epoch 110	LOSS: 4.59	MAE: 4.92	RMSE: 9.47
Epoch 111	LOSS: 4.42	MAE: 4.93	RMSE: 9.48
Epoch 112	LOSS: 4.50	MAE: 4.92	RMSE: 9.52
Epoch 113	LOSS: 4.49	MAE: 4.92	RMSE: 9.54
Epoch 114	LOSS: 4.57	MAE: 4.95	RMSE: 9.48
Epoch 115	LOSS: 4.58	MAE: 4.96	RMSE: 9.50
Epoch 116	LOSS: 4.49	MAE: 4.92	RMSE: 9.54
Epoch 117	LOSS: 4.55	MAE: 4.94	RMSE: 9.53
Epoch 118	LOSS: 4.57	MAE: 4.96	RMSE: 9.46
Epoch 119	LOSS: 4.51	MAE: 4.94	RMSE: 9.51
Epoch 120	LOSS: 4.61	MAE: 4.91	RMSE: 9.54
Epoch 121	LOSS: 4.58	MAE: 4.92	RMSE: 9.52
Epoch 122	LOSS: 4.56	MAE: 4.92	RMSE: 9.49
Epoch 123	LOSS: 4.60	MAE: 4.94	RMSE: 9.43
Epoch 124	LOSS: 4.52	MAE: 4.92	RMSE: 9.51
Epoch 125	LOSS: 4.53	MAE: 4.93	RMSE: 9.54
Epoch 126	LOSS: 4.71	MAE: 5.03	RMSE: 10.06
Epoch 127	LOSS: 4.62	MAE: 4.91	RMSE: 9.52
Epoch 128	LOSS: 4.61	MAE: 4.95	RMSE: 9.47
Epoch 129	LOSS: 4.71	MAE: 4.88	RMSE: 9.48
Epoch 130	LOSS: 4.77	MAE: 4.98	RMSE: 10.01
Epoch 131	LOSS: 4.62	MAE: 4.89	RMSE: 9.60
Epoch 132	LOSS: 4.56	MAE: 4.88	RMSE: 9.61
Epoch 133	LOSS: 4.56	MAE: 4.86	RMSE: 9.63
Epoch 134	LOSS: 4.55	MAE: 4.86	RMSE: 9.54
Epoch 135	LOSS: 4.55	MAE: 4.90	RMSE: 9.35
Epoch 136	LOSS: 4.62	MAE: 4.90	RMSE: 9.23
Epoch 137	LOSS: 4.41	MAE: 4.83	RMSE: 9.43
Epoch 138	LOSS: 4.54	MAE: 4.83	RMSE: 9.28
Epoch 139	LOSS: 4.50	MAE: 4.88	RMSE: 9.17
Epoch 140	LOSS: 4.42	MAE: 4.82	RMSE: 9.33
Epoch 141	LOSS: 4.49	MAE: 4.83	RMSE: 9.30
Epoch 142	LOSS: 4.47	MAE: 4.82	RMSE: 9.27
Epoch 143	LOSS: 4.44	MAE: 4.83	RMSE: 9.20
Epoch 144	LOSS: 4.53	MAE: 4.83	RMSE: 9.27
Epoch 145	LOSS: 4.51	MAE: 4.81	RMSE: 9.28
Epoch 146	LOSS: 4.42	MAE: 4.80	RMSE: 9.27
Epoch 147	LOSS: 4.44	MAE: 4.81	RMSE: 9.23
Epoch 148	LOSS: 4.51	MAE: 4.82	RMSE: 9.43
Epoch 149	LOSS: 4.59	MAE: 4.93	RMSE: 9.08
Epoch 150	LOSS: 4.56	MAE: 4.84	RMSE: 9.17
Epoch 151	LOSS: 4.48	MAE: 4.85	RMSE: 9.15
Epoch 152	LOSS: 4.33	MAE: 4.82	RMSE: 9.27
Epoch 153	LOSS: 4.50	MAE: 4.79	RMSE: 9.33
Epoch 154	LOSS: 4.50	MAE: 4.83	RMSE: 9.23
Epoch 155	LOSS: 4.50	MAE: 4.81	RMSE: 9.16
Epoch 156	LOSS: 4.48	MAE: 4.78	RMSE: 9.30
Epoch 157	LOSS: 4.54	MAE: 4.83	RMSE: 9.15
Epoch 158	LOSS: 4.46	MAE: 4.82	RMSE: 9.17
Epoch 159	LOSS: 4.43	MAE: 4.80	RMSE: 9.18
Epoch 160	LOSS: 4.43	MAE: 4.85	RMSE: 9.15
Epoch 161	LOSS: 4.44	MAE: 4.80	RMSE: 9.23
Epoch 162	LOSS: 4.38	MAE: 4.79	RMSE: 9.25
Epoch 163	LOSS: 4.45	MAE: 4.88	RMSE: 9.04
Epoch 164	LOSS: 4.49	MAE: 4.79	RMSE: 9.25
Epoch 165	LOSS: 4.46	MAE: 4.80	RMSE: 9.16
Epoch 166	LOSS: 4.41	MAE: 4.79	RMSE: 9.18
Epoch 167	LOSS: 4.47	MAE: 4.79	RMSE: 9.18
Epoch 168	LOSS: 4.34	MAE: 4.79	RMSE: 9.13
Epoch 169	LOSS: 4.38	MAE: 4.80	RMSE: 9.14
Epoch 170	LOSS: 4.52	MAE: 4.80	RMSE: 9.14
Epoch 171	LOSS: 4.41	MAE: 4.81	RMSE: 9.11
Epoch 172	LOSS: 4.51	MAE: 4.81	RMSE: 9.11
Epoch 173	LOSS: 4.39	MAE: 4.80	RMSE: 9.16
Epoch 174	LOSS: 4.45	MAE: 4.79	RMSE: 9.17
Epoch 175	LOSS: 4.39	MAE: 4.81	RMSE: 9.12
Epoch 176	LOSS: 4.52	MAE: 4.88	RMSE: 9.02
Epoch 177	LOSS: 4.53	MAE: 4.78	RMSE: 9.19
Epoch 178	LOSS: 4.43	MAE: 4.80	RMSE: 9.13
Epoch 179	LOSS: 4.43	MAE: 4.78	RMSE: 9.20
Epoch 180	LOSS: 4.54	MAE: 4.84	RMSE: 9.10
Epoch 181	LOSS: 4.47	MAE: 4.79	RMSE: 9.22
Epoch 182	LOSS: 4.38	MAE: 4.84	RMSE: 9.07
Epoch 183	LOSS: 4.46	MAE: 4.79	RMSE: 9.20
Epoch 184	LOSS: 4.43	MAE: 4.81	RMSE: 9.10
Epoch 185	LOSS: 4.39	MAE: 4.80	RMSE: 9.15
Epoch 186	LOSS: 4.43	MAE: 4.81	RMSE: 9.09
Epoch 187	LOSS: 4.46	MAE: 4.80	RMSE: 9.11
Epoch 188	LOSS: 4.43	MAE: 4.77	RMSE: 9.20
Epoch 189	LOSS: 4.40	MAE: 4.79	RMSE: 9.10
Epoch 190	LOSS: 4.49	MAE: 4.81	RMSE: 9.09
Epoch 191	LOSS: 4.41	MAE: 4.79	RMSE: 9.11
Epoch 192	LOSS: 4.44	MAE: 4.78	RMSE: 9.13
Epoch 193	LOSS: 4.51	MAE: 4.78	RMSE: 9.13
Epoch 194	LOSS: 4.40	MAE: 4.77	RMSE: 9.15
Epoch 195	LOSS: 4.40	MAE: 4.77	RMSE: 9.16
Epoch 196	LOSS: 4.50	MAE: 4.82	RMSE: 9.04
Epoch 197	LOSS: 4.40	MAE: 4.80	RMSE: 9.12
Epoch 198	LOSS: 4.35	MAE: 4.78	RMSE: 9.13
Epoch 199	LOSS: 4.47	MAE: 4.77	RMSE: 9.17
Epoch 200	LOSS: 4.44	MAE: 4.79	RMSE: 9.10
Epoch 201	LOSS: 4.46	MAE: 4.78	RMSE: 9.12
Epoch 202	LOSS: 4.46	MAE: 4.77	RMSE: 9.18
Epoch 203	LOSS: 4.49	MAE: 4.84	RMSE: 9.01
Epoch 204	LOSS: 4.45	MAE: 4.76	RMSE: 9.19
Epoch 205	LOSS: 4.38	MAE: 4.77	RMSE: 9.11
Epoch 206	LOSS: 4.35	MAE: 4.79	RMSE: 9.08
Epoch 207	LOSS: 4.43	MAE: 4.77	RMSE: 9.12
Epoch 208	LOSS: 4.32	MAE: 4.78	RMSE: 9.12
Epoch 209	LOSS: 4.45	MAE: 4.80	RMSE: 9.06
Epoch 210	LOSS: 4.38	MAE: 4.77	RMSE: 9.16
Epoch 211	LOSS: 4.53	MAE: 4.81	RMSE: 9.05
Epoch 212	LOSS: 4.43	MAE: 4.76	RMSE: 9.16
Epoch 213	LOSS: 4.39	MAE: 4.77	RMSE: 9.14
Epoch 214	LOSS: 4.39	MAE: 4.80	RMSE: 9.03
Epoch 215	LOSS: 4.42	MAE: 4.78	RMSE: 9.10
Epoch 216	LOSS: 4.52	MAE: 4.77	RMSE: 9.11
Epoch 217	LOSS: 4.56	MAE: 4.78	RMSE: 9.08
Epoch 218	LOSS: 4.43	MAE: 4.75	RMSE: 9.19
Epoch 219	LOSS: 4.40	MAE: 4.80	RMSE: 9.00
Epoch 220	LOSS: 4.49	MAE: 4.77	RMSE: 9.10
Epoch 221	LOSS: 4.39	MAE: 4.78	RMSE: 9.05
Epoch 222	LOSS: 4.50	MAE: 4.77	RMSE: 9.08
Epoch 223	LOSS: 4.30	MAE: 4.77	RMSE: 9.15
Epoch 224	LOSS: 4.55	MAE: 4.80	RMSE: 9.02
Epoch 225	LOSS: 4.44	MAE: 4.76	RMSE: 9.10
Epoch 226	LOSS: 4.44	MAE: 4.78	RMSE: 9.02
Epoch 227	LOSS: 4.42	MAE: 4.77	RMSE: 9.06
Epoch 228	LOSS: 4.34	MAE: 4.77	RMSE: 9.05
Epoch 229	LOSS: 4.42	MAE: 4.75	RMSE: 9.15
Epoch 230	LOSS: 4.47	MAE: 4.79	RMSE: 9.03
Epoch 231	LOSS: 4.43	MAE: 4.77	RMSE: 9.11
Epoch 232	LOSS: 4.41	MAE: 4.78	RMSE: 9.04
Epoch 233	LOSS: 4.38	MAE: 4.77	RMSE: 9.08
Epoch 234	LOSS: 4.39	MAE: 4.77	RMSE: 9.06
Epoch 235	LOSS: 4.51	MAE: 4.77	RMSE: 9.09
Epoch 236	LOSS: 4.48	MAE: 4.77	RMSE: 9.08
Epoch 237	LOSS: 4.37	MAE: 4.76	RMSE: 9.09
Epoch 238	LOSS: 4.39	MAE: 4.77	RMSE: 9.07
Epoch 239	LOSS: 4.36	MAE: 4.80	RMSE: 9.00
Epoch 240	LOSS: 4.46	MAE: 4.76	RMSE: 9.14
Epoch 241	LOSS: 4.43	MAE: 4.78	RMSE: 9.06
Epoch 242	LOSS: 4.42	MAE: 4.77	RMSE: 9.08
Epoch 243	LOSS: 4.37	MAE: 4.75	RMSE: 9.15
Epoch 244	LOSS: 4.52	MAE: 4.83	RMSE: 8.96
Epoch 245	LOSS: 4.47	MAE: 4.77	RMSE: 9.16
Epoch 246	LOSS: 4.37	MAE: 4.79	RMSE: 9.01
Epoch 247	LOSS: 4.37	MAE: 4.76	RMSE: 9.13
Epoch 248	LOSS: 4.48	MAE: 4.79	RMSE: 9.04
Epoch 249	LOSS: 4.40	MAE: 4.78	RMSE: 9.09
Epoch 250	LOSS: 4.47	MAE: 4.78	RMSE: 9.07
Epoch 251	LOSS: 4.40	MAE: 4.78	RMSE: 9.04
Epoch 252	LOSS: 4.44	MAE: 4.76	RMSE: 9.09
Epoch 253	LOSS: 4.48	MAE: 4.77	RMSE: 9.05
Epoch 254	LOSS: 4.39	MAE: 4.76	RMSE: 9.07
Epoch 255	LOSS: 4.37	MAE: 4.78	RMSE: 9.07
Epoch 256	LOSS: 4.50	MAE: 4.77	RMSE: 9.07
Epoch 257	LOSS: 4.46	MAE: 4.78	RMSE: 9.05
Epoch 258	LOSS: 4.42	MAE: 4.76	RMSE: 9.06
Epoch 259	LOSS: 4.43	MAE: 4.78	RMSE: 9.02
Epoch 260	LOSS: 4.30	MAE: 4.75	RMSE: 9.10
Epoch 261	LOSS: 4.47	MAE: 4.76	RMSE: 9.09
Epoch 262	LOSS: 4.53	MAE: 4.77	RMSE: 9.04
Epoch 263	LOSS: 4.43	MAE: 4.75	RMSE: 9.10
Epoch 264	LOSS: 4.39	MAE: 4.75	RMSE: 9.06
Epoch 265	LOSS: 4.40	MAE: 4.77	RMSE: 9.04
Epoch 266	LOSS: 4.39	MAE: 4.78	RMSE: 9.04
Epoch 267	LOSS: 4.44	MAE: 4.79	RMSE: 9.02
Epoch 268	LOSS: 4.50	MAE: 4.74	RMSE: 9.19
Epoch 269	LOSS: 4.43	MAE: 4.80	RMSE: 8.98
Epoch 270	LOSS: 4.54	MAE: 4.75	RMSE: 9.10
Epoch 271	LOSS: 4.50	MAE: 4.77	RMSE: 9.03
Epoch 272	LOSS: 4.45	MAE: 4.75	RMSE: 9.09
Epoch 273	LOSS: 4.40	MAE: 4.79	RMSE: 8.98
Epoch 274	LOSS: 4.38	MAE: 4.76	RMSE: 9.15
Epoch 275	LOSS: 4.41	MAE: 4.79	RMSE: 8.99
Epoch 276	LOSS: 4.48	MAE: 4.75	RMSE: 9.10
Epoch 277	LOSS: 4.49	MAE: 4.75	RMSE: 9.16
Epoch 278	LOSS: 4.45	MAE: 4.80	RMSE: 8.99
Epoch 279	LOSS: 4.33	MAE: 4.75	RMSE: 9.11
Epoch 280	LOSS: 4.43	MAE: 4.76	RMSE: 9.12
Epoch 281	LOSS: 4.43	MAE: 4.78	RMSE: 9.02
Epoch 282	LOSS: 4.41	MAE: 4.76	RMSE: 9.07
Epoch 283	LOSS: 4.42	MAE: 4.76	RMSE: 9.12
Epoch 284	LOSS: 4.45	MAE: 4.78	RMSE: 9.04
Epoch 285	LOSS: 4.41	MAE: 4.78	RMSE: 9.02
Epoch 286	LOSS: 4.47	MAE: 4.76	RMSE: 9.09
Epoch 287	LOSS: 4.50	MAE: 4.77	RMSE: 9.05
Epoch 288	LOSS: 4.33	MAE: 4.77	RMSE: 9.03
Epoch 289	LOSS: 4.41	MAE: 4.75	RMSE: 9.12
Epoch 290	LOSS: 4.42	MAE: 4.76	RMSE: 9.06
Epoch 291	LOSS: 4.48	MAE: 4.77	RMSE: 9.03
Epoch 292	LOSS: 4.48	MAE: 4.76	RMSE: 9.06
Epoch 293	LOSS: 4.43	MAE: 4.77	RMSE: 9.05
Epoch 294	LOSS: 4.37	MAE: 4.76	RMSE: 9.07
Epoch 295	LOSS: 4.47	MAE: 4.76	RMSE: 9.07
Epoch 296	LOSS: 4.43	MAE: 4.76	RMSE: 9.07
Epoch 297	LOSS: 4.41	MAE: 4.77	RMSE: 9.04
Epoch 298	LOSS: 4.41	MAE: 4.77	RMSE: 9.07
Epoch 299	LOSS: 4.39	MAE: 4.76	RMSE: 9.05
Epoch 300	LOSS: 4.46	MAE: 4.78	RMSE: 9.05
Epoch 301	LOSS: 4.45	MAE: 4.78	RMSE: 9.02
Epoch 302	LOSS: 4.47	MAE: 4.76	RMSE: 9.05
Epoch 303	LOSS: 4.39	MAE: 4.76	RMSE: 9.08
Epoch 304	LOSS: 4.49	MAE: 4.77	RMSE: 9.03
Epoch 305	LOSS: 4.49	MAE: 4.75	RMSE: 9.07
Epoch 306	LOSS: 4.45	MAE: 4.76	RMSE: 9.05
Epoch 307	LOSS: 4.38	MAE: 4.76	RMSE: 9.04
Epoch 308	LOSS: 4.44	MAE: 4.76	RMSE: 9.11
Epoch 309	LOSS: 4.34	MAE: 4.77	RMSE: 9.08
Epoch 310	LOSS: 4.52	MAE: 4.78	RMSE: 9.04
Epoch 311	LOSS: 4.35	MAE: 4.75	RMSE: 9.15
Epoch 312	LOSS: 4.45	MAE: 4.78	RMSE: 9.03
Epoch 313	LOSS: 4.38	MAE: 4.76	RMSE: 9.07
Epoch 314	LOSS: 4.42	MAE: 4.77	RMSE: 9.03
Epoch 315	LOSS: 4.39	MAE: 4.77	RMSE: 9.05
Epoch 316	LOSS: 4.46	MAE: 4.78	RMSE: 9.01
Epoch 317	LOSS: 4.45	MAE: 4.76	RMSE: 9.06
