Epoch 000	LOSS: 220.22	MAE: 250.16	RMSE: 293.76
Epoch 001	LOSS: 216.19	MAE: 248.96	RMSE: 292.69
Epoch 002	LOSS: 216.18	MAE: 248.61	RMSE: 292.39
Epoch 003	LOSS: 216.25	MAE: 248.36	RMSE: 292.18
Epoch 004	LOSS: 219.14	MAE: 248.12	RMSE: 291.96
Epoch 005	LOSS: 217.99	MAE: 247.87	RMSE: 291.75
Epoch 006	LOSS: 217.38	MAE: 247.62	RMSE: 291.53
Epoch 007	LOSS: 216.41	MAE: 247.36	RMSE: 291.31
Epoch 008	LOSS: 216.06	MAE: 247.10	RMSE: 291.08
Epoch 009	LOSS: 217.56	MAE: 246.83	RMSE: 290.85
Epoch 010	LOSS: 215.21	MAE: 246.56	RMSE: 290.62
Epoch 011	LOSS: 218.55	MAE: 246.29	RMSE: 290.38
Epoch 012	LOSS: 213.00	MAE: 246.01	RMSE: 290.13
Epoch 013	LOSS: 213.13	MAE: 245.73	RMSE: 289.89
Epoch 014	LOSS: 217.49	MAE: 245.44	RMSE: 289.64
Epoch 015	LOSS: 215.94	MAE: 245.15	RMSE: 289.38
Epoch 016	LOSS: 214.00	MAE: 244.85	RMSE: 289.13
Epoch 017	LOSS: 214.21	MAE: 244.55	RMSE: 288.87
Epoch 018	LOSS: 213.82	MAE: 244.25	RMSE: 288.60
Epoch 019	LOSS: 212.10	MAE: 243.94	RMSE: 288.33
Epoch 020	LOSS: 213.13	MAE: 243.63	RMSE: 288.06
Epoch 021	LOSS: 212.98	MAE: 243.31	RMSE: 287.78
Epoch 022	LOSS: 211.74	MAE: 242.99	RMSE: 287.50
Epoch 023	LOSS: 214.25	MAE: 242.67	RMSE: 287.22
Epoch 024	LOSS: 212.70	MAE: 242.34	RMSE: 286.93
Epoch 025	LOSS: 208.03	MAE: 242.01	RMSE: 286.64
Epoch 026	LOSS: 207.78	MAE: 241.67	RMSE: 286.34
Epoch 027	LOSS: 211.15	MAE: 241.33	RMSE: 286.04
Epoch 028	LOSS: 209.71	MAE: 240.98	RMSE: 285.74
Epoch 029	LOSS: 209.23	MAE: 240.63	RMSE: 285.43
Epoch 030	LOSS: 209.96	MAE: 240.28	RMSE: 285.12
Epoch 031	LOSS: 209.17	MAE: 239.92	RMSE: 284.81
Epoch 032	LOSS: 205.64	MAE: 239.56	RMSE: 284.49
Epoch 033	LOSS: 205.52	MAE: 239.20	RMSE: 284.17
Epoch 034	LOSS: 206.95	MAE: 238.83	RMSE: 283.85
Epoch 035	LOSS: 205.00	MAE: 238.46	RMSE: 283.52
Epoch 036	LOSS: 203.79	MAE: 238.08	RMSE: 283.19
Epoch 037	LOSS: 207.29	MAE: 237.70	RMSE: 282.85
Epoch 038	LOSS: 205.31	MAE: 237.32	RMSE: 282.51
Epoch 039	LOSS: 210.03	MAE: 236.93	RMSE: 282.17
Epoch 040	LOSS: 211.23	MAE: 236.54	RMSE: 281.83
Epoch 041	LOSS: 202.67	MAE: 236.15	RMSE: 281.48
Epoch 042	LOSS: 206.48	MAE: 235.75	RMSE: 281.13
Epoch 043	LOSS: 206.78	MAE: 235.35	RMSE: 280.77
Epoch 044	LOSS: 204.75	MAE: 234.94	RMSE: 280.42
Epoch 045	LOSS: 203.31	MAE: 234.54	RMSE: 280.06
Epoch 046	LOSS: 203.65	MAE: 234.13	RMSE: 279.69
Epoch 047	LOSS: 200.56	MAE: 233.71	RMSE: 279.32
Epoch 048	LOSS: 202.89	MAE: 233.30	RMSE: 278.95
Epoch 049	LOSS: 200.46	MAE: 232.88	RMSE: 278.58
Epoch 050	LOSS: 200.77	MAE: 232.45	RMSE: 278.20
Epoch 051	LOSS: 201.01	MAE: 232.02	RMSE: 277.82
Epoch 052	LOSS: 198.51	MAE: 231.59	RMSE: 277.44
Epoch 053	LOSS: 197.82	MAE: 231.16	RMSE: 277.05
Epoch 054	LOSS: 197.21	MAE: 230.73	RMSE: 276.66
Epoch 055	LOSS: 198.00	MAE: 230.29	RMSE: 276.27
Epoch 056	LOSS: 200.30	MAE: 229.85	RMSE: 275.88
Epoch 057	LOSS: 199.31	MAE: 229.40	RMSE: 275.48
Epoch 058	LOSS: 197.34	MAE: 228.95	RMSE: 275.08
Epoch 059	LOSS: 196.96	MAE: 228.50	RMSE: 274.68
Epoch 060	LOSS: 197.70	MAE: 228.05	RMSE: 274.27
Epoch 061	LOSS: 197.24	MAE: 227.60	RMSE: 273.86
Epoch 062	LOSS: 198.78	MAE: 227.14	RMSE: 273.45
Epoch 063	LOSS: 193.53	MAE: 226.68	RMSE: 273.03
Epoch 064	LOSS: 195.26	MAE: 226.21	RMSE: 272.62
Epoch 065	LOSS: 196.01	MAE: 225.75	RMSE: 272.20
Epoch 066	LOSS: 196.29	MAE: 225.28	RMSE: 271.77
Epoch 067	LOSS: 195.10	MAE: 224.81	RMSE: 271.35
Epoch 068	LOSS: 194.58	MAE: 224.33	RMSE: 270.92
Epoch 069	LOSS: 190.02	MAE: 223.86	RMSE: 270.49
Epoch 070	LOSS: 193.88	MAE: 223.38	RMSE: 270.05
Epoch 071	LOSS: 193.66	MAE: 222.90	RMSE: 269.62
Epoch 072	LOSS: 191.63	MAE: 222.41	RMSE: 269.18
Epoch 073	LOSS: 189.98	MAE: 221.93	RMSE: 268.74
Epoch 074	LOSS: 195.18	MAE: 221.44	RMSE: 268.29
Epoch 075	LOSS: 193.19	MAE: 220.95	RMSE: 267.84
Epoch 076	LOSS: 190.11	MAE: 220.46	RMSE: 267.39
Epoch 077	LOSS: 187.71	MAE: 219.96	RMSE: 266.94
Epoch 078	LOSS: 189.53	MAE: 219.46	RMSE: 266.49
Epoch 079	LOSS: 189.20	MAE: 218.96	RMSE: 266.03
Epoch 080	LOSS: 188.94	MAE: 218.46	RMSE: 265.57
Epoch 081	LOSS: 188.72	MAE: 217.96	RMSE: 265.11
Epoch 082	LOSS: 184.17	MAE: 217.46	RMSE: 264.64
Epoch 083	LOSS: 187.83	MAE: 216.95	RMSE: 264.18
Epoch 084	LOSS: 187.46	MAE: 216.44	RMSE: 263.71
