Epoch 000	LOSS: 216.98	MAE: 249.89	RMSE: 293.50
Epoch 001	LOSS: 217.04	MAE: 248.62	RMSE: 292.40
Epoch 002	LOSS: 214.44	MAE: 248.30	RMSE: 292.12
Epoch 003	LOSS: 217.49	MAE: 248.04	RMSE: 291.89
Epoch 004	LOSS: 218.58	MAE: 247.78	RMSE: 291.67
Epoch 005	LOSS: 216.55	MAE: 247.52	RMSE: 291.45
Epoch 006	LOSS: 216.35	MAE: 247.26	RMSE: 291.22
Epoch 007	LOSS: 216.11	MAE: 247.00	RMSE: 290.99
Epoch 008	LOSS: 215.38	MAE: 246.73	RMSE: 290.76
Epoch 009	LOSS: 215.53	MAE: 246.46	RMSE: 290.53
Epoch 010	LOSS: 211.73	MAE: 246.18	RMSE: 290.29
Epoch 011	LOSS: 215.25	MAE: 245.90	RMSE: 290.04
Epoch 012	LOSS: 211.21	MAE: 245.62	RMSE: 289.80
Epoch 013	LOSS: 211.88	MAE: 245.33	RMSE: 289.54
Epoch 014	LOSS: 216.41	MAE: 245.04	RMSE: 289.29
Epoch 015	LOSS: 215.53	MAE: 244.75	RMSE: 289.03
Epoch 016	LOSS: 214.77	MAE: 244.45	RMSE: 288.77
Epoch 017	LOSS: 212.19	MAE: 244.15	RMSE: 288.51
Epoch 018	LOSS: 214.32	MAE: 243.84	RMSE: 288.24
Epoch 019	LOSS: 213.02	MAE: 243.53	RMSE: 287.97
Epoch 020	LOSS: 209.47	MAE: 243.22	RMSE: 287.70
Epoch 021	LOSS: 209.29	MAE: 242.90	RMSE: 287.42
Epoch 022	LOSS: 210.39	MAE: 242.58	RMSE: 287.14
Epoch 023	LOSS: 210.57	MAE: 242.25	RMSE: 286.85
Epoch 024	LOSS: 207.82	MAE: 241.92	RMSE: 286.56
Epoch 025	LOSS: 210.88	MAE: 241.59	RMSE: 286.27
Epoch 026	LOSS: 208.00	MAE: 241.25	RMSE: 285.98
Epoch 027	LOSS: 213.78	MAE: 240.91	RMSE: 285.68
Epoch 028	LOSS: 212.51	MAE: 240.57	RMSE: 285.37
Epoch 029	LOSS: 212.35	MAE: 240.22	RMSE: 285.07
Epoch 030	LOSS: 207.93	MAE: 239.87	RMSE: 284.76
Epoch 031	LOSS: 210.31	MAE: 239.51	RMSE: 284.45
Epoch 032	LOSS: 209.89	MAE: 239.15	RMSE: 284.13
Epoch 033	LOSS: 206.66	MAE: 238.79	RMSE: 283.81
Epoch 034	LOSS: 202.30	MAE: 238.43	RMSE: 283.49
Epoch 035	LOSS: 204.65	MAE: 238.06	RMSE: 283.17
Epoch 036	LOSS: 205.57	MAE: 237.68	RMSE: 282.84
Epoch 037	LOSS: 206.55	MAE: 237.31	RMSE: 282.51
Epoch 038	LOSS: 206.67	MAE: 236.93	RMSE: 282.17
Epoch 039	LOSS: 204.52	MAE: 236.54	RMSE: 281.83
Epoch 040	LOSS: 203.53	MAE: 236.16	RMSE: 281.49
Epoch 041	LOSS: 205.80	MAE: 235.76	RMSE: 281.14
Epoch 042	LOSS: 205.85	MAE: 235.37	RMSE: 280.79
Epoch 043	LOSS: 204.46	MAE: 234.97	RMSE: 280.44
Epoch 044	LOSS: 201.63	MAE: 234.57	RMSE: 280.09
Epoch 045	LOSS: 201.49	MAE: 234.17	RMSE: 279.73
Epoch 046	LOSS: 205.60	MAE: 233.76	RMSE: 279.37
Epoch 047	LOSS: 203.04	MAE: 233.35	RMSE: 279.00
Epoch 048	LOSS: 204.92	MAE: 232.94	RMSE: 278.64
Epoch 049	LOSS: 200.75	MAE: 232.52	RMSE: 278.27
Epoch 050	LOSS: 201.62	MAE: 232.10	RMSE: 277.89
Epoch 051	LOSS: 197.10	MAE: 231.68	RMSE: 277.52
Epoch 052	LOSS: 203.54	MAE: 231.26	RMSE: 277.14
Epoch 053	LOSS: 199.29	MAE: 230.83	RMSE: 276.76
Epoch 054	LOSS: 199.26	MAE: 230.40	RMSE: 276.37
Epoch 055	LOSS: 200.81	MAE: 229.96	RMSE: 275.98
Epoch 056	LOSS: 198.63	MAE: 229.52	RMSE: 275.59
Epoch 057	LOSS: 199.45	MAE: 229.08	RMSE: 275.19
Epoch 058	LOSS: 199.23	MAE: 228.64	RMSE: 274.80
Epoch 059	LOSS: 197.15	MAE: 228.19	RMSE: 274.40
Epoch 060	LOSS: 195.51	MAE: 227.74	RMSE: 273.99
Epoch 061	LOSS: 196.57	MAE: 227.29	RMSE: 273.59
Epoch 062	LOSS: 198.26	MAE: 226.84	RMSE: 273.18
Epoch 063	LOSS: 196.20	MAE: 226.38	RMSE: 272.77
Epoch 064	LOSS: 196.59	MAE: 225.92	RMSE: 272.35
Epoch 065	LOSS: 198.03	MAE: 225.46	RMSE: 271.93
Epoch 066	LOSS: 193.83	MAE: 224.99	RMSE: 271.51
Epoch 067	LOSS: 195.95	MAE: 224.52	RMSE: 271.09
Epoch 068	LOSS: 191.60	MAE: 224.05	RMSE: 270.66
Epoch 069	LOSS: 193.34	MAE: 223.58	RMSE: 270.23
Epoch 070	LOSS: 192.60	MAE: 223.10	RMSE: 269.80
Epoch 071	LOSS: 190.12	MAE: 222.62	RMSE: 269.37
Epoch 072	LOSS: 195.09	MAE: 222.14	RMSE: 268.93
Epoch 073	LOSS: 191.06	MAE: 221.66	RMSE: 268.49
Epoch 074	LOSS: 189.19	MAE: 221.18	RMSE: 268.05
Epoch 075	LOSS: 190.78	MAE: 220.69	RMSE: 267.61
Epoch 076	LOSS: 190.14	MAE: 220.20	RMSE: 267.16
Epoch 077	LOSS: 189.99	MAE: 219.71	RMSE: 266.71
Epoch 078	LOSS: 190.75	MAE: 219.22	RMSE: 266.26
Epoch 079	LOSS: 191.49	MAE: 218.73	RMSE: 265.81
Epoch 080	LOSS: 188.77	MAE: 218.23	RMSE: 265.36
Epoch 081	LOSS: 187.59	MAE: 217.74	RMSE: 264.90
Epoch 082	LOSS: 187.65	MAE: 217.24	RMSE: 264.44
Epoch 083	LOSS: 186.15	MAE: 216.74	RMSE: 263.98
Epoch 084	LOSS: 186.61	MAE: 216.23	RMSE: 263.51
Epoch 085	LOSS: 184.25	MAE: 215.73	RMSE: 263.05
Epoch 086	LOSS: 185.69	MAE: 215.22	RMSE: 262.58
Epoch 087	LOSS: 187.25	MAE: 214.72	RMSE: 262.11
Epoch 088	LOSS: 187.77	MAE: 214.21	RMSE: 261.63
Epoch 089	LOSS: 183.01	MAE: 213.70	RMSE: 261.16
Epoch 090	LOSS: 182.69	MAE: 213.18	RMSE: 260.68
Epoch 091	LOSS: 183.26	MAE: 212.67	RMSE: 260.20
Epoch 092	LOSS: 184.85	MAE: 212.16	RMSE: 259.72
Epoch 093	LOSS: 179.94	MAE: 211.64	RMSE: 259.24
Epoch 094	LOSS: 176.40	MAE: 211.13	RMSE: 258.76
Epoch 095	LOSS: 178.53	MAE: 210.61	RMSE: 258.27
Epoch 096	LOSS: 179.68	MAE: 210.10	RMSE: 257.79
Epoch 097	LOSS: 177.94	MAE: 209.58	RMSE: 257.30
Epoch 098	LOSS: 177.91	MAE: 209.06	RMSE: 256.81
Epoch 099	LOSS: 178.78	MAE: 208.53	RMSE: 256.32
Epoch 100	LOSS: 175.36	MAE: 208.01	RMSE: 255.82
Epoch 101	LOSS: 179.25	MAE: 207.49	RMSE: 255.32
Epoch 102	LOSS: 178.06	MAE: 206.96	RMSE: 254.82
Epoch 103	LOSS: 175.61	MAE: 206.44	RMSE: 254.32
Epoch 104	LOSS: 178.09	MAE: 205.91	RMSE: 253.82
Epoch 105	LOSS: 178.54	MAE: 205.38	RMSE: 253.32
Epoch 106	LOSS: 175.18	MAE: 204.86	RMSE: 252.81
Epoch 107	LOSS: 173.49	MAE: 204.33	RMSE: 252.31
Epoch 108	LOSS: 176.30	MAE: 203.80	RMSE: 251.80
Epoch 109	LOSS: 171.69	MAE: 203.27	RMSE: 251.30
Epoch 110	LOSS: 177.54	MAE: 202.74	RMSE: 250.79
Epoch 111	LOSS: 172.12	MAE: 202.21	RMSE: 250.28
Epoch 112	LOSS: 172.41	MAE: 201.68	RMSE: 249.77
Epoch 113	LOSS: 174.70	MAE: 201.15	RMSE: 249.25
Epoch 114	LOSS: 169.17	MAE: 200.62	RMSE: 248.74
Epoch 115	LOSS: 171.88	MAE: 200.09	RMSE: 248.23
Epoch 116	LOSS: 171.09	MAE: 199.55	RMSE: 247.71
Epoch 117	LOSS: 171.85	MAE: 199.02	RMSE: 247.19
Epoch 118	LOSS: 168.74	MAE: 198.49	RMSE: 246.68
Epoch 119	LOSS: 171.01	MAE: 197.96	RMSE: 246.16
Epoch 120	LOSS: 169.12	MAE: 197.43	RMSE: 245.64
Epoch 121	LOSS: 167.92	MAE: 196.90	RMSE: 245.12
Epoch 122	LOSS: 167.09	MAE: 196.37	RMSE: 244.60
Epoch 123	LOSS: 166.76	MAE: 195.84	RMSE: 244.08
Epoch 124	LOSS: 166.74	MAE: 195.31	RMSE: 243.56
Epoch 125	LOSS: 167.33	MAE: 194.78	RMSE: 243.03
Epoch 126	LOSS: 167.63	MAE: 194.26	RMSE: 242.51
Epoch 127	LOSS: 164.50	MAE: 193.73	RMSE: 241.99
Epoch 128	LOSS: 166.53	MAE: 193.20	RMSE: 241.47
Epoch 129	LOSS: 162.77	MAE: 192.68	RMSE: 240.95
Epoch 130	LOSS: 163.43	MAE: 192.15	RMSE: 240.42
Epoch 131	LOSS: 164.44	MAE: 191.62	RMSE: 239.89
Epoch 132	LOSS: 162.78	MAE: 191.10	RMSE: 239.37
Epoch 133	LOSS: 162.05	MAE: 190.57	RMSE: 238.84
Epoch 134	LOSS: 162.21	MAE: 190.04	RMSE: 238.31
Epoch 135	LOSS: 160.05	MAE: 189.52	RMSE: 237.78
Epoch 136	LOSS: 161.19	MAE: 188.99	RMSE: 237.25
Epoch 137	LOSS: 162.92	MAE: 188.47	RMSE: 236.72
Epoch 138	LOSS: 160.51	MAE: 187.95	RMSE: 236.20
Epoch 139	LOSS: 163.06	MAE: 187.43	RMSE: 235.67
Epoch 140	LOSS: 161.02	MAE: 186.91	RMSE: 235.14
Epoch 141	LOSS: 159.87	MAE: 186.39	RMSE: 234.61
Epoch 142	LOSS: 159.50	MAE: 185.88	RMSE: 234.09
Epoch 143	LOSS: 156.15	MAE: 185.37	RMSE: 233.56
Epoch 144	LOSS: 157.40	MAE: 184.85	RMSE: 233.03
Epoch 145	LOSS: 157.83	MAE: 184.34	RMSE: 232.50
Epoch 146	LOSS: 158.93	MAE: 183.82	RMSE: 231.97
Epoch 147	LOSS: 156.49	MAE: 183.31	RMSE: 231.44
Epoch 148	LOSS: 157.21	MAE: 182.81	RMSE: 230.91
Epoch 149	LOSS: 155.49	MAE: 182.30	RMSE: 230.39
Epoch 150	LOSS: 154.09	MAE: 181.80	RMSE: 229.87
Epoch 151	LOSS: 156.66	MAE: 181.30	RMSE: 229.34
Epoch 152	LOSS: 154.74	MAE: 180.80	RMSE: 228.81
Epoch 153	LOSS: 153.25	MAE: 180.30	RMSE: 228.29
Epoch 154	LOSS: 152.00	MAE: 179.81	RMSE: 227.77
Epoch 155	LOSS: 152.05	MAE: 179.31	RMSE: 227.24
Epoch 156	LOSS: 151.66	MAE: 178.82	RMSE: 226.72
Epoch 157	LOSS: 150.09	MAE: 178.33	RMSE: 226.20
Epoch 158	LOSS: 152.81	MAE: 177.84	RMSE: 225.68
Epoch 159	LOSS: 151.39	MAE: 177.35	RMSE: 225.16
Epoch 160	LOSS: 148.59	MAE: 176.87	RMSE: 224.64
Epoch 161	LOSS: 147.72	MAE: 176.38	RMSE: 224.12
Epoch 162	LOSS: 150.84	MAE: 175.90	RMSE: 223.61
Epoch 163	LOSS: 149.60	MAE: 175.42	RMSE: 223.09
Epoch 164	LOSS: 148.90	MAE: 174.94	RMSE: 222.57
Epoch 165	LOSS: 148.59	MAE: 174.46	RMSE: 222.06
Epoch 166	LOSS: 148.81	MAE: 173.99	RMSE: 221.54
Epoch 167	LOSS: 148.64	MAE: 173.51	RMSE: 221.02
Epoch 168	LOSS: 145.91	MAE: 173.04	RMSE: 220.51
Epoch 169	LOSS: 146.01	MAE: 172.57	RMSE: 220.00
Epoch 170	LOSS: 144.78	MAE: 172.11	RMSE: 219.49
Epoch 171	LOSS: 147.14	MAE: 171.65	RMSE: 218.98
Epoch 172	LOSS: 146.05	MAE: 171.18	RMSE: 218.47
Epoch 173	LOSS: 147.56	MAE: 170.72	RMSE: 217.96
Epoch 174	LOSS: 144.47	MAE: 170.27	RMSE: 217.45
Epoch 175	LOSS: 145.04	MAE: 169.82	RMSE: 216.94
Epoch 176	LOSS: 142.99	MAE: 169.37	RMSE: 216.44
Epoch 177	LOSS: 143.73	MAE: 168.92	RMSE: 215.94
Epoch 178	LOSS: 144.50	MAE: 168.47	RMSE: 215.44
Epoch 179	LOSS: 144.20	MAE: 168.03	RMSE: 214.94
Epoch 180	LOSS: 145.20	MAE: 167.59	RMSE: 214.45
Epoch 181	LOSS: 141.92	MAE: 167.16	RMSE: 213.95
Epoch 182	LOSS: 142.56	MAE: 166.73	RMSE: 213.46
Epoch 183	LOSS: 140.73	MAE: 166.30	RMSE: 212.97
Epoch 184	LOSS: 142.76	MAE: 165.88	RMSE: 212.49
Epoch 185	LOSS: 139.49	MAE: 165.46	RMSE: 212.00
Epoch 186	LOSS: 141.10	MAE: 165.04	RMSE: 211.52
Epoch 187	LOSS: 139.76	MAE: 164.63	RMSE: 211.05
Epoch 188	LOSS: 139.15	MAE: 164.22	RMSE: 210.57
Epoch 189	LOSS: 138.37	MAE: 163.81	RMSE: 210.10
Epoch 190	LOSS: 139.98	MAE: 163.41	RMSE: 209.62
Epoch 191	LOSS: 137.18	MAE: 163.01	RMSE: 209.15
Epoch 192	LOSS: 139.57	MAE: 162.61	RMSE: 208.68
