Epoch 000	LOSS: 216.33	MAE: 250.08	RMSE: 293.67
Epoch 001	LOSS: 215.12	MAE: 248.60	RMSE: 292.38
Epoch 002	LOSS: 214.68	MAE: 248.21	RMSE: 292.05
Epoch 003	LOSS: 219.01	MAE: 247.98	RMSE: 291.84
Epoch 004	LOSS: 214.90	MAE: 247.73	RMSE: 291.62
Epoch 005	LOSS: 215.41	MAE: 247.47	RMSE: 291.41
Epoch 006	LOSS: 212.83	MAE: 247.23	RMSE: 291.19
Epoch 007	LOSS: 214.98	MAE: 246.97	RMSE: 290.97
Epoch 008	LOSS: 213.58	MAE: 246.71	RMSE: 290.74
Epoch 009	LOSS: 215.96	MAE: 246.45	RMSE: 290.52
Epoch 010	LOSS: 212.79	MAE: 246.18	RMSE: 290.28
Epoch 011	LOSS: 211.64	MAE: 245.91	RMSE: 290.05
Epoch 012	LOSS: 212.32	MAE: 245.64	RMSE: 289.81
Epoch 013	LOSS: 214.89	MAE: 245.36	RMSE: 289.57
Epoch 014	LOSS: 211.18	MAE: 245.07	RMSE: 289.32
Epoch 015	LOSS: 212.70	MAE: 244.79	RMSE: 289.07
Epoch 016	LOSS: 215.30	MAE: 244.50	RMSE: 288.82
Epoch 017	LOSS: 210.70	MAE: 244.20	RMSE: 288.56
Epoch 018	LOSS: 212.50	MAE: 243.90	RMSE: 288.30
Epoch 019	LOSS: 212.56	MAE: 243.60	RMSE: 288.03
Epoch 020	LOSS: 215.37	MAE: 243.29	RMSE: 287.76
Epoch 021	LOSS: 210.17	MAE: 242.98	RMSE: 287.49
Epoch 022	LOSS: 210.01	MAE: 242.67	RMSE: 287.22
Epoch 023	LOSS: 210.25	MAE: 242.35	RMSE: 286.94
Epoch 024	LOSS: 212.36	MAE: 242.02	RMSE: 286.65
Epoch 025	LOSS: 215.30	MAE: 241.69	RMSE: 286.36
Epoch 026	LOSS: 208.99	MAE: 241.36	RMSE: 286.07
Epoch 027	LOSS: 206.10	MAE: 241.03	RMSE: 285.78
Epoch 028	LOSS: 211.01	MAE: 240.68	RMSE: 285.48
Epoch 029	LOSS: 211.83	MAE: 240.34	RMSE: 285.18
Epoch 030	LOSS: 207.72	MAE: 239.99	RMSE: 284.87
Epoch 031	LOSS: 210.73	MAE: 239.64	RMSE: 284.56
Epoch 032	LOSS: 209.85	MAE: 239.28	RMSE: 284.24
Epoch 033	LOSS: 208.22	MAE: 238.92	RMSE: 283.93
Epoch 034	LOSS: 206.29	MAE: 238.55	RMSE: 283.60
Epoch 035	LOSS: 207.38	MAE: 238.19	RMSE: 283.28
Epoch 036	LOSS: 205.71	MAE: 237.81	RMSE: 282.95
Epoch 037	LOSS: 203.10	MAE: 237.44	RMSE: 282.62
Epoch 038	LOSS: 204.03	MAE: 237.05	RMSE: 282.28
Epoch 039	LOSS: 204.36	MAE: 236.67	RMSE: 281.94
Epoch 040	LOSS: 205.36	MAE: 236.28	RMSE: 281.60
Epoch 041	LOSS: 203.54	MAE: 235.89	RMSE: 281.25
Epoch 042	LOSS: 207.33	MAE: 235.49	RMSE: 280.90
Epoch 043	LOSS: 203.52	MAE: 235.09	RMSE: 280.55
Epoch 044	LOSS: 208.05	MAE: 234.69	RMSE: 280.19
Epoch 045	LOSS: 202.01	MAE: 234.28	RMSE: 279.83
Epoch 046	LOSS: 200.10	MAE: 233.87	RMSE: 279.47
Epoch 047	LOSS: 203.25	MAE: 233.46	RMSE: 279.10
Epoch 048	LOSS: 202.34	MAE: 233.04	RMSE: 278.73
Epoch 049	LOSS: 201.23	MAE: 232.62	RMSE: 278.36
Epoch 050	LOSS: 199.49	MAE: 232.20	RMSE: 277.98
Epoch 051	LOSS: 202.76	MAE: 231.77	RMSE: 277.60
Epoch 052	LOSS: 198.71	MAE: 231.35	RMSE: 277.22
Epoch 053	LOSS: 200.87	MAE: 230.91	RMSE: 276.83
Epoch 054	LOSS: 199.02	MAE: 230.48	RMSE: 276.44
Epoch 055	LOSS: 201.45	MAE: 230.04	RMSE: 276.05
Epoch 056	LOSS: 199.40	MAE: 229.60	RMSE: 275.65
Epoch 057	LOSS: 199.73	MAE: 229.15	RMSE: 275.25
Epoch 058	LOSS: 198.31	MAE: 228.70	RMSE: 274.85
Epoch 059	LOSS: 197.36	MAE: 228.25	RMSE: 274.45
Epoch 060	LOSS: 196.52	MAE: 227.79	RMSE: 274.04
Epoch 061	LOSS: 195.81	MAE: 227.34	RMSE: 273.63
Epoch 062	LOSS: 199.24	MAE: 226.88	RMSE: 273.21
