Epoch 000	LOSS: 224.15	MAE: 249.78	RMSE: 293.40
Epoch 001	LOSS: 216.87	MAE: 248.51	RMSE: 292.30
Epoch 002	LOSS: 218.29	MAE: 248.21	RMSE: 292.04
Epoch 003	LOSS: 220.89	MAE: 247.95	RMSE: 291.82
Epoch 004	LOSS: 216.32	MAE: 247.69	RMSE: 291.59
Epoch 005	LOSS: 216.49	MAE: 247.44	RMSE: 291.37
Epoch 006	LOSS: 216.29	MAE: 247.18	RMSE: 291.15
Epoch 007	LOSS: 214.65	MAE: 246.93	RMSE: 290.93
Epoch 008	LOSS: 214.57	MAE: 246.66	RMSE: 290.70
Epoch 009	LOSS: 213.60	MAE: 246.39	RMSE: 290.47
Epoch 010	LOSS: 216.87	MAE: 246.12	RMSE: 290.23
Epoch 011	LOSS: 213.36	MAE: 245.84	RMSE: 289.99
Epoch 012	LOSS: 214.10	MAE: 245.56	RMSE: 289.75
Epoch 013	LOSS: 213.12	MAE: 245.28	RMSE: 289.50
Epoch 014	LOSS: 215.86	MAE: 244.99	RMSE: 289.25
Epoch 015	LOSS: 214.27	MAE: 244.70	RMSE: 288.99
Epoch 016	LOSS: 213.12	MAE: 244.40	RMSE: 288.73
Epoch 017	LOSS: 211.87	MAE: 244.10	RMSE: 288.47
Epoch 018	LOSS: 213.01	MAE: 243.80	RMSE: 288.20
Epoch 019	LOSS: 213.36	MAE: 243.49	RMSE: 287.93
Epoch 020	LOSS: 210.59	MAE: 243.17	RMSE: 287.66
Epoch 021	LOSS: 214.71	MAE: 242.86	RMSE: 287.38
Epoch 022	LOSS: 211.70	MAE: 242.54	RMSE: 287.10
Epoch 023	LOSS: 210.86	MAE: 242.21	RMSE: 286.82
Epoch 024	LOSS: 209.48	MAE: 241.88	RMSE: 286.53
Epoch 025	LOSS: 210.77	MAE: 241.55	RMSE: 286.24
Epoch 026	LOSS: 211.28	MAE: 241.21	RMSE: 285.94
Epoch 027	LOSS: 211.29	MAE: 240.87	RMSE: 285.64
Epoch 028	LOSS: 211.90	MAE: 240.53	RMSE: 285.34
Epoch 029	LOSS: 207.43	MAE: 240.18	RMSE: 285.03
Epoch 030	LOSS: 206.33	MAE: 239.83	RMSE: 284.72
Epoch 031	LOSS: 209.13	MAE: 239.47	RMSE: 284.41
Epoch 032	LOSS: 206.29	MAE: 239.11	RMSE: 284.09
Epoch 033	LOSS: 209.28	MAE: 238.75	RMSE: 283.77
Epoch 034	LOSS: 209.75	MAE: 238.38	RMSE: 283.45
Epoch 035	LOSS: 205.94	MAE: 238.01	RMSE: 283.12
Epoch 036	LOSS: 208.87	MAE: 237.63	RMSE: 282.79
Epoch 037	LOSS: 202.92	MAE: 237.25	RMSE: 282.46
Epoch 038	LOSS: 205.30	MAE: 236.87	RMSE: 282.12
Epoch 039	LOSS: 203.90	MAE: 236.48	RMSE: 281.78
Epoch 040	LOSS: 201.36	MAE: 236.10	RMSE: 281.44
Epoch 041	LOSS: 205.06	MAE: 235.70	RMSE: 281.09
Epoch 042	LOSS: 204.87	MAE: 235.31	RMSE: 280.74
Epoch 043	LOSS: 202.79	MAE: 234.91	RMSE: 280.38
Epoch 044	LOSS: 204.99	MAE: 234.50	RMSE: 280.03
Epoch 045	LOSS: 204.62	MAE: 234.10	RMSE: 279.67
Epoch 046	LOSS: 201.86	MAE: 233.69	RMSE: 279.30
Epoch 047	LOSS: 203.42	MAE: 233.28	RMSE: 278.94
Epoch 048	LOSS: 202.94	MAE: 232.86	RMSE: 278.57
Epoch 049	LOSS: 200.01	MAE: 232.44	RMSE: 278.19
Epoch 050	LOSS: 200.27	MAE: 232.02	RMSE: 277.82
Epoch 051	LOSS: 199.30	MAE: 231.59	RMSE: 277.44
Epoch 052	LOSS: 203.00	MAE: 231.16	RMSE: 277.05
Epoch 053	LOSS: 202.95	MAE: 230.73	RMSE: 276.67
Epoch 054	LOSS: 201.46	MAE: 230.30	RMSE: 276.28
Epoch 055	LOSS: 198.16	MAE: 229.86	RMSE: 275.89
Epoch 056	LOSS: 196.85	MAE: 229.42	RMSE: 275.49
Epoch 057	LOSS: 197.85	MAE: 228.97	RMSE: 275.09
Epoch 058	LOSS: 196.93	MAE: 228.53	RMSE: 274.69
Epoch 059	LOSS: 201.12	MAE: 228.08	RMSE: 274.29
Epoch 060	LOSS: 196.05	MAE: 227.62	RMSE: 273.88
Epoch 061	LOSS: 199.48	MAE: 227.17	RMSE: 273.47
Epoch 062	LOSS: 196.92	MAE: 226.71	RMSE: 273.06
Epoch 063	LOSS: 197.73	MAE: 226.25	RMSE: 272.65
Epoch 064	LOSS: 193.79	MAE: 225.79	RMSE: 272.23
