Epoch 000	LOSS: 219.16	MAE: 250.18	RMSE: 293.76
Epoch 001	LOSS: 219.69	MAE: 248.83	RMSE: 292.58
Epoch 002	LOSS: 217.87	MAE: 248.46	RMSE: 292.26
Epoch 003	LOSS: 217.57	MAE: 248.21	RMSE: 292.04
Epoch 004	LOSS: 216.91	MAE: 247.96	RMSE: 291.83
Epoch 005	LOSS: 218.12	MAE: 247.71	RMSE: 291.61
Epoch 006	LOSS: 215.15	MAE: 247.46	RMSE: 291.39
Epoch 007	LOSS: 213.19	MAE: 247.21	RMSE: 291.17
Epoch 008	LOSS: 215.26	MAE: 246.95	RMSE: 290.95
Epoch 009	LOSS: 215.90	MAE: 246.68	RMSE: 290.72
Epoch 010	LOSS: 216.92	MAE: 246.41	RMSE: 290.48
Epoch 011	LOSS: 217.18	MAE: 246.14	RMSE: 290.25
Epoch 012	LOSS: 212.79	MAE: 245.86	RMSE: 290.01
Epoch 013	LOSS: 215.61	MAE: 245.58	RMSE: 289.76
Epoch 014	LOSS: 212.65	MAE: 245.30	RMSE: 289.51
Epoch 015	LOSS: 209.56	MAE: 245.01	RMSE: 289.26
Epoch 016	LOSS: 217.27	MAE: 244.71	RMSE: 289.00
Epoch 017	LOSS: 214.88	MAE: 244.42	RMSE: 288.75
Epoch 018	LOSS: 207.29	MAE: 244.12	RMSE: 288.48
Epoch 019	LOSS: 210.88	MAE: 243.81	RMSE: 288.22
Epoch 020	LOSS: 214.30	MAE: 243.50	RMSE: 287.95
Epoch 021	LOSS: 213.20	MAE: 243.19	RMSE: 287.67
Epoch 022	LOSS: 209.99	MAE: 242.87	RMSE: 287.39
Epoch 023	LOSS: 211.84	MAE: 242.55	RMSE: 287.11
Epoch 024	LOSS: 213.18	MAE: 242.22	RMSE: 286.83
Epoch 025	LOSS: 210.62	MAE: 241.89	RMSE: 286.54
Epoch 026	LOSS: 208.41	MAE: 241.56	RMSE: 286.25
Epoch 027	LOSS: 210.71	MAE: 241.22	RMSE: 285.95
Epoch 028	LOSS: 210.23	MAE: 240.88	RMSE: 285.65
Epoch 029	LOSS: 209.18	MAE: 240.53	RMSE: 285.34
Epoch 030	LOSS: 206.49	MAE: 240.18	RMSE: 285.04
Epoch 031	LOSS: 206.87	MAE: 239.83	RMSE: 284.72
Epoch 032	LOSS: 210.98	MAE: 239.47	RMSE: 284.41
Epoch 033	LOSS: 210.12	MAE: 239.11	RMSE: 284.09
Epoch 034	LOSS: 205.36	MAE: 238.74	RMSE: 283.77
Epoch 035	LOSS: 209.12	MAE: 238.37	RMSE: 283.44
Epoch 036	LOSS: 203.99	MAE: 237.99	RMSE: 283.11
Epoch 037	LOSS: 206.08	MAE: 237.61	RMSE: 282.78
Epoch 038	LOSS: 208.57	MAE: 237.23	RMSE: 282.44
Epoch 039	LOSS: 204.18	MAE: 236.85	RMSE: 282.10
Epoch 040	LOSS: 203.82	MAE: 236.46	RMSE: 281.76
Epoch 041	LOSS: 206.53	MAE: 236.07	RMSE: 281.41
Epoch 042	LOSS: 207.29	MAE: 235.67	RMSE: 281.06
Epoch 043	LOSS: 207.04	MAE: 235.27	RMSE: 280.71
Epoch 044	LOSS: 202.95	MAE: 234.87	RMSE: 280.35
Epoch 045	LOSS: 202.40	MAE: 234.46	RMSE: 279.99
Epoch 046	LOSS: 203.32	MAE: 234.05	RMSE: 279.62
Epoch 047	LOSS: 205.50	MAE: 233.64	RMSE: 279.26
Epoch 048	LOSS: 202.44	MAE: 233.22	RMSE: 278.89
Epoch 049	LOSS: 203.16	MAE: 232.80	RMSE: 278.51
Epoch 050	LOSS: 199.96	MAE: 232.38	RMSE: 278.13
Epoch 051	LOSS: 204.20	MAE: 231.95	RMSE: 277.76
Epoch 052	LOSS: 199.14	MAE: 231.52	RMSE: 277.37
Epoch 053	LOSS: 200.12	MAE: 231.09	RMSE: 276.99
Epoch 054	LOSS: 200.93	MAE: 230.65	RMSE: 276.60
Epoch 055	LOSS: 199.80	MAE: 230.21	RMSE: 276.21
Epoch 056	LOSS: 198.66	MAE: 229.77	RMSE: 275.81
Epoch 057	LOSS: 201.18	MAE: 229.33	RMSE: 275.41
Epoch 058	LOSS: 198.57	MAE: 228.88	RMSE: 275.01
Epoch 059	LOSS: 197.07	MAE: 228.43	RMSE: 274.61
Epoch 060	LOSS: 196.42	MAE: 227.98	RMSE: 274.20
Epoch 061	LOSS: 197.59	MAE: 227.52	RMSE: 273.79
Epoch 062	LOSS: 194.06	MAE: 227.06	RMSE: 273.38
Epoch 063	LOSS: 195.67	MAE: 226.60	RMSE: 272.96
Epoch 064	LOSS: 193.93	MAE: 226.13	RMSE: 272.54
Epoch 065	LOSS: 194.61	MAE: 225.67	RMSE: 272.12
Epoch 066	LOSS: 197.11	MAE: 225.20	RMSE: 271.70
Epoch 067	LOSS: 194.38	MAE: 224.73	RMSE: 271.27
Epoch 068	LOSS: 194.46	MAE: 224.25	RMSE: 270.84
Epoch 069	LOSS: 195.07	MAE: 223.77	RMSE: 270.41
Epoch 070	LOSS: 192.55	MAE: 223.30	RMSE: 269.98
Epoch 071	LOSS: 195.46	MAE: 222.81	RMSE: 269.54
Epoch 072	LOSS: 188.01	MAE: 222.33	RMSE: 269.10
Epoch 073	LOSS: 194.47	MAE: 221.84	RMSE: 268.66
Epoch 074	LOSS: 192.14	MAE: 221.35	RMSE: 268.21
Epoch 075	LOSS: 187.05	MAE: 220.86	RMSE: 267.77
Epoch 076	LOSS: 190.29	MAE: 220.37	RMSE: 267.32
