Epoch 000	LOSS: 217.94	MAE: 250.13	RMSE: 293.70
Epoch 001	LOSS: 221.72	MAE: 249.05	RMSE: 292.77
Epoch 002	LOSS: 221.16	MAE: 248.74	RMSE: 292.50
Epoch 003	LOSS: 217.37	MAE: 248.49	RMSE: 292.29
Epoch 004	LOSS: 216.42	MAE: 248.24	RMSE: 292.07
Epoch 005	LOSS: 217.77	MAE: 248.00	RMSE: 291.86
Epoch 006	LOSS: 217.10	MAE: 247.75	RMSE: 291.65
Epoch 007	LOSS: 217.29	MAE: 247.50	RMSE: 291.43
Epoch 008	LOSS: 215.37	MAE: 247.24	RMSE: 291.21
Epoch 009	LOSS: 215.48	MAE: 246.98	RMSE: 290.98
Epoch 010	LOSS: 211.68	MAE: 246.71	RMSE: 290.75
Epoch 011	LOSS: 217.30	MAE: 246.44	RMSE: 290.51
Epoch 012	LOSS: 217.26	MAE: 246.17	RMSE: 290.27
Epoch 013	LOSS: 214.79	MAE: 245.89	RMSE: 290.03
Epoch 014	LOSS: 218.64	MAE: 245.60	RMSE: 289.78
Epoch 015	LOSS: 212.68	MAE: 245.31	RMSE: 289.53
Epoch 016	LOSS: 210.29	MAE: 245.02	RMSE: 289.27
Epoch 017	LOSS: 215.56	MAE: 244.72	RMSE: 289.01
Epoch 018	LOSS: 210.46	MAE: 244.42	RMSE: 288.75
Epoch 019	LOSS: 213.77	MAE: 244.12	RMSE: 288.48
Epoch 020	LOSS: 210.82	MAE: 243.81	RMSE: 288.21
Epoch 021	LOSS: 212.23	MAE: 243.49	RMSE: 287.94
Epoch 022	LOSS: 212.03	MAE: 243.17	RMSE: 287.66
Epoch 023	LOSS: 210.09	MAE: 242.85	RMSE: 287.38
Epoch 024	LOSS: 209.86	MAE: 242.52	RMSE: 287.09
Epoch 025	LOSS: 210.86	MAE: 242.19	RMSE: 286.80
Epoch 026	LOSS: 208.20	MAE: 241.86	RMSE: 286.51
Epoch 027	LOSS: 210.50	MAE: 241.52	RMSE: 286.21
Epoch 028	LOSS: 213.51	MAE: 241.17	RMSE: 285.91
Epoch 029	LOSS: 206.20	MAE: 240.82	RMSE: 285.60
Epoch 030	LOSS: 207.61	MAE: 240.47	RMSE: 285.29
Epoch 031	LOSS: 207.66	MAE: 240.12	RMSE: 284.98
