Epoch 000	LOSS: 228.69	MAE: 214.83	RMSE: 261.73
Epoch 001	LOSS: 224.56	MAE: 213.11	RMSE: 260.27
Epoch 002	LOSS: 224.69	MAE: 212.78	RMSE: 259.99
Epoch 003	LOSS: 227.35	MAE: 212.54	RMSE: 259.79
Epoch 004	LOSS: 225.59	MAE: 212.30	RMSE: 259.58
Epoch 005	LOSS: 226.60	MAE: 212.05	RMSE: 259.37
Epoch 006	LOSS: 221.95	MAE: 211.80	RMSE: 259.16
Epoch 007	LOSS: 224.00	MAE: 211.55	RMSE: 258.95
Epoch 008	LOSS: 224.71	MAE: 211.30	RMSE: 258.73
Epoch 009	LOSS: 223.44	MAE: 211.04	RMSE: 258.51
Epoch 010	LOSS: 221.56	MAE: 210.77	RMSE: 258.28
Epoch 011	LOSS: 221.28	MAE: 210.51	RMSE: 258.06
Epoch 012	LOSS: 221.93	MAE: 210.23	RMSE: 257.82
Epoch 013	LOSS: 222.31	MAE: 209.96	RMSE: 257.59
Epoch 014	LOSS: 221.39	MAE: 209.68	RMSE: 257.35
Epoch 015	LOSS: 220.69	MAE: 209.40	RMSE: 257.11
Epoch 016	LOSS: 219.62	MAE: 209.11	RMSE: 256.86
Epoch 017	LOSS: 222.58	MAE: 208.82	RMSE: 256.61
Epoch 018	LOSS: 218.93	MAE: 208.53	RMSE: 256.36
Epoch 019	LOSS: 219.91	MAE: 208.23	RMSE: 256.10
Epoch 020	LOSS: 218.27	MAE: 207.93	RMSE: 255.85
Epoch 021	LOSS: 219.61	MAE: 207.62	RMSE: 255.58
Epoch 022	LOSS: 219.77	MAE: 207.31	RMSE: 255.32
Epoch 023	LOSS: 220.05	MAE: 207.00	RMSE: 255.05
Epoch 024	LOSS: 217.77	MAE: 206.68	RMSE: 254.77
Epoch 025	LOSS: 217.07	MAE: 206.40	RMSE: 254.53
Epoch 026	LOSS: 217.80	MAE: 206.04	RMSE: 254.22
Epoch 027	LOSS: 217.28	MAE: 205.70	RMSE: 253.93
Epoch 028	LOSS: 218.87	MAE: 205.80	RMSE: 253.88
Epoch 029	LOSS: 211.98	MAE: 205.04	RMSE: 253.36
Epoch 030	LOSS: 214.24	MAE: 204.71	RMSE: 253.07
Epoch 031	LOSS: 213.53	MAE: 204.36	RMSE: 252.77
Epoch 032	LOSS: 215.47	MAE: 204.02	RMSE: 252.47
Epoch 033	LOSS: 217.41	MAE: 203.67	RMSE: 252.17
Epoch 034	LOSS: 212.44	MAE: 203.31	RMSE: 251.86
Epoch 035	LOSS: 214.21	MAE: 202.95	RMSE: 251.55
Epoch 036	LOSS: 212.56	MAE: 202.59	RMSE: 251.24
Epoch 037	LOSS: 215.38	MAE: 202.23	RMSE: 250.92
Epoch 038	LOSS: 215.47	MAE: 201.86	RMSE: 250.59
Epoch 039	LOSS: 210.69	MAE: 201.48	RMSE: 250.27
Epoch 040	LOSS: 213.67	MAE: 201.11	RMSE: 249.94
Epoch 041	LOSS: 213.05	MAE: 200.73	RMSE: 249.61
Epoch 042	LOSS: 210.42	MAE: 200.34	RMSE: 249.27
Epoch 043	LOSS: 211.25	MAE: 199.96	RMSE: 248.93
Epoch 044	LOSS: 216.23	MAE: 199.57	RMSE: 248.59
Epoch 045	LOSS: 208.65	MAE: 199.17	RMSE: 248.25
Epoch 046	LOSS: 213.41	MAE: 198.78	RMSE: 247.90
Epoch 047	LOSS: 207.10	MAE: 198.38	RMSE: 247.55
Epoch 048	LOSS: 209.06	MAE: 197.98	RMSE: 247.19
Epoch 049	LOSS: 205.36	MAE: 197.57	RMSE: 246.84
Epoch 050	LOSS: 211.84	MAE: 197.17	RMSE: 246.48
Epoch 051	LOSS: 211.79	MAE: 196.76	RMSE: 246.11
Epoch 052	LOSS: 207.19	MAE: 196.34	RMSE: 245.75
Epoch 053	LOSS: 209.60	MAE: 195.93	RMSE: 245.38
Epoch 054	LOSS: 209.07	MAE: 195.51	RMSE: 245.01
Epoch 055	LOSS: 207.13	MAE: 195.09	RMSE: 244.63
Epoch 056	LOSS: 205.46	MAE: 194.67	RMSE: 244.26
Epoch 057	LOSS: 203.23	MAE: 194.24	RMSE: 243.88
Epoch 058	LOSS: 202.59	MAE: 193.81	RMSE: 243.49
Epoch 059	LOSS: 203.80	MAE: 193.38	RMSE: 243.11
Epoch 060	LOSS: 204.33	MAE: 192.94	RMSE: 242.72
Epoch 061	LOSS: 205.02	MAE: 192.51	RMSE: 242.32
Epoch 062	LOSS: 204.12	MAE: 192.07	RMSE: 241.93
Epoch 063	LOSS: 199.54	MAE: 191.63	RMSE: 241.53
Epoch 064	LOSS: 203.68	MAE: 191.18	RMSE: 241.13
Epoch 065	LOSS: 203.75	MAE: 190.74	RMSE: 240.73
Epoch 066	LOSS: 201.88	MAE: 190.29	RMSE: 240.33
Epoch 067	LOSS: 199.75	MAE: 189.84	RMSE: 239.92
Epoch 068	LOSS: 202.14	MAE: 189.39	RMSE: 239.51
Epoch 069	LOSS: 199.04	MAE: 188.94	RMSE: 239.10
Epoch 070	LOSS: 197.03	MAE: 188.48	RMSE: 238.69
Epoch 071	LOSS: 199.45	MAE: 188.02	RMSE: 238.27
Epoch 072	LOSS: 198.15	MAE: 187.56	RMSE: 237.85
