Epoch 000	LOSS: 227.73	MAE: 215.48	RMSE: 262.29
Epoch 001	LOSS: 223.70	MAE: 213.85	RMSE: 260.89
Epoch 002	LOSS: 226.04	MAE: 213.53	RMSE: 260.62
Epoch 003	LOSS: 224.12	MAE: 213.27	RMSE: 260.40
Epoch 004	LOSS: 224.56	MAE: 213.02	RMSE: 260.19
Epoch 005	LOSS: 226.49	MAE: 212.78	RMSE: 259.99
Epoch 006	LOSS: 225.66	MAE: 212.53	RMSE: 259.78
Epoch 007	LOSS: 224.28	MAE: 212.28	RMSE: 259.57
Epoch 008	LOSS: 225.35	MAE: 212.03	RMSE: 259.35
Epoch 009	LOSS: 227.78	MAE: 211.77	RMSE: 259.13
Epoch 010	LOSS: 223.03	MAE: 211.51	RMSE: 258.91
Epoch 011	LOSS: 224.76	MAE: 211.24	RMSE: 258.68
Epoch 012	LOSS: 221.26	MAE: 210.97	RMSE: 258.45
Epoch 013	LOSS: 220.25	MAE: 210.69	RMSE: 258.22
Epoch 014	LOSS: 224.43	MAE: 210.41	RMSE: 257.98
Epoch 015	LOSS: 220.10	MAE: 210.13	RMSE: 257.74
Epoch 016	LOSS: 223.12	MAE: 209.84	RMSE: 257.49
Epoch 017	LOSS: 225.15	MAE: 209.55	RMSE: 257.24
Epoch 018	LOSS: 218.39	MAE: 209.26	RMSE: 256.99
Epoch 019	LOSS: 219.33	MAE: 208.96	RMSE: 256.73
Epoch 020	LOSS: 217.55	MAE: 208.65	RMSE: 256.47
Epoch 021	LOSS: 221.37	MAE: 208.34	RMSE: 256.20
Epoch 022	LOSS: 221.95	MAE: 208.03	RMSE: 255.94
Epoch 023	LOSS: 217.69	MAE: 207.72	RMSE: 255.66
Epoch 024	LOSS: 215.43	MAE: 207.39	RMSE: 255.39
Epoch 025	LOSS: 218.34	MAE: 207.07	RMSE: 255.11
Epoch 026	LOSS: 217.50	MAE: 206.74	RMSE: 254.83
Epoch 027	LOSS: 217.17	MAE: 206.41	RMSE: 254.54
Epoch 028	LOSS: 220.63	MAE: 206.07	RMSE: 254.25
Epoch 029	LOSS: 216.63	MAE: 205.73	RMSE: 253.96
Epoch 030	LOSS: 219.43	MAE: 205.39	RMSE: 253.66
Epoch 031	LOSS: 216.89	MAE: 205.04	RMSE: 253.36
Epoch 032	LOSS: 217.95	MAE: 204.69	RMSE: 253.06
Epoch 033	LOSS: 219.52	MAE: 204.34	RMSE: 252.75
Epoch 034	LOSS: 215.81	MAE: 203.98	RMSE: 252.44
Epoch 035	LOSS: 215.71	MAE: 203.61	RMSE: 252.12
Epoch 036	LOSS: 215.37	MAE: 203.25	RMSE: 251.81
Epoch 037	LOSS: 213.89	MAE: 202.88	RMSE: 251.49
Epoch 038	LOSS: 214.40	MAE: 202.51	RMSE: 251.16
Epoch 039	LOSS: 209.10	MAE: 202.13	RMSE: 250.83
Epoch 040	LOSS: 215.29	MAE: 201.75	RMSE: 250.50
Epoch 041	LOSS: 209.08	MAE: 201.37	RMSE: 250.17
Epoch 042	LOSS: 211.24	MAE: 200.98	RMSE: 249.83
Epoch 043	LOSS: 210.51	MAE: 200.59	RMSE: 249.49
Epoch 044	LOSS: 211.58	MAE: 200.20	RMSE: 249.15
Epoch 045	LOSS: 210.57	MAE: 199.80	RMSE: 248.80
Epoch 046	LOSS: 210.11	MAE: 199.41	RMSE: 248.45
Epoch 047	LOSS: 212.68	MAE: 199.01	RMSE: 248.10
Epoch 048	LOSS: 210.80	MAE: 198.60	RMSE: 247.74
Epoch 049	LOSS: 208.96	MAE: 198.19	RMSE: 247.38
Epoch 050	LOSS: 206.68	MAE: 197.79	RMSE: 247.02
Epoch 051	LOSS: 204.72	MAE: 197.37	RMSE: 246.66
Epoch 052	LOSS: 211.44	MAE: 196.96	RMSE: 246.29
Epoch 053	LOSS: 206.16	MAE: 196.54	RMSE: 245.92
Epoch 054	LOSS: 208.52	MAE: 196.12	RMSE: 245.55
Epoch 055	LOSS: 207.57	MAE: 195.70	RMSE: 245.17
Epoch 056	LOSS: 206.50	MAE: 195.27	RMSE: 244.80
Epoch 057	LOSS: 206.66	MAE: 194.84	RMSE: 244.41
Epoch 058	LOSS: 206.60	MAE: 194.41	RMSE: 244.03
Epoch 059	LOSS: 207.86	MAE: 193.98	RMSE: 243.64
Epoch 060	LOSS: 204.55	MAE: 193.54	RMSE: 243.25
Epoch 061	LOSS: 207.14	MAE: 193.10	RMSE: 242.86
Epoch 062	LOSS: 203.96	MAE: 192.66	RMSE: 242.47
Epoch 063	LOSS: 205.18	MAE: 192.22	RMSE: 242.07
Epoch 064	LOSS: 201.69	MAE: 191.78	RMSE: 241.67
Epoch 065	LOSS: 202.61	MAE: 191.33	RMSE: 241.27
Epoch 066	LOSS: 203.68	MAE: 190.88	RMSE: 240.86
Epoch 067	LOSS: 203.70	MAE: 190.43	RMSE: 240.45
Epoch 068	LOSS: 199.22	MAE: 189.98	RMSE: 240.04
Epoch 069	LOSS: 201.01	MAE: 189.52	RMSE: 239.63
Epoch 070	LOSS: 195.97	MAE: 189.07	RMSE: 239.22
Epoch 071	LOSS: 200.96	MAE: 188.61	RMSE: 238.80
