Epoch 000	LOSS: 224.38	MAE: 215.56	RMSE: 262.33
Epoch 001	LOSS: 225.27	MAE: 213.78	RMSE: 260.83
Epoch 002	LOSS: 225.45	MAE: 213.41	RMSE: 260.52
Epoch 003	LOSS: 224.89	MAE: 213.16	RMSE: 260.31
Epoch 004	LOSS: 225.53	MAE: 212.92	RMSE: 260.11
Epoch 005	LOSS: 221.40	MAE: 212.67	RMSE: 259.90
Epoch 006	LOSS: 221.13	MAE: 212.43	RMSE: 259.69
Epoch 007	LOSS: 224.90	MAE: 212.17	RMSE: 259.48
Epoch 008	LOSS: 222.82	MAE: 211.92	RMSE: 259.26
Epoch 009	LOSS: 220.12	MAE: 211.66	RMSE: 259.04
Epoch 010	LOSS: 223.60	MAE: 211.40	RMSE: 258.81
Epoch 011	LOSS: 226.17	MAE: 211.13	RMSE: 258.59
Epoch 012	LOSS: 224.71	MAE: 210.86	RMSE: 258.36
Epoch 013	LOSS: 221.08	MAE: 210.58	RMSE: 258.12
Epoch 014	LOSS: 224.91	MAE: 210.30	RMSE: 257.88
Epoch 015	LOSS: 221.93	MAE: 210.02	RMSE: 257.64
Epoch 016	LOSS: 217.42	MAE: 209.73	RMSE: 257.40
Epoch 017	LOSS: 222.22	MAE: 209.44	RMSE: 257.15
Epoch 018	LOSS: 221.48	MAE: 209.15	RMSE: 256.89
Epoch 019	LOSS: 220.52	MAE: 208.85	RMSE: 256.64
Epoch 020	LOSS: 221.16	MAE: 208.55	RMSE: 256.38
Epoch 021	LOSS: 221.75	MAE: 208.24	RMSE: 256.11
Epoch 022	LOSS: 215.60	MAE: 207.93	RMSE: 255.85
Epoch 023	LOSS: 220.47	MAE: 207.61	RMSE: 255.58
Epoch 024	LOSS: 217.22	MAE: 207.29	RMSE: 255.30
Epoch 025	LOSS: 219.70	MAE: 206.97	RMSE: 255.02
Epoch 026	LOSS: 218.90	MAE: 206.64	RMSE: 254.74
Epoch 027	LOSS: 218.35	MAE: 206.31	RMSE: 254.46
Epoch 028	LOSS: 218.46	MAE: 205.98	RMSE: 254.17
Epoch 029	LOSS: 217.87	MAE: 205.64	RMSE: 253.87
Epoch 030	LOSS: 215.30	MAE: 205.29	RMSE: 253.58
Epoch 031	LOSS: 217.85	MAE: 204.95	RMSE: 253.28
Epoch 032	LOSS: 214.15	MAE: 204.60	RMSE: 252.97
Epoch 033	LOSS: 217.37	MAE: 204.24	RMSE: 252.67
Epoch 034	LOSS: 217.30	MAE: 203.89	RMSE: 252.36
Epoch 035	LOSS: 214.51	MAE: 203.53	RMSE: 252.05
Epoch 036	LOSS: 215.17	MAE: 203.16	RMSE: 251.73
Epoch 037	LOSS: 212.65	MAE: 202.79	RMSE: 251.41
Epoch 038	LOSS: 213.51	MAE: 202.42	RMSE: 251.09
Epoch 039	LOSS: 211.36	MAE: 202.04	RMSE: 250.76
Epoch 040	LOSS: 216.19	MAE: 201.67	RMSE: 250.43
Epoch 041	LOSS: 213.32	MAE: 201.29	RMSE: 250.10
Epoch 042	LOSS: 214.73	MAE: 200.90	RMSE: 249.76
Epoch 043	LOSS: 210.69	MAE: 200.51	RMSE: 249.42
Epoch 044	LOSS: 209.04	MAE: 200.12	RMSE: 249.08
Epoch 045	LOSS: 209.02	MAE: 199.73	RMSE: 248.73
Epoch 046	LOSS: 210.79	MAE: 199.33	RMSE: 248.39
Epoch 047	LOSS: 209.28	MAE: 198.93	RMSE: 248.03
