Epoch 000	LOSS: 224.40	MAE: 215.16	RMSE: 262.00
Epoch 001	LOSS: 224.67	MAE: 213.63	RMSE: 260.71
Epoch 002	LOSS: 227.20	MAE: 213.35	RMSE: 260.47
Epoch 003	LOSS: 223.32	MAE: 213.08	RMSE: 260.25
Epoch 004	LOSS: 227.99	MAE: 212.83	RMSE: 260.04
Epoch 005	LOSS: 225.16	MAE: 212.59	RMSE: 259.83
Epoch 006	LOSS: 224.28	MAE: 212.34	RMSE: 259.62
Epoch 007	LOSS: 223.85	MAE: 212.08	RMSE: 259.40
Epoch 008	LOSS: 224.30	MAE: 211.83	RMSE: 259.18
Epoch 009	LOSS: 223.68	MAE: 211.56	RMSE: 258.96
Epoch 010	LOSS: 224.42	MAE: 211.29	RMSE: 258.73
Epoch 011	LOSS: 224.64	MAE: 211.02	RMSE: 258.50
Epoch 012	LOSS: 222.03	MAE: 210.75	RMSE: 258.26
Epoch 013	LOSS: 221.33	MAE: 210.47	RMSE: 258.03
Epoch 014	LOSS: 224.00	MAE: 210.19	RMSE: 257.79
Epoch 015	LOSS: 223.17	MAE: 209.91	RMSE: 257.54
Epoch 016	LOSS: 221.42	MAE: 209.62	RMSE: 257.30
Epoch 017	LOSS: 219.39	MAE: 209.32	RMSE: 257.05
Epoch 018	LOSS: 220.78	MAE: 209.03	RMSE: 256.79
Epoch 019	LOSS: 221.34	MAE: 208.73	RMSE: 256.53
Epoch 020	LOSS: 220.26	MAE: 208.42	RMSE: 256.27
Epoch 021	LOSS: 221.29	MAE: 208.12	RMSE: 256.01
Epoch 022	LOSS: 219.67	MAE: 207.80	RMSE: 255.74
Epoch 023	LOSS: 221.33	MAE: 207.49	RMSE: 255.47
Epoch 024	LOSS: 220.38	MAE: 207.17	RMSE: 255.19
Epoch 025	LOSS: 218.01	MAE: 206.85	RMSE: 254.92
Epoch 026	LOSS: 217.91	MAE: 206.52	RMSE: 254.63
Epoch 027	LOSS: 216.45	MAE: 206.19	RMSE: 254.35
Epoch 028	LOSS: 218.86	MAE: 205.85	RMSE: 254.06
Epoch 029	LOSS: 216.40	MAE: 205.51	RMSE: 253.77
Epoch 030	LOSS: 215.40	MAE: 205.17	RMSE: 253.47
Epoch 031	LOSS: 218.69	MAE: 204.83	RMSE: 253.17
Epoch 032	LOSS: 217.14	MAE: 204.48	RMSE: 252.87
Epoch 033	LOSS: 216.37	MAE: 204.12	RMSE: 252.57
Epoch 034	LOSS: 215.69	MAE: 203.77	RMSE: 252.26
Epoch 035	LOSS: 215.34	MAE: 203.41	RMSE: 251.94
Epoch 036	LOSS: 217.60	MAE: 203.04	RMSE: 251.63
Epoch 037	LOSS: 214.14	MAE: 202.68	RMSE: 251.31
Epoch 038	LOSS: 212.99	MAE: 202.31	RMSE: 250.99
Epoch 039	LOSS: 212.31	MAE: 201.93	RMSE: 250.66
Epoch 040	LOSS: 214.91	MAE: 201.56	RMSE: 250.33
Epoch 041	LOSS: 210.38	MAE: 201.18	RMSE: 250.00
Epoch 042	LOSS: 212.26	MAE: 200.79	RMSE: 249.67
Epoch 043	LOSS: 210.00	MAE: 200.41	RMSE: 249.33
Epoch 044	LOSS: 211.55	MAE: 200.02	RMSE: 248.99
Epoch 045	LOSS: 212.28	MAE: 199.63	RMSE: 248.64
Epoch 046	LOSS: 211.06	MAE: 199.23	RMSE: 248.30
Epoch 047	LOSS: 209.64	MAE: 198.83	RMSE: 247.95
Epoch 048	LOSS: 210.71	MAE: 198.43	RMSE: 247.59
Epoch 049	LOSS: 208.93	MAE: 198.03	RMSE: 247.24
Epoch 050	LOSS: 210.26	MAE: 197.62	RMSE: 246.88
Epoch 051	LOSS: 206.92	MAE: 197.21	RMSE: 246.52
Epoch 052	LOSS: 208.58	MAE: 196.80	RMSE: 246.15
Epoch 053	LOSS: 210.44	MAE: 196.38	RMSE: 245.78
Epoch 054	LOSS: 207.01	MAE: 195.97	RMSE: 245.41
Epoch 055	LOSS: 205.88	MAE: 195.55	RMSE: 245.04
Epoch 056	LOSS: 207.89	MAE: 195.12	RMSE: 244.66
Epoch 057	LOSS: 207.62	MAE: 194.70	RMSE: 244.29
Epoch 058	LOSS: 207.81	MAE: 194.27	RMSE: 243.91
Epoch 059	LOSS: 204.10	MAE: 193.84	RMSE: 243.52
Epoch 060	LOSS: 203.08	MAE: 193.41	RMSE: 243.13
Epoch 061	LOSS: 208.06	MAE: 192.98	RMSE: 242.75
Epoch 062	LOSS: 204.77	MAE: 192.54	RMSE: 242.35
Epoch 063	LOSS: 203.37	MAE: 192.10	RMSE: 241.96
Epoch 064	LOSS: 203.03	MAE: 191.66	RMSE: 241.56
Epoch 065	LOSS: 203.04	MAE: 191.21	RMSE: 241.16
Epoch 066	LOSS: 205.20	MAE: 190.77	RMSE: 240.76
Epoch 067	LOSS: 199.38	MAE: 190.32	RMSE: 240.35
Epoch 068	LOSS: 204.10	MAE: 189.87	RMSE: 239.95
Epoch 069	LOSS: 200.71	MAE: 189.42	RMSE: 239.54
Epoch 070	LOSS: 201.71	MAE: 188.97	RMSE: 239.13
Epoch 071	LOSS: 201.88	MAE: 188.51	RMSE: 238.71
Epoch 072	LOSS: 199.86	MAE: 188.05	RMSE: 238.30
Epoch 073	LOSS: 199.71	MAE: 187.59	RMSE: 237.88
Epoch 074	LOSS: 197.83	MAE: 187.13	RMSE: 237.46
Epoch 075	LOSS: 198.80	MAE: 186.67	RMSE: 237.03
Epoch 076	LOSS: 198.23	MAE: 186.21	RMSE: 236.61
Epoch 077	LOSS: 196.20	MAE: 185.74	RMSE: 236.18
Epoch 078	LOSS: 195.02	MAE: 185.28	RMSE: 235.75
Epoch 079	LOSS: 198.67	MAE: 184.81	RMSE: 235.32
Epoch 080	LOSS: 194.61	MAE: 184.34	RMSE: 234.88
Epoch 081	LOSS: 190.94	MAE: 183.87	RMSE: 234.45
Epoch 082	LOSS: 194.71	MAE: 183.39	RMSE: 234.01
Epoch 083	LOSS: 191.72	MAE: 182.92	RMSE: 233.57
Epoch 084	LOSS: 191.90	MAE: 182.45	RMSE: 233.13
Epoch 085	LOSS: 195.82	MAE: 181.97	RMSE: 232.68
Epoch 086	LOSS: 189.44	MAE: 181.50	RMSE: 232.24
Epoch 087	LOSS: 188.95	MAE: 181.02	RMSE: 231.79
Epoch 088	LOSS: 192.39	MAE: 180.54	RMSE: 231.34
Epoch 089	LOSS: 191.16	MAE: 180.06	RMSE: 230.89
Epoch 090	LOSS: 192.21	MAE: 179.59	RMSE: 230.43
Epoch 091	LOSS: 187.58	MAE: 179.11	RMSE: 229.98
Epoch 092	LOSS: 190.41	MAE: 178.63	RMSE: 229.52
Epoch 093	LOSS: 186.92	MAE: 178.15	RMSE: 229.07
Epoch 094	LOSS: 190.96	MAE: 177.66	RMSE: 228.61
Epoch 095	LOSS: 189.60	MAE: 177.18	RMSE: 228.15
Epoch 096	LOSS: 188.16	MAE: 176.70	RMSE: 227.68
Epoch 097	LOSS: 186.97	MAE: 176.22	RMSE: 227.22
Epoch 098	LOSS: 187.52	MAE: 175.74	RMSE: 226.76
Epoch 099	LOSS: 185.43	MAE: 175.25	RMSE: 226.29
Epoch 100	LOSS: 185.30	MAE: 174.77	RMSE: 225.82
Epoch 101	LOSS: 187.19	MAE: 174.29	RMSE: 225.35
Epoch 102	LOSS: 184.05	MAE: 173.80	RMSE: 224.88
Epoch 103	LOSS: 182.81	MAE: 173.32	RMSE: 224.41
Epoch 104	LOSS: 182.98	MAE: 172.84	RMSE: 223.94
Epoch 105	LOSS: 181.65	MAE: 172.36	RMSE: 223.46
Epoch 106	LOSS: 184.44	MAE: 171.88	RMSE: 222.99
Epoch 107	LOSS: 181.54	MAE: 171.39	RMSE: 222.51
Epoch 108	LOSS: 181.17	MAE: 170.91	RMSE: 222.03
Epoch 109	LOSS: 180.84	MAE: 170.43	RMSE: 221.56
Epoch 110	LOSS: 181.41	MAE: 169.95	RMSE: 221.08
Epoch 111	LOSS: 179.92	MAE: 169.47	RMSE: 220.60
Epoch 112	LOSS: 181.16	MAE: 168.99	RMSE: 220.11
Epoch 113	LOSS: 179.27	MAE: 168.51	RMSE: 219.63
Epoch 114	LOSS: 179.37	MAE: 168.03	RMSE: 219.15
Epoch 115	LOSS: 176.22	MAE: 167.56	RMSE: 218.67
Epoch 116	LOSS: 177.22	MAE: 167.08	RMSE: 218.18
Epoch 117	LOSS: 176.38	MAE: 166.60	RMSE: 217.70
Epoch 118	LOSS: 174.21	MAE: 166.13	RMSE: 217.21
Epoch 119	LOSS: 176.13	MAE: 165.66	RMSE: 216.72
Epoch 120	LOSS: 176.97	MAE: 165.19	RMSE: 216.24
Epoch 121	LOSS: 174.09	MAE: 164.73	RMSE: 215.75
Epoch 122	LOSS: 172.39	MAE: 164.26	RMSE: 215.27
Epoch 123	LOSS: 175.63	MAE: 163.80	RMSE: 214.78
Epoch 124	LOSS: 175.17	MAE: 163.33	RMSE: 214.29
Epoch 125	LOSS: 170.65	MAE: 162.87	RMSE: 213.81
Epoch 126	LOSS: 174.01	MAE: 162.41	RMSE: 213.32
Epoch 127	LOSS: 168.84	MAE: 161.95	RMSE: 212.83
Epoch 128	LOSS: 168.92	MAE: 161.49	RMSE: 212.34
Epoch 129	LOSS: 171.30	MAE: 161.03	RMSE: 211.85
Epoch 130	LOSS: 167.32	MAE: 160.58	RMSE: 211.36
Epoch 131	LOSS: 170.68	MAE: 160.12	RMSE: 210.87
