Epoch 000	LOSS: 224.97	MAE: 215.39	RMSE: 262.19
Epoch 001	LOSS: 226.41	MAE: 213.70	RMSE: 260.77
Epoch 002	LOSS: 225.21	MAE: 213.37	RMSE: 260.49
Epoch 003	LOSS: 227.55	MAE: 213.10	RMSE: 260.27
Epoch 004	LOSS: 224.45	MAE: 212.86	RMSE: 260.06
Epoch 005	LOSS: 225.47	MAE: 212.62	RMSE: 259.85
Epoch 006	LOSS: 223.72	MAE: 212.37	RMSE: 259.64
Epoch 007	LOSS: 225.32	MAE: 212.12	RMSE: 259.43
Epoch 008	LOSS: 223.79	MAE: 211.86	RMSE: 259.21
Epoch 009	LOSS: 222.74	MAE: 211.60	RMSE: 258.99
Epoch 010	LOSS: 224.33	MAE: 211.33	RMSE: 258.76
Epoch 011	LOSS: 221.97	MAE: 211.07	RMSE: 258.53
Epoch 012	LOSS: 224.46	MAE: 210.79	RMSE: 258.30
Epoch 013	LOSS: 220.11	MAE: 210.52	RMSE: 258.07
Epoch 014	LOSS: 221.75	MAE: 210.24	RMSE: 257.83
Epoch 015	LOSS: 221.66	MAE: 209.95	RMSE: 257.58
Epoch 016	LOSS: 226.14	MAE: 209.67	RMSE: 257.34
Epoch 017	LOSS: 218.73	MAE: 209.37	RMSE: 257.09
Epoch 018	LOSS: 221.04	MAE: 209.08	RMSE: 256.83
Epoch 019	LOSS: 220.83	MAE: 208.78	RMSE: 256.58
Epoch 020	LOSS: 220.29	MAE: 208.48	RMSE: 256.32
Epoch 021	LOSS: 219.07	MAE: 208.17	RMSE: 256.05
Epoch 022	LOSS: 218.19	MAE: 207.86	RMSE: 255.79
Epoch 023	LOSS: 217.44	MAE: 207.54	RMSE: 255.52
Epoch 024	LOSS: 222.24	MAE: 207.22	RMSE: 255.24
Epoch 025	LOSS: 215.51	MAE: 206.90	RMSE: 254.97
Epoch 026	LOSS: 215.05	MAE: 206.58	RMSE: 254.68
Epoch 027	LOSS: 218.74	MAE: 206.25	RMSE: 254.40
Epoch 028	LOSS: 216.78	MAE: 205.91	RMSE: 254.11
Epoch 029	LOSS: 215.19	MAE: 205.57	RMSE: 253.82
Epoch 030	LOSS: 216.35	MAE: 205.23	RMSE: 253.52
Epoch 031	LOSS: 215.04	MAE: 204.89	RMSE: 253.23
Epoch 032	LOSS: 218.92	MAE: 204.54	RMSE: 252.92
Epoch 033	LOSS: 215.44	MAE: 204.19	RMSE: 252.62
Epoch 034	LOSS: 213.39	MAE: 203.83	RMSE: 252.31
Epoch 035	LOSS: 213.25	MAE: 203.47	RMSE: 252.00
Epoch 036	LOSS: 214.18	MAE: 203.11	RMSE: 251.68
Epoch 037	LOSS: 214.70	MAE: 202.74	RMSE: 251.36
Epoch 038	LOSS: 214.79	MAE: 202.37	RMSE: 251.04
Epoch 039	LOSS: 214.12	MAE: 202.00	RMSE: 250.72
Epoch 040	LOSS: 212.17	MAE: 201.62	RMSE: 250.39
Epoch 041	LOSS: 212.36	MAE: 201.24	RMSE: 250.06
Epoch 042	LOSS: 215.16	MAE: 200.86	RMSE: 249.72
Epoch 043	LOSS: 211.01	MAE: 200.47	RMSE: 249.38
Epoch 044	LOSS: 210.79	MAE: 200.08	RMSE: 249.04
Epoch 045	LOSS: 212.71	MAE: 199.69	RMSE: 248.70
Epoch 046	LOSS: 207.13	MAE: 199.29	RMSE: 248.35
Epoch 047	LOSS: 212.02	MAE: 198.89	RMSE: 248.00
Epoch 048	LOSS: 210.14	MAE: 198.49	RMSE: 247.64
Epoch 049	LOSS: 209.90	MAE: 198.09	RMSE: 247.29
Epoch 050	LOSS: 208.45	MAE: 197.68	RMSE: 246.93
Epoch 051	LOSS: 211.82	MAE: 197.27	RMSE: 246.57
Epoch 052	LOSS: 206.45	MAE: 196.85	RMSE: 246.20
Epoch 053	LOSS: 206.89	MAE: 196.44	RMSE: 245.83
Epoch 054	LOSS: 206.60	MAE: 196.02	RMSE: 245.46
Epoch 055	LOSS: 206.90	MAE: 195.60	RMSE: 245.08
Epoch 056	LOSS: 205.26	MAE: 195.17	RMSE: 244.71
Epoch 057	LOSS: 205.77	MAE: 194.75	RMSE: 244.33
Epoch 058	LOSS: 204.18	MAE: 194.32	RMSE: 243.94
Epoch 059	LOSS: 203.28	MAE: 193.88	RMSE: 243.56
Epoch 060	LOSS: 205.24	MAE: 193.45	RMSE: 243.17
Epoch 061	LOSS: 205.76	MAE: 193.01	RMSE: 242.78
Epoch 062	LOSS: 207.43	MAE: 192.57	RMSE: 242.38
Epoch 063	LOSS: 201.94	MAE: 192.13	RMSE: 241.99
Epoch 064	LOSS: 205.31	MAE: 191.69	RMSE: 241.59
Epoch 065	LOSS: 200.77	MAE: 191.24	RMSE: 241.19
Epoch 066	LOSS: 203.99	MAE: 190.80	RMSE: 240.78
Epoch 067	LOSS: 201.12	MAE: 190.35	RMSE: 240.38
Epoch 068	LOSS: 199.75	MAE: 189.90	RMSE: 239.97
Epoch 069	LOSS: 198.84	MAE: 189.44	RMSE: 239.56
Epoch 070	LOSS: 202.33	MAE: 188.99	RMSE: 239.14
Epoch 071	LOSS: 199.40	MAE: 188.53	RMSE: 238.73
Epoch 072	LOSS: 200.61	MAE: 188.07	RMSE: 238.31
Epoch 073	LOSS: 197.32	MAE: 187.61	RMSE: 237.89
Epoch 074	LOSS: 196.71	MAE: 187.14	RMSE: 237.47
Epoch 075	LOSS: 196.65	MAE: 186.68	RMSE: 237.04
Epoch 076	LOSS: 197.23	MAE: 186.21	RMSE: 236.61
Epoch 077	LOSS: 194.63	MAE: 185.75	RMSE: 236.18
Epoch 078	LOSS: 198.38	MAE: 185.28	RMSE: 235.75
Epoch 079	LOSS: 194.62	MAE: 184.81	RMSE: 235.32
Epoch 080	LOSS: 196.40	MAE: 184.34	RMSE: 234.88
Epoch 081	LOSS: 194.80	MAE: 183.86	RMSE: 234.44
Epoch 082	LOSS: 194.71	MAE: 183.39	RMSE: 234.00
Epoch 083	LOSS: 193.26	MAE: 182.92	RMSE: 233.56
Epoch 084	LOSS: 190.08	MAE: 182.44	RMSE: 233.12
Epoch 085	LOSS: 196.53	MAE: 181.96	RMSE: 232.67
Epoch 086	LOSS: 192.08	MAE: 181.49	RMSE: 232.22
Epoch 087	LOSS: 191.81	MAE: 181.01	RMSE: 231.77
Epoch 088	LOSS: 187.71	MAE: 180.53	RMSE: 231.32
Epoch 089	LOSS: 188.63	MAE: 180.05	RMSE: 230.87
Epoch 090	LOSS: 190.62	MAE: 179.56	RMSE: 230.41
Epoch 091	LOSS: 190.79	MAE: 179.08	RMSE: 229.96
Epoch 092	LOSS: 191.51	MAE: 178.60	RMSE: 229.50
Epoch 093	LOSS: 192.90	MAE: 178.12	RMSE: 229.04
Epoch 094	LOSS: 190.87	MAE: 177.63	RMSE: 228.58
Epoch 095	LOSS: 190.56	MAE: 177.15	RMSE: 228.11
Epoch 096	LOSS: 188.09	MAE: 176.66	RMSE: 227.65
Epoch 097	LOSS: 185.92	MAE: 176.18	RMSE: 227.18
Epoch 098	LOSS: 185.29	MAE: 175.69	RMSE: 226.71
Epoch 099	LOSS: 186.22	MAE: 175.21	RMSE: 226.25
Epoch 100	LOSS: 187.40	MAE: 174.72	RMSE: 225.78
Epoch 101	LOSS: 185.34	MAE: 174.24	RMSE: 225.31
Epoch 102	LOSS: 183.19	MAE: 173.75	RMSE: 224.83
Epoch 103	LOSS: 183.91	MAE: 173.27	RMSE: 224.36
Epoch 104	LOSS: 183.24	MAE: 172.79	RMSE: 223.89
Epoch 105	LOSS: 180.95	MAE: 172.30	RMSE: 223.41
Epoch 106	LOSS: 185.11	MAE: 171.82	RMSE: 222.93
Epoch 107	LOSS: 179.97	MAE: 171.33	RMSE: 222.45
Epoch 108	LOSS: 182.54	MAE: 170.85	RMSE: 221.97
Epoch 109	LOSS: 183.40	MAE: 170.37	RMSE: 221.49
Epoch 110	LOSS: 180.07	MAE: 169.89	RMSE: 221.01
Epoch 111	LOSS: 179.84	MAE: 169.40	RMSE: 220.53
Epoch 112	LOSS: 178.62	MAE: 168.92	RMSE: 220.05
Epoch 113	LOSS: 176.93	MAE: 168.44	RMSE: 219.56
Epoch 114	LOSS: 176.06	MAE: 167.96	RMSE: 219.07
Epoch 115	LOSS: 179.66	MAE: 167.48	RMSE: 218.59
Epoch 116	LOSS: 177.69	MAE: 167.00	RMSE: 218.10
Epoch 117	LOSS: 179.77	MAE: 166.52	RMSE: 217.61
Epoch 118	LOSS: 173.28	MAE: 166.05	RMSE: 217.12
Epoch 119	LOSS: 176.26	MAE: 165.58	RMSE: 216.64
Epoch 120	LOSS: 174.71	MAE: 165.10	RMSE: 216.15
Epoch 121	LOSS: 175.03	MAE: 164.63	RMSE: 215.66
Epoch 122	LOSS: 172.91	MAE: 164.16	RMSE: 215.17
Epoch 123	LOSS: 173.18	MAE: 163.70	RMSE: 214.68
Epoch 124	LOSS: 170.66	MAE: 163.23	RMSE: 214.19
Epoch 125	LOSS: 171.06	MAE: 162.77	RMSE: 213.70
Epoch 126	LOSS: 171.88	MAE: 162.30	RMSE: 213.21
Epoch 127	LOSS: 171.58	MAE: 161.84	RMSE: 212.72
Epoch 128	LOSS: 170.14	MAE: 161.39	RMSE: 212.23
Epoch 129	LOSS: 169.92	MAE: 160.93	RMSE: 211.74
Epoch 130	LOSS: 171.34	MAE: 160.47	RMSE: 211.25
Epoch 131	LOSS: 169.84	MAE: 160.02	RMSE: 210.76
Epoch 132	LOSS: 168.78	MAE: 159.57	RMSE: 210.27
Epoch 133	LOSS: 168.78	MAE: 159.12	RMSE: 209.78
Epoch 134	LOSS: 169.07	MAE: 158.67	RMSE: 209.29
Epoch 135	LOSS: 167.85	MAE: 158.22	RMSE: 208.79
Epoch 136	LOSS: 166.63	MAE: 157.78	RMSE: 208.31
Epoch 137	LOSS: 167.14	MAE: 157.34	RMSE: 207.82
Epoch 138	LOSS: 162.49	MAE: 156.90	RMSE: 207.33
Epoch 139	LOSS: 165.25	MAE: 156.46	RMSE: 206.84
Epoch 140	LOSS: 167.81	MAE: 156.03	RMSE: 206.36
Epoch 141	LOSS: 165.32	MAE: 155.59	RMSE: 205.87
Epoch 142	LOSS: 163.63	MAE: 155.16	RMSE: 205.38
Epoch 143	LOSS: 166.18	MAE: 154.73	RMSE: 204.89
Epoch 144	LOSS: 162.25	MAE: 154.30	RMSE: 204.40
Epoch 145	LOSS: 165.50	MAE: 153.88	RMSE: 203.92
Epoch 146	LOSS: 160.45	MAE: 153.46	RMSE: 203.43
Epoch 147	LOSS: 160.47	MAE: 153.04	RMSE: 202.95
Epoch 148	LOSS: 161.53	MAE: 152.62	RMSE: 202.46
