Epoch 000	LOSS: 227.07	MAE: 215.56	RMSE: 262.33
Epoch 001	LOSS: 221.20	MAE: 213.68	RMSE: 260.75
Epoch 002	LOSS: 225.71	MAE: 213.34	RMSE: 260.46
Epoch 003	LOSS: 223.48	MAE: 213.08	RMSE: 260.25
Epoch 004	LOSS: 228.81	MAE: 212.84	RMSE: 260.04
Epoch 005	LOSS: 223.13	MAE: 212.59	RMSE: 259.83
Epoch 006	LOSS: 222.86	MAE: 212.34	RMSE: 259.61
Epoch 007	LOSS: 223.65	MAE: 212.08	RMSE: 259.40
Epoch 008	LOSS: 222.20	MAE: 211.82	RMSE: 259.18
Epoch 009	LOSS: 225.59	MAE: 211.56	RMSE: 258.95
Epoch 010	LOSS: 220.26	MAE: 211.29	RMSE: 258.72
Epoch 011	LOSS: 223.20	MAE: 211.02	RMSE: 258.49
Epoch 012	LOSS: 221.36	MAE: 210.74	RMSE: 258.26
Epoch 013	LOSS: 218.95	MAE: 210.46	RMSE: 258.02
Epoch 014	LOSS: 222.47	MAE: 210.18	RMSE: 257.78
Epoch 015	LOSS: 224.16	MAE: 209.89	RMSE: 257.53
Epoch 016	LOSS: 219.93	MAE: 209.60	RMSE: 257.28
Epoch 017	LOSS: 221.01	MAE: 209.31	RMSE: 257.03
Epoch 018	LOSS: 220.60	MAE: 209.01	RMSE: 256.78
Epoch 019	LOSS: 216.99	MAE: 208.71	RMSE: 256.52
Epoch 020	LOSS: 220.77	MAE: 208.40	RMSE: 256.25
Epoch 021	LOSS: 218.81	MAE: 208.09	RMSE: 255.99
Epoch 022	LOSS: 218.86	MAE: 207.78	RMSE: 255.72
Epoch 023	LOSS: 218.13	MAE: 207.46	RMSE: 255.45
Epoch 024	LOSS: 219.61	MAE: 207.14	RMSE: 255.17
Epoch 025	LOSS: 216.59	MAE: 206.82	RMSE: 254.89
Epoch 026	LOSS: 219.71	MAE: 206.49	RMSE: 254.61
Epoch 027	LOSS: 217.40	MAE: 206.16	RMSE: 254.32
Epoch 028	LOSS: 216.15	MAE: 205.82	RMSE: 254.03
Epoch 029	LOSS: 216.87	MAE: 205.48	RMSE: 253.74
Epoch 030	LOSS: 215.09	MAE: 205.14	RMSE: 253.44
Epoch 031	LOSS: 219.70	MAE: 204.79	RMSE: 253.14
Epoch 032	LOSS: 215.49	MAE: 204.44	RMSE: 252.84
Epoch 033	LOSS: 217.09	MAE: 204.09	RMSE: 252.54
Epoch 034	LOSS: 213.20	MAE: 203.73	RMSE: 252.23
Epoch 035	LOSS: 218.12	MAE: 203.37	RMSE: 251.91
Epoch 036	LOSS: 216.00	MAE: 203.01	RMSE: 251.60
Epoch 037	LOSS: 215.23	MAE: 202.64	RMSE: 251.28
Epoch 038	LOSS: 212.74	MAE: 202.27	RMSE: 250.96
Epoch 039	LOSS: 212.34	MAE: 201.90	RMSE: 250.63
Epoch 040	LOSS: 214.28	MAE: 201.52	RMSE: 250.30
Epoch 041	LOSS: 213.59	MAE: 201.14	RMSE: 249.97
Epoch 042	LOSS: 213.01	MAE: 200.76	RMSE: 249.64
Epoch 043	LOSS: 212.09	MAE: 200.37	RMSE: 249.30
Epoch 044	LOSS: 208.55	MAE: 199.98	RMSE: 248.96
Epoch 045	LOSS: 211.02	MAE: 199.59	RMSE: 248.61
Epoch 046	LOSS: 209.00	MAE: 199.20	RMSE: 248.27
Epoch 047	LOSS: 209.72	MAE: 198.80	RMSE: 247.92
Epoch 048	LOSS: 208.42	MAE: 198.40	RMSE: 247.56
Epoch 049	LOSS: 210.24	MAE: 198.00	RMSE: 247.21
Epoch 050	LOSS: 207.88	MAE: 197.59	RMSE: 246.85
Epoch 051	LOSS: 207.19	MAE: 197.18	RMSE: 246.49
Epoch 052	LOSS: 204.13	MAE: 196.77	RMSE: 246.13
Epoch 053	LOSS: 207.13	MAE: 196.36	RMSE: 245.76
Epoch 054	LOSS: 209.07	MAE: 195.94	RMSE: 245.39
Epoch 055	LOSS: 207.46	MAE: 195.52	RMSE: 245.02
Epoch 056	LOSS: 205.81	MAE: 195.10	RMSE: 244.64
Epoch 057	LOSS: 207.65	MAE: 194.67	RMSE: 244.26
Epoch 058	LOSS: 205.05	MAE: 194.25	RMSE: 243.88
Epoch 059	LOSS: 203.00	MAE: 193.82	RMSE: 243.50
Epoch 060	LOSS: 207.88	MAE: 193.39	RMSE: 243.11
Epoch 061	LOSS: 203.87	MAE: 192.95	RMSE: 242.72
Epoch 062	LOSS: 202.54	MAE: 192.51	RMSE: 242.33
Epoch 063	LOSS: 205.37	MAE: 192.07	RMSE: 241.94
Epoch 064	LOSS: 205.06	MAE: 191.63	RMSE: 241.54
Epoch 065	LOSS: 203.04	MAE: 191.19	RMSE: 241.14
Epoch 066	LOSS: 203.22	MAE: 190.75	RMSE: 240.74
Epoch 067	LOSS: 201.11	MAE: 190.30	RMSE: 240.34
Epoch 068	LOSS: 203.03	MAE: 189.85	RMSE: 239.93
Epoch 069	LOSS: 203.30	MAE: 189.40	RMSE: 239.52
Epoch 070	LOSS: 202.89	MAE: 188.95	RMSE: 239.11
Epoch 071	LOSS: 198.23	MAE: 188.49	RMSE: 238.69
Epoch 072	LOSS: 197.54	MAE: 188.03	RMSE: 238.28
Epoch 073	LOSS: 200.66	MAE: 187.57	RMSE: 237.86
Epoch 074	LOSS: 199.76	MAE: 187.11	RMSE: 237.44
Epoch 075	LOSS: 198.95	MAE: 186.65	RMSE: 237.01
Epoch 076	LOSS: 196.57	MAE: 186.19	RMSE: 236.59
Epoch 077	LOSS: 196.15	MAE: 185.72	RMSE: 236.16
Epoch 078	LOSS: 195.61	MAE: 185.26	RMSE: 235.73
Epoch 079	LOSS: 193.19	MAE: 184.79	RMSE: 235.30
Epoch 080	LOSS: 198.32	MAE: 184.32	RMSE: 234.87
Epoch 081	LOSS: 192.78	MAE: 183.85	RMSE: 234.43
Epoch 082	LOSS: 189.28	MAE: 183.38	RMSE: 233.99
Epoch 083	LOSS: 196.18	MAE: 182.91	RMSE: 233.55
Epoch 084	LOSS: 192.97	MAE: 182.43	RMSE: 233.11
Epoch 085	LOSS: 191.36	MAE: 181.96	RMSE: 232.67
Epoch 086	LOSS: 193.45	MAE: 181.48	RMSE: 232.22
Epoch 087	LOSS: 193.16	MAE: 181.01	RMSE: 231.77
Epoch 088	LOSS: 190.14	MAE: 180.53	RMSE: 231.33
Epoch 089	LOSS: 191.93	MAE: 180.05	RMSE: 230.88
Epoch 090	LOSS: 189.34	MAE: 179.57	RMSE: 230.42
Epoch 091	LOSS: 189.00	MAE: 179.10	RMSE: 229.97
Epoch 092	LOSS: 188.66	MAE: 178.61	RMSE: 229.51
Epoch 093	LOSS: 188.06	MAE: 178.14	RMSE: 229.06
Epoch 094	LOSS: 191.39	MAE: 177.65	RMSE: 228.60
Epoch 095	LOSS: 188.07	MAE: 177.17	RMSE: 228.14
Epoch 096	LOSS: 189.73	MAE: 176.69	RMSE: 227.67
Epoch 097	LOSS: 187.68	MAE: 176.21	RMSE: 227.21
Epoch 098	LOSS: 186.29	MAE: 175.73	RMSE: 226.75
Epoch 099	LOSS: 184.85	MAE: 175.24	RMSE: 226.28
Epoch 100	LOSS: 183.67	MAE: 174.76	RMSE: 225.81
Epoch 101	LOSS: 186.39	MAE: 174.28	RMSE: 225.34
Epoch 102	LOSS: 183.07	MAE: 173.80	RMSE: 224.87
Epoch 103	LOSS: 182.73	MAE: 173.31	RMSE: 224.40
Epoch 104	LOSS: 184.72	MAE: 172.83	RMSE: 223.93
Epoch 105	LOSS: 183.44	MAE: 172.35	RMSE: 223.46
Epoch 106	LOSS: 182.15	MAE: 171.87	RMSE: 222.99
Epoch 107	LOSS: 182.56	MAE: 171.39	RMSE: 222.51
Epoch 108	LOSS: 179.36	MAE: 170.91	RMSE: 222.03
Epoch 109	LOSS: 176.15	MAE: 170.43	RMSE: 221.56
Epoch 110	LOSS: 180.79	MAE: 169.95	RMSE: 221.08
Epoch 111	LOSS: 179.62	MAE: 169.47	RMSE: 220.60
Epoch 112	LOSS: 178.23	MAE: 168.99	RMSE: 220.12
Epoch 113	LOSS: 177.12	MAE: 168.51	RMSE: 219.63
Epoch 114	LOSS: 177.10	MAE: 168.03	RMSE: 219.15
Epoch 115	LOSS: 175.39	MAE: 167.56	RMSE: 218.67
Epoch 116	LOSS: 175.61	MAE: 167.08	RMSE: 218.18
Epoch 117	LOSS: 176.01	MAE: 166.61	RMSE: 217.70
Epoch 118	LOSS: 175.04	MAE: 166.14	RMSE: 217.22
Epoch 119	LOSS: 173.99	MAE: 165.67	RMSE: 216.73
Epoch 120	LOSS: 173.07	MAE: 165.20	RMSE: 216.25
Epoch 121	LOSS: 172.71	MAE: 164.73	RMSE: 215.76
Epoch 122	LOSS: 173.74	MAE: 164.27	RMSE: 215.27
Epoch 123	LOSS: 173.10	MAE: 163.80	RMSE: 214.78
Epoch 124	LOSS: 173.63	MAE: 163.34	RMSE: 214.30
Epoch 125	LOSS: 171.84	MAE: 162.87	RMSE: 213.81
Epoch 126	LOSS: 171.66	MAE: 162.41	RMSE: 213.32
Epoch 127	LOSS: 173.77	MAE: 161.95	RMSE: 212.83
Epoch 128	LOSS: 168.01	MAE: 161.49	RMSE: 212.34
Epoch 129	LOSS: 172.07	MAE: 161.03	RMSE: 211.85
Epoch 130	LOSS: 171.65	MAE: 160.58	RMSE: 211.36
Epoch 131	LOSS: 165.83	MAE: 160.12	RMSE: 210.87
Epoch 132	LOSS: 166.33	MAE: 159.67	RMSE: 210.38
Epoch 133	LOSS: 169.70	MAE: 159.22	RMSE: 209.89
Epoch 134	LOSS: 167.34	MAE: 158.77	RMSE: 209.40
Epoch 135	LOSS: 168.89	MAE: 158.33	RMSE: 208.91
Epoch 136	LOSS: 168.32	MAE: 157.88	RMSE: 208.42
Epoch 137	LOSS: 166.44	MAE: 157.44	RMSE: 207.93
Epoch 138	LOSS: 167.39	MAE: 157.00	RMSE: 207.44
Epoch 139	LOSS: 167.39	MAE: 156.56	RMSE: 206.95
Epoch 140	LOSS: 164.08	MAE: 156.12	RMSE: 206.46
Epoch 141	LOSS: 167.30	MAE: 155.68	RMSE: 205.97
Epoch 142	LOSS: 165.45	MAE: 155.25	RMSE: 205.48
Epoch 143	LOSS: 164.08	MAE: 154.82	RMSE: 204.99
Epoch 144	LOSS: 162.42	MAE: 154.40	RMSE: 204.51
Epoch 145	LOSS: 163.15	MAE: 153.97	RMSE: 204.02
Epoch 146	LOSS: 163.14	MAE: 153.55	RMSE: 203.54
Epoch 147	LOSS: 162.04	MAE: 153.14	RMSE: 203.06
Epoch 148	LOSS: 159.60	MAE: 152.72	RMSE: 202.58
Epoch 149	LOSS: 160.64	MAE: 152.31	RMSE: 202.10
Epoch 150	LOSS: 158.94	MAE: 151.90	RMSE: 201.62
Epoch 151	LOSS: 160.13	MAE: 151.50	RMSE: 201.14
Epoch 152	LOSS: 160.39	MAE: 151.09	RMSE: 200.67
Epoch 153	LOSS: 157.62	MAE: 150.69	RMSE: 200.19
Epoch 154	LOSS: 158.81	MAE: 150.29	RMSE: 199.71
Epoch 155	LOSS: 158.45	MAE: 149.90	RMSE: 199.23
Epoch 156	LOSS: 156.92	MAE: 149.50	RMSE: 198.76
Epoch 157	LOSS: 157.31	MAE: 149.11	RMSE: 198.28
Epoch 158	LOSS: 158.38	MAE: 148.72	RMSE: 197.81
Epoch 159	LOSS: 157.53	MAE: 148.33	RMSE: 197.34
Epoch 160	LOSS: 154.46	MAE: 147.95	RMSE: 196.87
Epoch 161	LOSS: 155.78	MAE: 147.57	RMSE: 196.40
Epoch 162	LOSS: 156.79	MAE: 147.19	RMSE: 195.93
Epoch 163	LOSS: 156.40	MAE: 146.82	RMSE: 195.46
Epoch 164	LOSS: 154.85	MAE: 146.44	RMSE: 194.99
Epoch 165	LOSS: 154.54	MAE: 146.08	RMSE: 194.53
Epoch 166	LOSS: 154.55	MAE: 145.71	RMSE: 194.07
Epoch 167	LOSS: 154.23	MAE: 145.35	RMSE: 193.61
Epoch 168	LOSS: 152.39	MAE: 144.99	RMSE: 193.15
Epoch 169	LOSS: 154.60	MAE: 144.64	RMSE: 192.69
Epoch 170	LOSS: 151.63	MAE: 144.29	RMSE: 192.23
Epoch 171	LOSS: 151.70	MAE: 143.94	RMSE: 191.77
Epoch 172	LOSS: 151.82	MAE: 143.59	RMSE: 191.32
Epoch 173	LOSS: 152.24	MAE: 143.25	RMSE: 190.86
Epoch 174	LOSS: 150.15	MAE: 142.91	RMSE: 190.41
Epoch 175	LOSS: 151.45	MAE: 142.57	RMSE: 189.96
Epoch 176	LOSS: 151.22	MAE: 142.24	RMSE: 189.51
Epoch 177	LOSS: 151.58	MAE: 141.91	RMSE: 189.06
Epoch 178	LOSS: 151.28	MAE: 141.58	RMSE: 188.62
Epoch 179	LOSS: 149.43	MAE: 141.26	RMSE: 188.18
Epoch 180	LOSS: 149.35	MAE: 140.94	RMSE: 187.74
Epoch 181	LOSS: 148.21	MAE: 140.62	RMSE: 187.30
Epoch 182	LOSS: 147.84	MAE: 140.31	RMSE: 186.87
