Epoch 000	LOSS: 63.21	MAE: 66.29	RMSE: 80.07
Epoch 001	LOSS: 62.22	MAE: 65.27	RMSE: 79.11
Epoch 002	LOSS: 61.47	MAE: 64.21	RMSE: 78.09
Epoch 003	LOSS: 59.95	MAE: 63.13	RMSE: 77.02
Epoch 004	LOSS: 58.97	MAE: 62.05	RMSE: 75.90
Epoch 005	LOSS: 58.04	MAE: 60.97	RMSE: 74.75
Epoch 006	LOSS: 57.05	MAE: 59.90	RMSE: 73.56
Epoch 007	LOSS: 55.86	MAE: 58.85	RMSE: 72.34
Epoch 008	LOSS: 54.90	MAE: 57.81	RMSE: 71.10
Epoch 009	LOSS: 54.05	MAE: 56.80	RMSE: 69.84
Epoch 010	LOSS: 52.88	MAE: 55.80	RMSE: 68.58
Epoch 011	LOSS: 51.88	MAE: 54.82	RMSE: 67.29
Epoch 012	LOSS: 51.04	MAE: 53.86	RMSE: 66.00
Epoch 013	LOSS: 49.97	MAE: 52.92	RMSE: 64.71
Epoch 014	LOSS: 49.31	MAE: 52.00	RMSE: 63.42
Epoch 015	LOSS: 48.17	MAE: 51.10	RMSE: 62.13
Epoch 016	LOSS: 47.19	MAE: 50.22	RMSE: 60.86
Epoch 017	LOSS: 46.38	MAE: 49.37	RMSE: 59.60
Epoch 018	LOSS: 45.76	MAE: 48.56	RMSE: 58.39
Epoch 019	LOSS: 44.79	MAE: 47.78	RMSE: 57.20
Epoch 020	LOSS: 44.17	MAE: 47.01	RMSE: 56.03
Epoch 021	LOSS: 43.35	MAE: 46.28	RMSE: 54.91
Epoch 022	LOSS: 42.63	MAE: 45.59	RMSE: 53.85
Epoch 023	LOSS: 42.01	MAE: 44.94	RMSE: 52.83
Epoch 024	LOSS: 41.29	MAE: 44.33	RMSE: 51.89
Epoch 025	LOSS: 40.89	MAE: 43.76	RMSE: 51.00
Epoch 026	LOSS: 40.26	MAE: 43.23	RMSE: 50.18
Epoch 027	LOSS: 39.84	MAE: 42.74	RMSE: 49.45
Epoch 028	LOSS: 39.38	MAE: 42.29	RMSE: 48.78
Epoch 029	LOSS: 39.04	MAE: 41.89	RMSE: 48.18
Epoch 030	LOSS: 38.51	MAE: 41.52	RMSE: 47.65
Epoch 031	LOSS: 38.17	MAE: 41.20	RMSE: 47.20
Epoch 032	LOSS: 38.14	MAE: 40.91	RMSE: 46.82
Epoch 033	LOSS: 37.78	MAE: 40.66	RMSE: 46.50
Epoch 034	LOSS: 37.65	MAE: 40.45	RMSE: 46.24
Epoch 035	LOSS: 37.54	MAE: 40.27	RMSE: 46.04
Epoch 036	LOSS: 37.29	MAE: 40.11	RMSE: 45.87
Epoch 037	LOSS: 37.24	MAE: 39.98	RMSE: 45.75
Epoch 038	LOSS: 37.09	MAE: 39.88	RMSE: 45.66
Epoch 039	LOSS: 37.06	MAE: 39.80	RMSE: 45.60
Epoch 040	LOSS: 37.03	MAE: 39.73	RMSE: 45.56
Epoch 041	LOSS: 36.91	MAE: 39.67	RMSE: 45.54
Epoch 042	LOSS: 36.80	MAE: 39.63	RMSE: 45.53
Epoch 043	LOSS: 36.86	MAE: 39.59	RMSE: 45.53
Epoch 044	LOSS: 36.91	MAE: 39.56	RMSE: 45.53
Epoch 045	LOSS: 36.90	MAE: 39.55	RMSE: 45.53
