Epoch 000	LOSS: 63.34	MAE: 66.51	RMSE: 80.28
Epoch 001	LOSS: 62.30	MAE: 65.49	RMSE: 79.32
Epoch 002	LOSS: 61.32	MAE: 64.43	RMSE: 78.30
Epoch 003	LOSS: 60.30	MAE: 63.34	RMSE: 77.23
Epoch 004	LOSS: 59.41	MAE: 62.25	RMSE: 76.11
Epoch 005	LOSS: 58.16	MAE: 61.16	RMSE: 74.95
Epoch 006	LOSS: 57.35	MAE: 60.08	RMSE: 73.75
Epoch 007	LOSS: 56.22	MAE: 59.01	RMSE: 72.53
Epoch 008	LOSS: 54.99	MAE: 57.96	RMSE: 71.28
Epoch 009	LOSS: 54.14	MAE: 56.94	RMSE: 70.03
Epoch 010	LOSS: 53.17	MAE: 55.94	RMSE: 68.75
Epoch 011	LOSS: 51.83	MAE: 54.95	RMSE: 67.47
Epoch 012	LOSS: 51.29	MAE: 53.98	RMSE: 66.17
Epoch 013	LOSS: 50.25	MAE: 53.04	RMSE: 64.87
Epoch 014	LOSS: 49.15	MAE: 52.12	RMSE: 63.58
Epoch 015	LOSS: 48.42	MAE: 51.20	RMSE: 62.28
Epoch 016	LOSS: 47.51	MAE: 50.33	RMSE: 61.00
Epoch 017	LOSS: 46.48	MAE: 49.47	RMSE: 59.75
Epoch 018	LOSS: 45.73	MAE: 48.65	RMSE: 58.51
Epoch 019	LOSS: 44.99	MAE: 47.85	RMSE: 57.32
Epoch 020	LOSS: 44.18	MAE: 47.09	RMSE: 56.15
Epoch 021	LOSS: 43.28	MAE: 46.36	RMSE: 55.03
Epoch 022	LOSS: 42.67	MAE: 45.66	RMSE: 53.95
Epoch 023	LOSS: 42.10	MAE: 45.00	RMSE: 52.93
Epoch 024	LOSS: 41.54	MAE: 44.39	RMSE: 51.98
Epoch 025	LOSS: 40.93	MAE: 43.82	RMSE: 51.10
Epoch 026	LOSS: 40.36	MAE: 43.30	RMSE: 50.30
Epoch 027	LOSS: 39.92	MAE: 42.81	RMSE: 49.55
Epoch 028	LOSS: 39.43	MAE: 42.36	RMSE: 48.88
Epoch 029	LOSS: 39.15	MAE: 41.95	RMSE: 48.28
Epoch 030	LOSS: 38.83	MAE: 41.58	RMSE: 47.74
Epoch 031	LOSS: 38.37	MAE: 41.26	RMSE: 47.29
Epoch 032	LOSS: 38.06	MAE: 40.97	RMSE: 46.89
Epoch 033	LOSS: 34.81	MAE: 39.72	RMSE: 45.88
Epoch 034	LOSS: 31.42	MAE: 38.39	RMSE: 44.90
Epoch 035	LOSS: 29.26	MAE: 37.36	RMSE: 43.98
Epoch 036	LOSS: 27.91	MAE: 36.79	RMSE: 43.49
Epoch 037	LOSS: 26.75	MAE: 36.24	RMSE: 43.04
Epoch 038	LOSS: 25.92	MAE: 35.85	RMSE: 42.77
Epoch 039	LOSS: 25.03	MAE: 35.53	RMSE: 42.68
Epoch 040	LOSS: 24.11	MAE: 35.32	RMSE: 42.76
Epoch 041	LOSS: 23.50	MAE: 35.19	RMSE: 42.93
Epoch 042	LOSS: 22.91	MAE: 35.10	RMSE: 43.19
Epoch 043	LOSS: 22.48	MAE: 35.17	RMSE: 43.58
Epoch 044	LOSS: 22.13	MAE: 35.26	RMSE: 43.97
Epoch 045	LOSS: 21.92	MAE: 35.38	RMSE: 44.40
Epoch 046	LOSS: 21.87	MAE: 35.53	RMSE: 44.82
Epoch 047	LOSS: 21.57	MAE: 35.66	RMSE: 45.19
Epoch 048	LOSS: 21.35	MAE: 35.75	RMSE: 45.50
Epoch 049	LOSS: 21.35	MAE: 35.92	RMSE: 45.84
Epoch 050	LOSS: 21.56	MAE: 36.14	RMSE: 46.14
Epoch 051	LOSS: 21.01	MAE: 36.00	RMSE: 46.49
Epoch 052	LOSS: 20.84	MAE: 36.12	RMSE: 46.30
Epoch 053	LOSS: 20.59	MAE: 36.11	RMSE: 46.39
Epoch 054	LOSS: 20.28	MAE: 35.15	RMSE: 45.18
