Epoch 000	LOSS: 64.06	MAE: 67.05	RMSE: 80.78
Epoch 001	LOSS: 63.04	MAE: 66.07	RMSE: 79.87
Epoch 002	LOSS: 62.03	MAE: 65.03	RMSE: 78.89
Epoch 003	LOSS: 61.25	MAE: 63.96	RMSE: 77.84
Epoch 004	LOSS: 59.79	MAE: 62.86	RMSE: 76.74
Epoch 005	LOSS: 58.84	MAE: 61.75	RMSE: 75.58
Epoch 006	LOSS: 57.70	MAE: 60.64	RMSE: 74.39
Epoch 007	LOSS: 56.91	MAE: 59.54	RMSE: 73.14
Epoch 008	LOSS: 55.36	MAE: 58.46	RMSE: 71.88
Epoch 009	LOSS: 54.50	MAE: 57.40	RMSE: 70.60
Epoch 010	LOSS: 53.37	MAE: 56.37	RMSE: 69.31
Epoch 011	LOSS: 52.36	MAE: 55.34	RMSE: 67.98
Epoch 012	LOSS: 51.44	MAE: 54.34	RMSE: 66.65
Epoch 013	LOSS: 50.59	MAE: 53.37	RMSE: 65.33
Epoch 014	LOSS: 49.66	MAE: 52.42	RMSE: 64.00
Epoch 015	LOSS: 48.53	MAE: 51.49	RMSE: 62.69
Epoch 016	LOSS: 47.65	MAE: 50.59	RMSE: 61.39
Epoch 017	LOSS: 46.79	MAE: 49.71	RMSE: 60.10
Epoch 018	LOSS: 45.92	MAE: 48.85	RMSE: 58.83
Epoch 019	LOSS: 45.05	MAE: 48.03	RMSE: 57.59
Epoch 020	LOSS: 44.43	MAE: 47.24	RMSE: 56.38
Epoch 021	LOSS: 43.54	MAE: 46.49	RMSE: 55.23
Epoch 022	LOSS: 42.82	MAE: 45.78	RMSE: 54.14
Epoch 023	LOSS: 42.14	MAE: 45.11	RMSE: 53.09
Epoch 024	LOSS: 41.53	MAE: 44.47	RMSE: 52.10
Epoch 025	LOSS: 40.90	MAE: 43.89	RMSE: 51.21
Epoch 026	LOSS: 40.48	MAE: 43.35	RMSE: 50.37
Epoch 027	LOSS: 39.85	MAE: 42.84	RMSE: 49.59
Epoch 028	LOSS: 39.52	MAE: 42.38	RMSE: 48.91
Epoch 029	LOSS: 39.08	MAE: 41.96	RMSE: 48.28
Epoch 030	LOSS: 38.66	MAE: 41.59	RMSE: 47.75
Epoch 031	LOSS: 38.29	MAE: 41.25	RMSE: 47.27
Epoch 032	LOSS: 38.12	MAE: 40.95	RMSE: 46.88
Epoch 033	LOSS: 37.89	MAE: 40.70	RMSE: 46.55
Epoch 034	LOSS: 37.66	MAE: 40.48	RMSE: 46.28
Epoch 035	LOSS: 37.50	MAE: 40.29	RMSE: 46.06
Epoch 036	LOSS: 37.29	MAE: 40.13	RMSE: 45.89
Epoch 037	LOSS: 37.21	MAE: 39.99	RMSE: 45.76
Epoch 038	LOSS: 37.08	MAE: 39.89	RMSE: 45.67
Epoch 039	LOSS: 37.09	MAE: 39.80	RMSE: 45.61
Epoch 040	LOSS: 37.04	MAE: 39.73	RMSE: 45.56
Epoch 041	LOSS: 36.93	MAE: 39.67	RMSE: 45.54
Epoch 042	LOSS: 36.92	MAE: 39.62	RMSE: 45.53
Epoch 043	LOSS: 37.05	MAE: 39.59	RMSE: 45.52
Epoch 044	LOSS: 36.89	MAE: 39.56	RMSE: 45.53
Epoch 045	LOSS: 36.83	MAE: 39.54	RMSE: 45.54
Epoch 046	LOSS: 36.87	MAE: 39.53	RMSE: 45.54
Epoch 047	LOSS: 36.58	MAE: 39.46	RMSE: 45.47
Epoch 048	LOSS: 35.85	MAE: 39.48	RMSE: 45.58
Epoch 049	LOSS: 36.80	MAE: 39.50	RMSE: 45.58
Epoch 050	LOSS: 36.81	MAE: 39.48	RMSE: 45.60
Epoch 051	LOSS: 36.83	MAE: 39.48	RMSE: 45.58
Epoch 052	LOSS: 36.83	MAE: 39.47	RMSE: 45.59
Epoch 053	LOSS: 36.83	MAE: 39.46	RMSE: 45.62
Epoch 054	LOSS: 36.86	MAE: 39.47	RMSE: 45.58
Epoch 055	LOSS: 36.81	MAE: 39.47	RMSE: 45.58
Epoch 056	LOSS: 36.74	MAE: 39.47	RMSE: 45.61
Epoch 057	LOSS: 36.77	MAE: 39.47	RMSE: 45.59
Epoch 058	LOSS: 36.74	MAE: 39.47	RMSE: 45.56
Epoch 059	LOSS: 36.75	MAE: 39.48	RMSE: 45.55
Epoch 060	LOSS: 36.73	MAE: 39.48	RMSE: 45.55
Epoch 061	LOSS: 36.64	MAE: 39.40	RMSE: 45.51
Epoch 062	LOSS: 36.35	MAE: 39.31	RMSE: 45.46
Epoch 063	LOSS: 28.86	MAE: 36.88	RMSE: 43.43
Epoch 064	LOSS: 26.07	MAE: 35.95	RMSE: 43.14
Epoch 065	LOSS: 24.89	MAE: 35.57	RMSE: 43.09
Epoch 066	LOSS: 23.88	MAE: 35.40	RMSE: 43.34
Epoch 067	LOSS: 23.02	MAE: 35.41	RMSE: 43.77
Epoch 068	LOSS: 22.45	MAE: 35.50	RMSE: 44.32
Epoch 069	LOSS: 21.93	MAE: 35.60	RMSE: 44.88
Epoch 070	LOSS: 21.57	MAE: 35.75	RMSE: 45.38
Epoch 071	LOSS: 21.45	MAE: 35.96	RMSE: 45.88
Epoch 072	LOSS: 21.48	MAE: 36.16	RMSE: 46.27
Epoch 073	LOSS: 21.45	MAE: 36.31	RMSE: 46.60
Epoch 074	LOSS: 21.28	MAE: 36.42	RMSE: 46.81
Epoch 075	LOSS: 21.35	MAE: 36.45	RMSE: 46.92
Epoch 076	LOSS: 21.21	MAE: 36.52	RMSE: 47.04
Epoch 077	LOSS: 21.15	MAE: 36.54	RMSE: 47.10
Epoch 078	LOSS: 21.09	MAE: 36.55	RMSE: 47.12
Epoch 079	LOSS: 21.07	MAE: 36.51	RMSE: 47.08
Epoch 080	LOSS: 21.04	MAE: 36.53	RMSE: 47.11
Epoch 081	LOSS: 20.91	MAE: 36.49	RMSE: 47.06
Epoch 082	LOSS: 20.76	MAE: 36.46	RMSE: 47.04
Epoch 083	LOSS: 20.26	MAE: 36.44	RMSE: 47.03
Epoch 084	LOSS: 21.17	MAE: 36.99	RMSE: 47.68
Epoch 085	LOSS: 20.38	MAE: 37.07	RMSE: 47.92
Epoch 086	LOSS: 19.55	MAE: 36.80	RMSE: 47.82
Epoch 087	LOSS: 19.26	MAE: 35.72	RMSE: 46.84
Epoch 088	LOSS: 19.02	MAE: 36.42	RMSE: 47.60
Epoch 089	LOSS: 18.90	MAE: 36.83	RMSE: 48.13
Epoch 090	LOSS: 18.98	MAE: 36.20	RMSE: 47.48
Epoch 091	LOSS: 18.78	MAE: 35.94	RMSE: 47.25
Epoch 092	LOSS: 18.72	MAE: 35.93	RMSE: 47.25
Epoch 093	LOSS: 18.63	MAE: 35.93	RMSE: 47.30
Epoch 094	LOSS: 18.65	MAE: 35.90	RMSE: 47.25
Epoch 095	LOSS: 18.61	MAE: 35.97	RMSE: 47.35
Epoch 096	LOSS: 18.60	MAE: 35.90	RMSE: 47.28
Epoch 097	LOSS: 18.58	MAE: 35.94	RMSE: 47.34
Epoch 098	LOSS: 18.55	MAE: 35.97	RMSE: 47.35
Epoch 099	LOSS: 18.73	MAE: 35.96	RMSE: 47.32
Epoch 100	LOSS: 18.76	MAE: 35.89	RMSE: 47.22
Epoch 101	LOSS: 18.63	MAE: 35.83	RMSE: 47.19
Epoch 102	LOSS: 18.47	MAE: 35.84	RMSE: 47.25
Epoch 103	LOSS: 18.45	MAE: 35.74	RMSE: 47.17
Epoch 104	LOSS: 18.46	MAE: 35.79	RMSE: 47.21
Epoch 105	LOSS: 18.48	MAE: 35.81	RMSE: 47.21
Epoch 106	LOSS: 18.40	MAE: 35.87	RMSE: 47.28
Epoch 107	LOSS: 18.40	MAE: 35.76	RMSE: 47.20
Epoch 108	LOSS: 18.53	MAE: 35.75	RMSE: 47.22
Epoch 109	LOSS: 18.46	MAE: 35.76	RMSE: 47.19
Epoch 110	LOSS: 18.39	MAE: 35.73	RMSE: 47.20
Epoch 111	LOSS: 18.31	MAE: 35.67	RMSE: 47.14
Epoch 112	LOSS: 18.42	MAE: 35.69	RMSE: 47.15
Epoch 113	LOSS: 18.34	MAE: 35.60	RMSE: 47.10
Epoch 114	LOSS: 18.32	MAE: 35.70	RMSE: 47.18
Epoch 115	LOSS: 18.27	MAE: 35.70	RMSE: 47.22
Epoch 116	LOSS: 18.37	MAE: 35.65	RMSE: 47.16
Epoch 117	LOSS: 18.36	MAE: 35.63	RMSE: 47.17
Epoch 118	LOSS: 18.23	MAE: 35.65	RMSE: 47.14
Epoch 119	LOSS: 18.23	MAE: 35.66	RMSE: 47.13
Epoch 120	LOSS: 18.21	MAE: 35.57	RMSE: 47.05
Epoch 121	LOSS: 18.27	MAE: 35.52	RMSE: 47.04
Epoch 122	LOSS: 18.50	MAE: 35.89	RMSE: 47.33
Epoch 123	LOSS: 18.38	MAE: 35.81	RMSE: 47.19
Epoch 124	LOSS: 18.29	MAE: 35.54	RMSE: 47.02
Epoch 125	LOSS: 18.64	MAE: 35.49	RMSE: 46.74
Epoch 126	LOSS: 18.33	MAE: 35.12	RMSE: 46.44
Epoch 127	LOSS: 18.19	MAE: 34.91	RMSE: 46.29
Epoch 128	LOSS: 18.19	MAE: 34.79	RMSE: 46.12
Epoch 129	LOSS: 18.29	MAE: 34.82	RMSE: 46.24
Epoch 130	LOSS: 18.11	MAE: 34.67	RMSE: 46.08
Epoch 131	LOSS: 18.22	MAE: 34.58	RMSE: 45.99
Epoch 132	LOSS: 18.15	MAE: 34.46	RMSE: 45.76
Epoch 133	LOSS: 18.14	MAE: 34.73	RMSE: 46.17
Epoch 134	LOSS: 18.10	MAE: 34.57	RMSE: 45.96
Epoch 135	LOSS: 18.07	MAE: 34.54	RMSE: 45.99
Epoch 136	LOSS: 18.06	MAE: 34.58	RMSE: 46.13
Epoch 137	LOSS: 18.11	MAE: 34.47	RMSE: 45.87
Epoch 138	LOSS: 18.09	MAE: 34.61	RMSE: 46.15
Epoch 139	LOSS: 18.07	MAE: 34.57	RMSE: 46.06
Epoch 140	LOSS: 18.03	MAE: 34.50	RMSE: 46.02
Epoch 141	LOSS: 18.03	MAE: 34.52	RMSE: 45.97
Epoch 142	LOSS: 17.99	MAE: 34.79	RMSE: 46.38
Epoch 143	LOSS: 18.03	MAE: 34.69	RMSE: 46.27
Epoch 144	LOSS: 18.15	MAE: 34.57	RMSE: 46.03
Epoch 145	LOSS: 18.01	MAE: 34.52	RMSE: 46.00
Epoch 146	LOSS: 18.00	MAE: 34.43	RMSE: 45.84
Epoch 147	LOSS: 18.00	MAE: 34.41	RMSE: 45.89
Epoch 148	LOSS: 18.02	MAE: 34.51	RMSE: 46.00
Epoch 149	LOSS: 18.01	MAE: 34.61	RMSE: 46.14
Epoch 150	LOSS: 17.95	MAE: 34.50	RMSE: 46.07
Epoch 151	LOSS: 17.92	MAE: 34.47	RMSE: 45.89
Epoch 152	LOSS: 17.99	MAE: 34.57	RMSE: 46.07
Epoch 153	LOSS: 17.99	MAE: 34.54	RMSE: 46.07
Epoch 154	LOSS: 17.94	MAE: 34.57	RMSE: 46.10
Epoch 155	LOSS: 17.92	MAE: 34.71	RMSE: 46.45
Epoch 156	LOSS: 17.94	MAE: 34.72	RMSE: 46.33
Epoch 157	LOSS: 17.95	MAE: 34.79	RMSE: 46.49
Epoch 158	LOSS: 17.93	MAE: 34.64	RMSE: 46.34
Epoch 159	LOSS: 22.03	MAE: 36.40	RMSE: 47.27
Epoch 160	LOSS: 23.82	MAE: 36.83	RMSE: 46.50
Epoch 161	LOSS: 22.48	MAE: 35.33	RMSE: 45.78
Epoch 162	LOSS: 20.78	MAE: 34.85	RMSE: 45.62
Epoch 163	LOSS: 19.40	MAE: 34.95	RMSE: 45.94
Epoch 164	LOSS: 18.57	MAE: 35.23	RMSE: 47.04
Epoch 165	LOSS: 18.45	MAE: 35.47	RMSE: 47.26
Epoch 166	LOSS: 18.36	MAE: 35.01	RMSE: 46.69
Epoch 167	LOSS: 18.41	MAE: 34.60	RMSE: 46.04
Epoch 168	LOSS: 18.27	MAE: 34.43	RMSE: 45.78
Epoch 169	LOSS: 18.15	MAE: 34.56	RMSE: 45.96
Epoch 170	LOSS: 18.18	MAE: 34.63	RMSE: 46.10
Epoch 171	LOSS: 18.16	MAE: 34.56	RMSE: 46.04
Epoch 172	LOSS: 18.17	MAE: 34.60	RMSE: 46.03
Epoch 173	LOSS: 18.19	MAE: 34.53	RMSE: 45.96
Epoch 174	LOSS: 18.14	MAE: 34.51	RMSE: 45.97
Epoch 175	LOSS: 18.02	MAE: 34.49	RMSE: 45.91
Epoch 176	LOSS: 18.07	MAE: 34.54	RMSE: 46.01
Epoch 177	LOSS: 18.07	MAE: 34.51	RMSE: 46.00
Epoch 178	LOSS: 18.03	MAE: 34.60	RMSE: 46.13
Epoch 179	LOSS: 17.98	MAE: 34.51	RMSE: 46.02
Epoch 180	LOSS: 18.04	MAE: 34.44	RMSE: 45.92
Epoch 181	LOSS: 17.99	MAE: 34.46	RMSE: 45.96
Epoch 182	LOSS: 18.03	MAE: 34.46	RMSE: 45.96
