Epoch 000	LOSS: 63.61	MAE: 66.25	RMSE: 80.04
Epoch 001	LOSS: 62.13	MAE: 65.23	RMSE: 79.08
Epoch 002	LOSS: 61.20	MAE: 64.19	RMSE: 78.07
Epoch 003	LOSS: 60.05	MAE: 63.12	RMSE: 77.00
Epoch 004	LOSS: 59.09	MAE: 62.04	RMSE: 75.90
Epoch 005	LOSS: 57.98	MAE: 60.97	RMSE: 74.75
Epoch 006	LOSS: 57.12	MAE: 59.90	RMSE: 73.56
Epoch 007	LOSS: 56.16	MAE: 58.84	RMSE: 72.33
Epoch 008	LOSS: 55.13	MAE: 57.81	RMSE: 71.09
Epoch 009	LOSS: 54.00	MAE: 56.79	RMSE: 69.83
Epoch 010	LOSS: 52.66	MAE: 55.79	RMSE: 68.56
Epoch 011	LOSS: 51.91	MAE: 54.80	RMSE: 67.27
Epoch 012	LOSS: 50.85	MAE: 53.83	RMSE: 65.96
Epoch 013	LOSS: 50.02	MAE: 52.89	RMSE: 64.67
Epoch 014	LOSS: 49.17	MAE: 51.96	RMSE: 63.36
Epoch 015	LOSS: 48.17	MAE: 51.07	RMSE: 62.09
Epoch 016	LOSS: 47.27	MAE: 50.19	RMSE: 60.81
Epoch 017	LOSS: 46.46	MAE: 49.33	RMSE: 59.54
Epoch 018	LOSS: 45.53	MAE: 48.51	RMSE: 58.31
Epoch 019	LOSS: 44.73	MAE: 47.68	RMSE: 57.11
Epoch 020	LOSS: 41.62	MAE: 46.13	RMSE: 55.74
Epoch 021	LOSS: 40.14	MAE: 45.01	RMSE: 54.34
Epoch 022	LOSS: 38.66	MAE: 43.94	RMSE: 52.87
Epoch 023	LOSS: 37.27	MAE: 42.95	RMSE: 51.46
Epoch 024	LOSS: 36.08	MAE: 42.02	RMSE: 50.13
Epoch 025	LOSS: 35.21	MAE: 41.25	RMSE: 48.95
Epoch 026	LOSS: 34.44	MAE: 40.53	RMSE: 47.87
Epoch 027	LOSS: 34.30	MAE: 40.18	RMSE: 47.16
Epoch 028	LOSS: 32.41	MAE: 39.45	RMSE: 46.52
Epoch 029	LOSS: 31.67	MAE: 38.79	RMSE: 45.65
Epoch 030	LOSS: 30.80	MAE: 38.05	RMSE: 44.72
