Epoch 000	LOSS: 62.89	MAE: 66.13	RMSE: 79.92
Epoch 001	LOSS: 62.04	MAE: 65.10	RMSE: 78.95
Epoch 002	LOSS: 61.14	MAE: 64.04	RMSE: 77.93
Epoch 003	LOSS: 60.20	MAE: 62.97	RMSE: 76.85
Epoch 004	LOSS: 59.21	MAE: 61.89	RMSE: 75.73
Epoch 005	LOSS: 58.06	MAE: 60.81	RMSE: 74.58
Epoch 006	LOSS: 56.88	MAE: 59.75	RMSE: 73.38
Epoch 007	LOSS: 55.85	MAE: 58.70	RMSE: 72.16
Epoch 008	LOSS: 54.69	MAE: 57.66	RMSE: 70.92
Epoch 009	LOSS: 53.74	MAE: 56.65	RMSE: 69.66
Epoch 010	LOSS: 52.95	MAE: 55.66	RMSE: 68.39
Epoch 011	LOSS: 52.00	MAE: 54.67	RMSE: 67.09
Epoch 012	LOSS: 50.75	MAE: 53.72	RMSE: 65.80
Epoch 013	LOSS: 49.81	MAE: 52.78	RMSE: 64.52
Epoch 014	LOSS: 49.03	MAE: 51.87	RMSE: 63.23
Epoch 015	LOSS: 48.17	MAE: 50.98	RMSE: 61.95
Epoch 016	LOSS: 47.20	MAE: 50.11	RMSE: 60.68
Epoch 017	LOSS: 46.31	MAE: 49.25	RMSE: 59.42
Epoch 018	LOSS: 45.37	MAE: 48.45	RMSE: 58.22
Epoch 019	LOSS: 44.65	MAE: 47.66	RMSE: 57.02
Epoch 020	LOSS: 43.83	MAE: 46.90	RMSE: 55.86
Epoch 021	LOSS: 43.21	MAE: 46.18	RMSE: 54.75
Epoch 022	LOSS: 42.60	MAE: 45.49	RMSE: 53.69
Epoch 023	LOSS: 41.93	MAE: 44.84	RMSE: 52.67
Epoch 024	LOSS: 41.33	MAE: 44.24	RMSE: 51.74
Epoch 025	LOSS: 40.78	MAE: 43.67	RMSE: 50.87
Epoch 026	LOSS: 40.30	MAE: 43.15	RMSE: 50.07
Epoch 027	LOSS: 39.80	MAE: 42.68	RMSE: 49.36
Epoch 028	LOSS: 39.30	MAE: 42.24	RMSE: 48.70
Epoch 029	LOSS: 39.02	MAE: 41.85	RMSE: 48.12
Epoch 030	LOSS: 38.50	MAE: 41.49	RMSE: 47.60
Epoch 031	LOSS: 38.32	MAE: 41.17	RMSE: 47.16
Epoch 032	LOSS: 38.05	MAE: 40.89	RMSE: 46.79
Epoch 033	LOSS: 37.84	MAE: 40.67	RMSE: 46.51
Epoch 034	LOSS: 38.86	MAE: 48.54	RMSE: 59.27
Epoch 035	LOSS: 38.14	MAE: 40.63	RMSE: 46.51
Epoch 036	LOSS: 36.90	MAE: 40.89	RMSE: 46.96
Epoch 037	LOSS: 35.67	MAE: 39.67	RMSE: 45.58
Epoch 038	LOSS: 33.94	MAE: 39.77	RMSE: 46.97
Epoch 039	LOSS: 30.17	MAE: 37.75	RMSE: 44.17
Epoch 040	LOSS: 28.72	MAE: 37.19	RMSE: 44.00
Epoch 041	LOSS: 27.35	MAE: 36.40	RMSE: 43.24
Epoch 042	LOSS: 26.28	MAE: 36.07	RMSE: 43.18
Epoch 043	LOSS: 24.79	MAE: 35.70	RMSE: 43.22
Epoch 044	LOSS: 23.47	MAE: 34.98	RMSE: 42.57
Epoch 045	LOSS: 22.86	MAE: 34.46	RMSE: 42.39
Epoch 046	LOSS: 22.06	MAE: 40.43	RMSE: 51.76
Epoch 047	LOSS: 21.39	MAE: 38.54	RMSE: 49.31
Epoch 048	LOSS: 21.44	MAE: 36.48	RMSE: 45.64
Epoch 049	LOSS: 20.61	MAE: 35.14	RMSE: 43.90
Epoch 050	LOSS: 20.34	MAE: 39.85	RMSE: 51.86
Epoch 051	LOSS: 19.53	MAE: 35.22	RMSE: 44.20
Epoch 052	LOSS: 19.98	MAE: 36.26	RMSE: 45.97
Epoch 053	LOSS: 19.66	MAE: 38.92	RMSE: 50.84
Epoch 054	LOSS: 19.25	MAE: 37.57	RMSE: 48.50
Epoch 055	LOSS: 18.82	MAE: 32.89	RMSE: 41.03
Epoch 056	LOSS: 18.72	MAE: 32.71	RMSE: 40.74
Epoch 057	LOSS: 18.69	MAE: 36.15	RMSE: 46.59
Epoch 058	LOSS: 18.57	MAE: 34.13	RMSE: 42.92
Epoch 059	LOSS: 18.64	MAE: 32.22	RMSE: 40.52
Epoch 060	LOSS: 18.48	MAE: 32.04	RMSE: 40.38
Epoch 061	LOSS: 18.34	MAE: 32.12	RMSE: 40.56
Epoch 062	LOSS: 18.41	MAE: 32.73	RMSE: 41.60
Epoch 063	LOSS: 18.44	MAE: 33.12	RMSE: 41.45
Epoch 064	LOSS: 18.18	MAE: 33.93	RMSE: 42.74
Epoch 065	LOSS: 18.15	MAE: 32.13	RMSE: 40.33
Epoch 066	LOSS: 18.10	MAE: 32.17	RMSE: 40.37
Epoch 067	LOSS: 18.06	MAE: 32.25	RMSE: 40.46
Epoch 068	LOSS: 18.26	MAE: 32.60	RMSE: 41.43
Epoch 069	LOSS: 17.99	MAE: 32.04	RMSE: 40.27
Epoch 070	LOSS: 17.96	MAE: 33.40	RMSE: 43.22
Epoch 071	LOSS: 18.05	MAE: 33.26	RMSE: 42.96
Epoch 072	LOSS: 18.16	MAE: 31.72	RMSE: 39.73
Epoch 073	LOSS: 17.95	MAE: 31.98	RMSE: 40.10
Epoch 074	LOSS: 17.98	MAE: 31.91	RMSE: 39.70
Epoch 075	LOSS: 17.89	MAE: 31.78	RMSE: 39.87
Epoch 076	LOSS: 17.87	MAE: 31.58	RMSE: 39.57
Epoch 077	LOSS: 17.86	MAE: 31.62	RMSE: 39.42
Epoch 078	LOSS: 17.78	MAE: 31.54	RMSE: 39.43
Epoch 079	LOSS: 17.78	MAE: 31.63	RMSE: 39.44
Epoch 080	LOSS: 17.72	MAE: 31.86	RMSE: 39.84
Epoch 081	LOSS: 17.82	MAE: 31.84	RMSE: 39.68
Epoch 082	LOSS: 17.74	MAE: 31.73	RMSE: 39.45
Epoch 083	LOSS: 17.72	MAE: 31.72	RMSE: 39.54
Epoch 084	LOSS: 17.76	MAE: 32.00	RMSE: 40.27
Epoch 085	LOSS: 17.73	MAE: 31.87	RMSE: 39.81
Epoch 086	LOSS: 17.75	MAE: 31.96	RMSE: 40.31
Epoch 087	LOSS: 17.74	MAE: 31.78	RMSE: 39.57
Epoch 088	LOSS: 17.69	MAE: 31.76	RMSE: 39.56
Epoch 089	LOSS: 17.69	MAE: 31.74	RMSE: 39.69
Epoch 090	LOSS: 17.68	MAE: 31.82	RMSE: 39.66
Epoch 091	LOSS: 17.69	MAE: 31.68	RMSE: 39.69
Epoch 092	LOSS: 17.71	MAE: 31.64	RMSE: 39.63
Epoch 093	LOSS: 17.62	MAE: 32.00	RMSE: 40.34
Epoch 094	LOSS: 17.60	MAE: 31.94	RMSE: 40.46
Epoch 095	LOSS: 17.66	MAE: 31.68	RMSE: 39.66
Epoch 096	LOSS: 17.62	MAE: 31.57	RMSE: 39.52
Epoch 097	LOSS: 17.55	MAE: 31.45	RMSE: 39.30
Epoch 098	LOSS: 17.60	MAE: 31.60	RMSE: 39.25
Epoch 099	LOSS: 17.63	MAE: 31.43	RMSE: 39.18
Epoch 100	LOSS: 17.63	MAE: 31.50	RMSE: 39.23
Epoch 101	LOSS: 17.62	MAE: 31.54	RMSE: 39.22
Epoch 102	LOSS: 17.62	MAE: 31.42	RMSE: 39.23
Epoch 103	LOSS: 17.67	MAE: 31.35	RMSE: 39.21
Epoch 104	LOSS: 17.54	MAE: 31.40	RMSE: 39.07
Epoch 105	LOSS: 17.57	MAE: 31.36	RMSE: 39.04
Epoch 106	LOSS: 17.53	MAE: 31.33	RMSE: 39.00
Epoch 107	LOSS: 17.56	MAE: 31.34	RMSE: 38.99
Epoch 108	LOSS: 17.60	MAE: 31.35	RMSE: 39.40
Epoch 109	LOSS: 17.66	MAE: 31.41	RMSE: 39.47
Epoch 110	LOSS: 17.64	MAE: 31.60	RMSE: 40.02
Epoch 111	LOSS: 17.61	MAE: 31.35	RMSE: 38.99
Epoch 112	LOSS: 17.56	MAE: 31.30	RMSE: 38.99
Epoch 113	LOSS: 17.67	MAE: 34.37	RMSE: 45.26
Epoch 114	LOSS: 17.54	MAE: 31.42	RMSE: 39.13
Epoch 115	LOSS: 17.59	MAE: 33.24	RMSE: 42.71
Epoch 116	LOSS: 17.59	MAE: 33.04	RMSE: 42.61
Epoch 117	LOSS: 17.51	MAE: 33.27	RMSE: 43.53
Epoch 118	LOSS: 17.53	MAE: 33.15	RMSE: 43.41
Epoch 119	LOSS: 17.52	MAE: 33.35	RMSE: 43.07
Epoch 120	LOSS: 17.63	MAE: 33.46	RMSE: 43.18
Epoch 121	LOSS: 17.56	MAE: 32.96	RMSE: 42.47
Epoch 122	LOSS: 17.49	MAE: 33.00	RMSE: 43.13
Epoch 123	LOSS: 17.51	MAE: 33.08	RMSE: 42.93
Epoch 124	LOSS: 17.52	MAE: 32.87	RMSE: 42.25
Epoch 125	LOSS: 17.46	MAE: 32.31	RMSE: 41.63
Epoch 126	LOSS: 17.54	MAE: 32.50	RMSE: 41.94
Epoch 127	LOSS: 17.65	MAE: 32.79	RMSE: 42.26
Epoch 128	LOSS: 17.51	MAE: 32.89	RMSE: 42.35
Epoch 129	LOSS: 17.50	MAE: 32.96	RMSE: 42.87
Epoch 130	LOSS: 17.50	MAE: 33.10	RMSE: 43.17
Epoch 131	LOSS: 17.54	MAE: 32.91	RMSE: 42.57
Epoch 132	LOSS: 17.46	MAE: 32.90	RMSE: 42.22
Epoch 133	LOSS: 17.44	MAE: 32.61	RMSE: 42.03
Epoch 134	LOSS: 17.55	MAE: 32.46	RMSE: 42.08
Epoch 135	LOSS: 17.61	MAE: 31.88	RMSE: 40.77
Epoch 136	LOSS: 17.56	MAE: 31.62	RMSE: 39.76
Epoch 137	LOSS: 17.55	MAE: 31.46	RMSE: 39.57
Epoch 138	LOSS: 17.45	MAE: 31.48	RMSE: 39.81
Epoch 139	LOSS: 17.46	MAE: 31.42	RMSE: 39.72
Epoch 140	LOSS: 17.45	MAE: 31.50	RMSE: 39.95
Epoch 141	LOSS: 17.50	MAE: 31.59	RMSE: 39.75
Epoch 142	LOSS: 17.47	MAE: 31.43	RMSE: 39.41
Epoch 143	LOSS: 17.46	MAE: 31.42	RMSE: 39.63
Epoch 144	LOSS: 17.43	MAE: 31.23	RMSE: 39.29
Epoch 145	LOSS: 17.46	MAE: 31.41	RMSE: 39.45
Epoch 146	LOSS: 17.54	MAE: 31.36	RMSE: 39.54
Epoch 147	LOSS: 17.57	MAE: 31.46	RMSE: 39.48
Epoch 148	LOSS: 17.62	MAE: 31.25	RMSE: 39.30
Epoch 149	LOSS: 17.56	MAE: 31.26	RMSE: 39.16
Epoch 150	LOSS: 17.42	MAE: 31.10	RMSE: 38.99
Epoch 151	LOSS: 17.55	MAE: 31.09	RMSE: 39.31
Epoch 152	LOSS: 17.44	MAE: 31.04	RMSE: 39.02
Epoch 153	LOSS: 17.46	MAE: 31.06	RMSE: 38.94
Epoch 154	LOSS: 17.46	MAE: 31.05	RMSE: 39.07
Epoch 155	LOSS: 17.51	MAE: 31.06	RMSE: 38.95
Epoch 156	LOSS: 17.47	MAE: 31.04	RMSE: 39.02
Epoch 157	LOSS: 17.45	MAE: 31.05	RMSE: 38.98
Epoch 158	LOSS: 17.41	MAE: 31.04	RMSE: 39.03
Epoch 159	LOSS: 17.46	MAE: 31.06	RMSE: 39.11
Epoch 160	LOSS: 17.43	MAE: 31.03	RMSE: 39.05
Epoch 161	LOSS: 17.44	MAE: 31.04	RMSE: 39.01
Epoch 162	LOSS: 17.41	MAE: 31.04	RMSE: 39.02
Epoch 163	LOSS: 17.46	MAE: 31.06	RMSE: 38.99
Epoch 164	LOSS: 17.44	MAE: 31.11	RMSE: 39.21
Epoch 165	LOSS: 17.41	MAE: 31.15	RMSE: 39.39
Epoch 166	LOSS: 17.42	MAE: 31.29	RMSE: 39.88
Epoch 167	LOSS: 17.42	MAE: 31.14	RMSE: 39.04
Epoch 168	LOSS: 17.38	MAE: 31.22	RMSE: 39.30
Epoch 169	LOSS: 17.39	MAE: 31.08	RMSE: 39.07
Epoch 170	LOSS: 17.40	MAE: 31.00	RMSE: 39.05
Epoch 171	LOSS: 17.36	MAE: 31.02	RMSE: 39.36
Epoch 172	LOSS: 17.39	MAE: 31.10	RMSE: 39.50
Epoch 173	LOSS: 17.39	MAE: 31.02	RMSE: 39.03
Epoch 174	LOSS: 17.41	MAE: 31.00	RMSE: 38.91
Epoch 175	LOSS: 17.43	MAE: 31.01	RMSE: 38.92
Epoch 176	LOSS: 17.37	MAE: 30.95	RMSE: 39.03
Epoch 177	LOSS: 17.43	MAE: 31.00	RMSE: 39.25
Epoch 178	LOSS: 17.39	MAE: 31.07	RMSE: 39.38
Epoch 179	LOSS: 17.39	MAE: 31.01	RMSE: 39.21
Epoch 180	LOSS: 17.40	MAE: 30.99	RMSE: 39.00
Epoch 181	LOSS: 17.36	MAE: 30.97	RMSE: 39.02
Epoch 182	LOSS: 17.35	MAE: 31.00	RMSE: 38.99
Epoch 183	LOSS: 17.47	MAE: 30.95	RMSE: 39.10
Epoch 184	LOSS: 17.38	MAE: 30.99	RMSE: 39.01
Epoch 185	LOSS: 17.35	MAE: 31.00	RMSE: 39.07
Epoch 186	LOSS: 17.38	MAE: 31.04	RMSE: 38.97
Epoch 187	LOSS: 17.47	MAE: 31.06	RMSE: 39.47
Epoch 188	LOSS: 17.36	MAE: 31.18	RMSE: 39.69
Epoch 189	LOSS: 17.40	MAE: 31.24	RMSE: 39.85
Epoch 190	LOSS: 17.37	MAE: 31.25	RMSE: 39.77
Epoch 191	LOSS: 17.39	MAE: 31.23	RMSE: 39.78
Epoch 192	LOSS: 17.37	MAE: 31.12	RMSE: 39.45
Epoch 193	LOSS: 17.37	MAE: 30.97	RMSE: 39.07
Epoch 194	LOSS: 17.40	MAE: 30.99	RMSE: 39.02
Epoch 195	LOSS: 17.40	MAE: 31.03	RMSE: 38.99
Epoch 196	LOSS: 17.38	MAE: 31.12	RMSE: 39.60
Epoch 197	LOSS: 17.35	MAE: 31.21	RMSE: 39.66
Epoch 198	LOSS: 17.41	MAE: 31.18	RMSE: 39.65
Epoch 199	LOSS: 17.32	MAE: 31.12	RMSE: 39.60
Epoch 200	LOSS: 17.33	MAE: 31.01	RMSE: 39.31
Epoch 201	LOSS: 17.34	MAE: 31.03	RMSE: 39.14
Epoch 202	LOSS: 17.37	MAE: 31.00	RMSE: 39.02
Epoch 203	LOSS: 17.38	MAE: 31.03	RMSE: 39.00
Epoch 204	LOSS: 17.29	MAE: 31.11	RMSE: 39.05
Epoch 205	LOSS: 17.42	MAE: 31.18	RMSE: 39.18
Epoch 206	LOSS: 17.33	MAE: 30.99	RMSE: 38.95
Epoch 207	LOSS: 17.33	MAE: 31.00	RMSE: 39.17
Epoch 208	LOSS: 17.34	MAE: 31.05	RMSE: 39.22
Epoch 209	LOSS: 17.40	MAE: 31.04	RMSE: 39.12
Epoch 210	LOSS: 17.39	MAE: 31.03	RMSE: 39.25
Epoch 211	LOSS: 17.41	MAE: 30.96	RMSE: 39.03
Epoch 212	LOSS: 17.40	MAE: 31.05	RMSE: 38.97
Epoch 213	LOSS: 17.33	MAE: 31.06	RMSE: 39.47
Epoch 214	LOSS: 17.38	MAE: 31.41	RMSE: 40.34
Epoch 215	LOSS: 17.32	MAE: 31.03	RMSE: 39.23
Epoch 216	LOSS: 17.35	MAE: 31.02	RMSE: 39.03
Epoch 217	LOSS: 17.39	MAE: 31.03	RMSE: 39.07
Epoch 218	LOSS: 17.39	MAE: 30.99	RMSE: 39.05
Epoch 219	LOSS: 17.41	MAE: 31.06	RMSE: 39.00
Epoch 220	LOSS: 17.36	MAE: 31.07	RMSE: 39.03
Epoch 221	LOSS: 17.39	MAE: 31.04	RMSE: 39.17
Epoch 222	LOSS: 17.36	MAE: 30.98	RMSE: 39.17
Epoch 223	LOSS: 17.34	MAE: 30.98	RMSE: 39.06
Epoch 224	LOSS: 17.41	MAE: 31.01	RMSE: 39.13
Epoch 225	LOSS: 17.42	MAE: 31.04	RMSE: 39.41
Epoch 226	LOSS: 17.37	MAE: 31.27	RMSE: 39.96
Epoch 227	LOSS: 17.33	MAE: 31.25	RMSE: 40.04
Epoch 228	LOSS: 17.31	MAE: 31.34	RMSE: 40.15
Epoch 229	LOSS: 17.33	MAE: 31.05	RMSE: 39.43
Epoch 230	LOSS: 17.35	MAE: 31.02	RMSE: 38.98
Epoch 231	LOSS: 17.41	MAE: 30.99	RMSE: 39.04
Epoch 232	LOSS: 17.35	MAE: 30.96	RMSE: 38.96
Epoch 233	LOSS: 17.34	MAE: 30.96	RMSE: 39.15
Epoch 234	LOSS: 17.44	MAE: 31.11	RMSE: 39.59
Epoch 235	LOSS: 17.38	MAE: 31.11	RMSE: 39.47
Epoch 236	LOSS: 17.30	MAE: 31.13	RMSE: 39.58
Epoch 237	LOSS: 17.30	MAE: 31.14	RMSE: 39.56
Epoch 238	LOSS: 17.32	MAE: 31.24	RMSE: 39.28
Epoch 239	LOSS: 17.32	MAE: 32.58	RMSE: 41.76
Epoch 240	LOSS: 17.39	MAE: 31.88	RMSE: 40.64
Epoch 241	LOSS: 17.35	MAE: 31.17	RMSE: 39.23
Epoch 242	LOSS: 17.31	MAE: 31.06	RMSE: 39.05
Epoch 243	LOSS: 17.31	MAE: 31.10	RMSE: 39.24
Epoch 244	LOSS: 17.33	MAE: 31.14	RMSE: 39.45
Epoch 245	LOSS: 17.32	MAE: 31.10	RMSE: 39.24
Epoch 246	LOSS: 17.33	MAE: 31.11	RMSE: 39.18
Epoch 247	LOSS: 17.33	MAE: 31.12	RMSE: 39.10
