Epoch 000	LOSS: 63.67	MAE: 66.46	RMSE: 80.23
Epoch 001	LOSS: 62.16	MAE: 65.45	RMSE: 79.28
Epoch 002	LOSS: 61.44	MAE: 64.40	RMSE: 78.28
Epoch 003	LOSS: 60.26	MAE: 63.33	RMSE: 77.22
Epoch 004	LOSS: 59.22	MAE: 62.24	RMSE: 76.10
Epoch 005	LOSS: 58.21	MAE: 61.15	RMSE: 74.94
Epoch 006	LOSS: 56.99	MAE: 60.07	RMSE: 73.75
Epoch 007	LOSS: 56.16	MAE: 59.01	RMSE: 72.53
Epoch 008	LOSS: 55.25	MAE: 57.97	RMSE: 71.29
Epoch 009	LOSS: 53.87	MAE: 56.94	RMSE: 70.02
Epoch 010	LOSS: 53.05	MAE: 55.93	RMSE: 68.74
Epoch 011	LOSS: 52.32	MAE: 54.94	RMSE: 67.45
Epoch 012	LOSS: 51.05	MAE: 53.98	RMSE: 66.16
Epoch 013	LOSS: 50.15	MAE: 53.02	RMSE: 64.85
Epoch 014	LOSS: 49.29	MAE: 52.10	RMSE: 63.56
Epoch 015	LOSS: 48.19	MAE: 51.21	RMSE: 62.28
Epoch 016	LOSS: 47.35	MAE: 50.31	RMSE: 60.99
Epoch 017	LOSS: 46.59	MAE: 49.46	RMSE: 59.73
Epoch 018	LOSS: 45.80	MAE: 48.63	RMSE: 58.49
Epoch 019	LOSS: 44.98	MAE: 47.84	RMSE: 57.29
Epoch 020	LOSS: 44.22	MAE: 47.07	RMSE: 56.12
Epoch 021	LOSS: 43.43	MAE: 46.34	RMSE: 55.00
Epoch 022	LOSS: 42.70	MAE: 45.65	RMSE: 53.93
Epoch 023	LOSS: 42.04	MAE: 44.98	RMSE: 52.90
Epoch 024	LOSS: 41.26	MAE: 44.37	RMSE: 51.95
Epoch 025	LOSS: 40.89	MAE: 43.80	RMSE: 51.07
Epoch 026	LOSS: 40.28	MAE: 43.26	RMSE: 50.24
Epoch 027	LOSS: 39.86	MAE: 42.77	RMSE: 49.50
Epoch 028	LOSS: 39.46	MAE: 42.34	RMSE: 48.84
Epoch 029	LOSS: 39.04	MAE: 41.94	RMSE: 48.25
Epoch 030	LOSS: 37.69	MAE: 41.26	RMSE: 47.51
Epoch 031	LOSS: 38.37	MAE: 41.22	RMSE: 47.23
Epoch 032	LOSS: 38.11	MAE: 40.92	RMSE: 46.83
Epoch 033	LOSS: 37.83	MAE: 40.67	RMSE: 46.51
Epoch 034	LOSS: 37.60	MAE: 40.44	RMSE: 46.24
Epoch 035	LOSS: 37.47	MAE: 40.26	RMSE: 46.03
Epoch 036	LOSS: 37.27	MAE: 40.11	RMSE: 45.87
Epoch 037	LOSS: 37.19	MAE: 39.98	RMSE: 45.75
Epoch 038	LOSS: 37.13	MAE: 39.88	RMSE: 45.67
Epoch 039	LOSS: 36.96	MAE: 39.80	RMSE: 45.61
Epoch 040	LOSS: 36.96	MAE: 39.73	RMSE: 45.57
Epoch 041	LOSS: 36.94	MAE: 39.67	RMSE: 45.54
Epoch 042	LOSS: 36.92	MAE: 39.63	RMSE: 45.53
Epoch 043	LOSS: 36.90	MAE: 39.59	RMSE: 45.51
Epoch 044	LOSS: 36.24	MAE: 39.39	RMSE: 45.28
Epoch 045	LOSS: 32.05	MAE: 37.82	RMSE: 44.17
Epoch 046	LOSS: 32.58	MAE: 38.42	RMSE: 45.00
Epoch 047	LOSS: 28.35	MAE: 36.54	RMSE: 43.23
Epoch 048	LOSS: 26.76	MAE: 36.28	RMSE: 43.00
Epoch 049	LOSS: 25.25	MAE: 35.56	RMSE: 42.53
Epoch 050	LOSS: 24.42	MAE: 35.21	RMSE: 42.13
Epoch 051	LOSS: 23.39	MAE: 35.38	RMSE: 42.50
Epoch 052	LOSS: 22.35	MAE: 37.35	RMSE: 46.85
Epoch 053	LOSS: 21.26	MAE: 35.82	RMSE: 44.17
Epoch 054	LOSS: 20.43	MAE: 34.22	RMSE: 41.67
Epoch 055	LOSS: 19.80	MAE: 33.97	RMSE: 41.78
Epoch 056	LOSS: 19.50	MAE: 33.57	RMSE: 41.12
Epoch 057	LOSS: 19.10	MAE: 33.64	RMSE: 41.35
Epoch 058	LOSS: 18.82	MAE: 33.18	RMSE: 40.75
Epoch 059	LOSS: 18.68	MAE: 33.15	RMSE: 41.09
Epoch 060	LOSS: 18.44	MAE: 33.21	RMSE: 40.98
Epoch 061	LOSS: 18.54	MAE: 33.67	RMSE: 41.65
Epoch 062	LOSS: 18.44	MAE: 33.46	RMSE: 41.44
Epoch 063	LOSS: 18.30	MAE: 33.28	RMSE: 41.36
