Epoch 000	LOSS: 66.12	MAE: 64.56	RMSE: 77.63
Epoch 001	LOSS: 64.85	MAE: 63.55	RMSE: 76.66
Epoch 002	LOSS: 64.03	MAE: 62.49	RMSE: 75.63
Epoch 003	LOSS: 62.88	MAE: 61.41	RMSE: 74.56
Epoch 004	LOSS: 61.86	MAE: 60.33	RMSE: 73.43
Epoch 005	LOSS: 60.42	MAE: 59.24	RMSE: 72.27
Epoch 006	LOSS: 59.58	MAE: 58.17	RMSE: 71.08
Epoch 007	LOSS: 58.14	MAE: 57.10	RMSE: 69.86
Epoch 008	LOSS: 57.33	MAE: 56.04	RMSE: 68.62
Epoch 009	LOSS: 56.20	MAE: 55.01	RMSE: 67.36
Epoch 010	LOSS: 55.12	MAE: 53.98	RMSE: 66.08
Epoch 011	LOSS: 54.45	MAE: 52.97	RMSE: 64.79
Epoch 012	LOSS: 53.35	MAE: 51.98	RMSE: 63.50
Epoch 013	LOSS: 52.32	MAE: 50.99	RMSE: 62.19
Epoch 014	LOSS: 51.40	MAE: 50.04	RMSE: 60.90
Epoch 015	LOSS: 50.40	MAE: 49.10	RMSE: 59.62
Epoch 016	LOSS: 49.25	MAE: 48.19	RMSE: 58.35
Epoch 017	LOSS: 48.44	MAE: 47.30	RMSE: 57.09
Epoch 018	LOSS: 47.60	MAE: 46.44	RMSE: 55.86
Epoch 019	LOSS: 46.72	MAE: 45.62	RMSE: 54.67
Epoch 020	LOSS: 45.97	MAE: 44.83	RMSE: 53.53
Epoch 021	LOSS: 45.15	MAE: 44.09	RMSE: 52.44
Epoch 022	LOSS: 44.42	MAE: 43.38	RMSE: 51.39
Epoch 023	LOSS: 43.72	MAE: 42.70	RMSE: 50.39
Epoch 024	LOSS: 43.20	MAE: 42.07	RMSE: 49.46
Epoch 025	LOSS: 42.56	MAE: 41.50	RMSE: 48.61
Epoch 026	LOSS: 41.99	MAE: 40.96	RMSE: 47.82
Epoch 027	LOSS: 41.44	MAE: 40.48	RMSE: 47.12
Epoch 028	LOSS: 41.02	MAE: 40.04	RMSE: 46.49
Epoch 029	LOSS: 40.60	MAE: 39.64	RMSE: 45.93
Epoch 030	LOSS: 40.18	MAE: 39.30	RMSE: 45.46
Epoch 031	LOSS: 39.90	MAE: 38.99	RMSE: 45.05
Epoch 032	LOSS: 39.52	MAE: 38.72	RMSE: 44.72
Epoch 033	LOSS: 39.23	MAE: 38.50	RMSE: 44.45
Epoch 034	LOSS: 39.13	MAE: 38.32	RMSE: 44.25
Epoch 035	LOSS: 38.89	MAE: 38.17	RMSE: 44.09
Epoch 036	LOSS: 38.47	MAE: 37.40	RMSE: 43.85
Epoch 037	LOSS: 38.32	MAE: 36.36	RMSE: 42.91
Epoch 038	LOSS: 33.09	MAE: 33.70	RMSE: 40.37
Epoch 039	LOSS: 31.24	MAE: 31.61	RMSE: 39.11
Epoch 040	LOSS: 29.56	MAE: 30.51	RMSE: 38.34
Epoch 041	LOSS: 28.36	MAE: 30.06	RMSE: 37.58
Epoch 042	LOSS: 27.87	MAE: 29.60	RMSE: 36.97
Epoch 043	LOSS: 26.81	MAE: 28.57	RMSE: 36.10
Epoch 044	LOSS: 25.86	MAE: 28.06	RMSE: 35.86
Epoch 045	LOSS: 25.41	MAE: 27.65	RMSE: 35.67
Epoch 046	LOSS: 24.61	MAE: 27.08	RMSE: 35.22
Epoch 047	LOSS: 24.42	MAE: 27.19	RMSE: 35.45
Epoch 048	LOSS: 24.14	MAE: 27.21	RMSE: 35.79
Epoch 049	LOSS: 23.69	MAE: 26.75	RMSE: 35.35
Epoch 050	LOSS: 23.58	MAE: 26.63	RMSE: 35.57
Epoch 051	LOSS: 23.36	MAE: 26.34	RMSE: 35.36
Epoch 052	LOSS: 23.33	MAE: 26.37	RMSE: 35.44
Epoch 053	LOSS: 23.00	MAE: 26.12	RMSE: 35.09
Epoch 054	LOSS: 22.63	MAE: 25.84	RMSE: 34.86
Epoch 055	LOSS: 22.36	MAE: 25.44	RMSE: 34.31
Epoch 056	LOSS: 22.21	MAE: 25.21	RMSE: 34.03
Epoch 057	LOSS: 21.88	MAE: 24.32	RMSE: 32.38
Epoch 058	LOSS: 21.12	MAE: 23.50	RMSE: 31.34
Epoch 059	LOSS: 20.81	MAE: 23.33	RMSE: 31.52
Epoch 060	LOSS: 20.76	MAE: 24.03	RMSE: 32.18
Epoch 061	LOSS: 20.86	MAE: 23.78	RMSE: 31.91
Epoch 062	LOSS: 19.95	MAE: 22.69	RMSE: 31.01
Epoch 063	LOSS: 19.94	MAE: 22.42	RMSE: 30.63
Epoch 064	LOSS: 19.85	MAE: 22.42	RMSE: 30.39
Epoch 065	LOSS: 19.55	MAE: 22.13	RMSE: 30.35
Epoch 066	LOSS: 19.63	MAE: 22.01	RMSE: 30.26
Epoch 067	LOSS: 19.75	MAE: 22.25	RMSE: 30.44
Epoch 068	LOSS: 19.88	MAE: 22.36	RMSE: 30.49
Epoch 069	LOSS: 19.64	MAE: 22.37	RMSE: 30.48
Epoch 070	LOSS: 19.38	MAE: 21.82	RMSE: 29.95
Epoch 071	LOSS: 19.53	MAE: 21.57	RMSE: 29.49
Epoch 072	LOSS: 19.30	MAE: 21.72	RMSE: 29.74
Epoch 073	LOSS: 19.54	MAE: 22.23	RMSE: 30.27
Epoch 074	LOSS: 19.30	MAE: 21.61	RMSE: 29.10
Epoch 075	LOSS: 19.17	MAE: 21.84	RMSE: 30.09
Epoch 076	LOSS: 19.13	MAE: 21.61	RMSE: 29.47
Epoch 077	LOSS: 19.13	MAE: 21.73	RMSE: 29.87
Epoch 078	LOSS: 19.14	MAE: 21.87	RMSE: 29.93
Epoch 079	LOSS: 19.03	MAE: 21.28	RMSE: 29.15
Epoch 080	LOSS: 18.87	MAE: 21.11	RMSE: 28.56
Epoch 081	LOSS: 19.11	MAE: 21.89	RMSE: 29.93
Epoch 082	LOSS: 19.05	MAE: 21.39	RMSE: 29.13
Epoch 083	LOSS: 18.91	MAE: 21.46	RMSE: 29.61
Epoch 084	LOSS: 18.88	MAE: 21.16	RMSE: 29.15
Epoch 085	LOSS: 18.84	MAE: 21.07	RMSE: 28.90
Epoch 086	LOSS: 18.84	MAE: 21.14	RMSE: 29.04
Epoch 087	LOSS: 18.88	MAE: 21.34	RMSE: 29.20
Epoch 088	LOSS: 18.80	MAE: 20.79	RMSE: 28.21
Epoch 089	LOSS: 18.78	MAE: 20.83	RMSE: 28.20
Epoch 090	LOSS: 18.94	MAE: 20.87	RMSE: 28.26
Epoch 091	LOSS: 19.15	MAE: 20.96	RMSE: 28.42
Epoch 092	LOSS: 19.16	MAE: 21.55	RMSE: 29.12
Epoch 093	LOSS: 18.75	MAE: 20.86	RMSE: 28.13
Epoch 094	LOSS: 18.76	MAE: 21.14	RMSE: 29.00
Epoch 095	LOSS: 18.75	MAE: 21.27	RMSE: 29.22
Epoch 096	LOSS: 18.65	MAE: 20.90	RMSE: 28.55
Epoch 097	LOSS: 18.79	MAE: 21.43	RMSE: 29.24
Epoch 098	LOSS: 18.90	MAE: 21.27	RMSE: 29.21
Epoch 099	LOSS: 18.62	MAE: 20.94	RMSE: 28.75
Epoch 100	LOSS: 18.72	MAE: 20.54	RMSE: 28.04
Epoch 101	LOSS: 18.58	MAE: 20.64	RMSE: 28.25
Epoch 102	LOSS: 18.68	MAE: 20.78	RMSE: 28.38
Epoch 103	LOSS: 18.58	MAE: 20.69	RMSE: 28.11
Epoch 104	LOSS: 18.45	MAE: 20.61	RMSE: 28.13
Epoch 105	LOSS: 18.45	MAE: 20.69	RMSE: 28.23
Epoch 106	LOSS: 18.47	MAE: 20.61	RMSE: 28.11
Epoch 107	LOSS: 18.50	MAE: 20.51	RMSE: 27.91
Epoch 108	LOSS: 18.56	MAE: 20.80	RMSE: 28.49
Epoch 109	LOSS: 18.97	MAE: 21.01	RMSE: 28.54
Epoch 110	LOSS: 19.03	MAE: 20.56	RMSE: 27.81
Epoch 111	LOSS: 18.63	MAE: 20.73	RMSE: 28.22
Epoch 112	LOSS: 18.76	MAE: 20.96	RMSE: 28.56
Epoch 113	LOSS: 18.43	MAE: 20.61	RMSE: 28.36
Epoch 114	LOSS: 18.55	MAE: 20.79	RMSE: 28.31
Epoch 115	LOSS: 18.48	MAE: 20.82	RMSE: 28.84
Epoch 116	LOSS: 18.58	MAE: 20.89	RMSE: 29.06
Epoch 117	LOSS: 18.37	MAE: 20.51	RMSE: 28.12
Epoch 118	LOSS: 18.50	MAE: 20.86	RMSE: 28.50
Epoch 119	LOSS: 18.46	MAE: 20.57	RMSE: 28.05
Epoch 120	LOSS: 18.47	MAE: 20.42	RMSE: 27.89
Epoch 121	LOSS: 18.33	MAE: 20.47	RMSE: 28.06
Epoch 122	LOSS: 18.34	MAE: 20.55	RMSE: 28.08
Epoch 123	LOSS: 18.29	MAE: 20.45	RMSE: 28.05
Epoch 124	LOSS: 18.70	MAE: 20.37	RMSE: 28.00
Epoch 125	LOSS: 18.30	MAE: 20.28	RMSE: 27.84
Epoch 126	LOSS: 18.37	MAE: 20.66	RMSE: 28.23
Epoch 127	LOSS: 18.27	MAE: 20.54	RMSE: 28.07
Epoch 128	LOSS: 18.27	MAE: 20.54	RMSE: 28.21
Epoch 129	LOSS: 18.24	MAE: 20.50	RMSE: 28.15
Epoch 130	LOSS: 18.34	MAE: 20.55	RMSE: 28.06
Epoch 131	LOSS: 18.34	MAE: 20.17	RMSE: 27.53
Epoch 132	LOSS: 18.34	MAE: 20.81	RMSE: 28.60
Epoch 133	LOSS: 18.31	MAE: 20.72	RMSE: 28.51
Epoch 134	LOSS: 18.29	MAE: 20.71	RMSE: 28.50
Epoch 135	LOSS: 18.25	MAE: 20.54	RMSE: 28.22
Epoch 136	LOSS: 18.25	MAE: 20.50	RMSE: 28.25
Epoch 137	LOSS: 18.40	MAE: 20.88	RMSE: 28.64
Epoch 138	LOSS: 18.59	MAE: 21.04	RMSE: 28.83
Epoch 139	LOSS: 18.85	MAE: 20.85	RMSE: 28.54
Epoch 140	LOSS: 18.60	MAE: 20.76	RMSE: 28.47
Epoch 141	LOSS: 18.52	MAE: 21.31	RMSE: 29.08
Epoch 142	LOSS: 18.62	MAE: 20.54	RMSE: 27.86
Epoch 143	LOSS: 18.40	MAE: 20.69	RMSE: 28.27
Epoch 144	LOSS: 18.53	MAE: 20.74	RMSE: 28.31
Epoch 145	LOSS: 18.40	MAE: 20.48	RMSE: 28.12
Epoch 146	LOSS: 18.44	MAE: 20.76	RMSE: 28.78
Epoch 147	LOSS: 18.26	MAE: 20.28	RMSE: 27.64
Epoch 148	LOSS: 18.28	MAE: 20.25	RMSE: 27.72
Epoch 149	LOSS: 18.27	MAE: 20.42	RMSE: 27.93
Epoch 150	LOSS: 18.20	MAE: 20.35	RMSE: 27.75
Epoch 151	LOSS: 18.17	MAE: 20.16	RMSE: 27.45
Epoch 152	LOSS: 18.16	MAE: 20.21	RMSE: 27.58
Epoch 153	LOSS: 18.16	MAE: 20.25	RMSE: 27.63
Epoch 154	LOSS: 18.19	MAE: 20.45	RMSE: 27.83
Epoch 155	LOSS: 18.27	MAE: 20.29	RMSE: 27.63
Epoch 156	LOSS: 18.23	MAE: 20.52	RMSE: 27.98
Epoch 157	LOSS: 18.20	MAE: 20.42	RMSE: 27.86
Epoch 158	LOSS: 18.24	MAE: 20.16	RMSE: 27.67
Epoch 159	LOSS: 18.25	MAE: 20.22	RMSE: 27.79
Epoch 160	LOSS: 18.18	MAE: 20.53	RMSE: 28.30
Epoch 161	LOSS: 18.23	MAE: 20.32	RMSE: 27.86
Epoch 162	LOSS: 18.27	MAE: 20.25	RMSE: 27.70
Epoch 163	LOSS: 18.36	MAE: 20.34	RMSE: 27.84
Epoch 164	LOSS: 18.30	MAE: 20.32	RMSE: 27.85
Epoch 165	LOSS: 18.22	MAE: 20.31	RMSE: 27.84
Epoch 166	LOSS: 18.23	MAE: 20.12	RMSE: 27.58
Epoch 167	LOSS: 18.20	MAE: 20.09	RMSE: 27.53
Epoch 168	LOSS: 18.18	MAE: 20.07	RMSE: 27.47
Epoch 169	LOSS: 18.15	MAE: 20.01	RMSE: 27.39
Epoch 170	LOSS: 18.15	MAE: 20.21	RMSE: 27.62
Epoch 171	LOSS: 18.12	MAE: 20.22	RMSE: 27.63
Epoch 172	LOSS: 18.08	MAE: 20.39	RMSE: 27.83
Epoch 173	LOSS: 18.11	MAE: 20.25	RMSE: 27.70
Epoch 174	LOSS: 18.14	MAE: 20.16	RMSE: 27.48
Epoch 175	LOSS: 18.27	MAE: 20.13	RMSE: 27.43
Epoch 176	LOSS: 18.18	MAE: 20.28	RMSE: 27.68
Epoch 177	LOSS: 18.13	MAE: 20.30	RMSE: 27.82
Epoch 178	LOSS: 18.13	MAE: 20.19	RMSE: 27.73
Epoch 179	LOSS: 18.07	MAE: 20.31	RMSE: 27.90
Epoch 180	LOSS: 18.15	MAE: 20.43	RMSE: 28.03
Epoch 181	LOSS: 18.14	MAE: 20.29	RMSE: 27.84
Epoch 182	LOSS: 18.07	MAE: 20.07	RMSE: 27.46
Epoch 183	LOSS: 18.12	MAE: 20.18	RMSE: 27.72
Epoch 184	LOSS: 18.08	MAE: 20.27	RMSE: 27.84
Epoch 185	LOSS: 18.16	MAE: 19.95	RMSE: 27.32
Epoch 186	LOSS: 18.20	MAE: 19.95	RMSE: 27.29
Epoch 187	LOSS: 18.06	MAE: 20.02	RMSE: 27.39
