Epoch 000	LOSS: 65.96	MAE: 64.63	RMSE: 77.69
Epoch 001	LOSS: 64.89	MAE: 63.62	RMSE: 76.74
Epoch 002	LOSS: 64.10	MAE: 62.59	RMSE: 75.73
Epoch 003	LOSS: 62.90	MAE: 61.51	RMSE: 74.66
Epoch 004	LOSS: 61.85	MAE: 60.43	RMSE: 73.54
Epoch 005	LOSS: 60.75	MAE: 59.34	RMSE: 72.38
Epoch 006	LOSS: 59.63	MAE: 58.26	RMSE: 71.19
Epoch 007	LOSS: 58.54	MAE: 57.19	RMSE: 69.96
Epoch 008	LOSS: 57.48	MAE: 56.12	RMSE: 68.71
Epoch 009	LOSS: 56.56	MAE: 55.07	RMSE: 67.43
Epoch 010	LOSS: 55.17	MAE: 54.02	RMSE: 66.14
Epoch 011	LOSS: 54.12	MAE: 53.01	RMSE: 64.85
Epoch 012	LOSS: 53.23	MAE: 52.01	RMSE: 63.55
Epoch 013	LOSS: 52.34	MAE: 51.03	RMSE: 62.24
Epoch 014	LOSS: 51.41	MAE: 50.06	RMSE: 60.94
Epoch 015	LOSS: 50.37	MAE: 49.12	RMSE: 59.64
Epoch 016	LOSS: 49.33	MAE: 48.21	RMSE: 58.37
Epoch 017	LOSS: 48.35	MAE: 47.32	RMSE: 57.12
Epoch 018	LOSS: 47.63	MAE: 46.46	RMSE: 55.89
Epoch 019	LOSS: 46.81	MAE: 45.65	RMSE: 54.71
Epoch 020	LOSS: 45.99	MAE: 44.86	RMSE: 53.56
Epoch 021	LOSS: 45.22	MAE: 44.10	RMSE: 52.45
Epoch 022	LOSS: 44.53	MAE: 43.38	RMSE: 51.40
Epoch 023	LOSS: 43.87	MAE: 42.70	RMSE: 50.39
Epoch 024	LOSS: 43.15	MAE: 42.08	RMSE: 49.46
Epoch 025	LOSS: 42.55	MAE: 41.50	RMSE: 48.61
Epoch 026	LOSS: 42.00	MAE: 40.96	RMSE: 47.82
Epoch 027	LOSS: 41.50	MAE: 40.48	RMSE: 47.12
Epoch 028	LOSS: 41.00	MAE: 40.01	RMSE: 46.46
Epoch 029	LOSS: 40.51	MAE: 39.63	RMSE: 45.91
Epoch 030	LOSS: 40.22	MAE: 39.28	RMSE: 45.44
Epoch 031	LOSS: 39.84	MAE: 38.98	RMSE: 45.05
Epoch 032	LOSS: 39.53	MAE: 38.72	RMSE: 44.71
Epoch 033	LOSS: 39.31	MAE: 38.49	RMSE: 44.44
Epoch 034	LOSS: 39.12	MAE: 38.31	RMSE: 44.24
Epoch 035	LOSS: 38.96	MAE: 38.16	RMSE: 44.08
Epoch 036	LOSS: 38.71	MAE: 38.03	RMSE: 43.97
Epoch 037	LOSS: 38.62	MAE: 37.94	RMSE: 43.90
Epoch 038	LOSS: 38.47	MAE: 37.87	RMSE: 43.86
Epoch 039	LOSS: 38.45	MAE: 37.81	RMSE: 43.84
Epoch 040	LOSS: 38.25	MAE: 37.77	RMSE: 43.85
Epoch 041	LOSS: 38.25	MAE: 37.74	RMSE: 43.86
Epoch 042	LOSS: 38.27	MAE: 37.72	RMSE: 43.89
Epoch 043	LOSS: 38.18	MAE: 37.71	RMSE: 43.92
Epoch 044	LOSS: 38.24	MAE: 37.70	RMSE: 43.94
Epoch 045	LOSS: 38.24	MAE: 37.72	RMSE: 43.98
Epoch 046	LOSS: 38.10	MAE: 37.70	RMSE: 43.99
Epoch 047	LOSS: 38.18	MAE: 37.70	RMSE: 44.05
Epoch 048	LOSS: 36.06	MAE: 36.04	RMSE: 42.03
Epoch 049	LOSS: 30.09	MAE: 32.66	RMSE: 39.83
Epoch 050	LOSS: 27.27	MAE: 29.22	RMSE: 36.76
Epoch 051	LOSS: 26.64	MAE: 27.87	RMSE: 35.63
Epoch 052	LOSS: 25.23	MAE: 27.16	RMSE: 34.84
