Epoch 000	LOSS: 66.21	MAE: 64.97	RMSE: 78.02
Epoch 001	LOSS: 65.24	MAE: 63.99	RMSE: 77.09
Epoch 002	LOSS: 64.27	MAE: 62.95	RMSE: 76.09
Epoch 003	LOSS: 63.30	MAE: 61.89	RMSE: 75.03
Epoch 004	LOSS: 62.12	MAE: 60.79	RMSE: 73.92
Epoch 005	LOSS: 61.25	MAE: 59.70	RMSE: 72.76
Epoch 006	LOSS: 59.78	MAE: 58.60	RMSE: 71.57
Epoch 007	LOSS: 59.03	MAE: 57.51	RMSE: 70.33
Epoch 008	LOSS: 57.61	MAE: 56.43	RMSE: 69.07
Epoch 009	LOSS: 56.65	MAE: 55.36	RMSE: 67.79
Epoch 010	LOSS: 55.47	MAE: 54.31	RMSE: 66.49
Epoch 011	LOSS: 54.54	MAE: 53.27	RMSE: 65.18
Epoch 012	LOSS: 53.51	MAE: 52.24	RMSE: 63.85
Epoch 013	LOSS: 52.55	MAE: 51.25	RMSE: 62.54
Epoch 014	LOSS: 51.29	MAE: 50.26	RMSE: 61.21
Epoch 015	LOSS: 50.51	MAE: 49.30	RMSE: 59.90
Epoch 016	LOSS: 49.46	MAE: 48.38	RMSE: 58.61
Epoch 017	LOSS: 48.72	MAE: 47.47	RMSE: 57.33
Epoch 018	LOSS: 47.68	MAE: 46.59	RMSE: 56.08
Epoch 019	LOSS: 46.99	MAE: 45.75	RMSE: 54.86
Epoch 020	LOSS: 46.10	MAE: 44.94	RMSE: 53.69
Epoch 021	LOSS: 45.19	MAE: 44.18	RMSE: 52.57
Epoch 022	LOSS: 44.54	MAE: 43.46	RMSE: 51.51
Epoch 023	LOSS: 43.79	MAE: 42.78	RMSE: 50.50
Epoch 024	LOSS: 43.21	MAE: 42.13	RMSE: 49.54
Epoch 025	LOSS: 42.55	MAE: 41.55	RMSE: 48.69
Epoch 026	LOSS: 42.08	MAE: 41.01	RMSE: 47.90
Epoch 027	LOSS: 41.57	MAE: 40.52	RMSE: 47.18
Epoch 028	LOSS: 41.01	MAE: 40.07	RMSE: 46.54
Epoch 029	LOSS: 40.63	MAE: 39.67	RMSE: 45.97
Epoch 030	LOSS: 40.25	MAE: 39.31	RMSE: 45.48
Epoch 031	LOSS: 39.84	MAE: 39.01	RMSE: 45.08
Epoch 032	LOSS: 39.56	MAE: 38.73	RMSE: 44.73
Epoch 033	LOSS: 39.34	MAE: 38.51	RMSE: 44.47
Epoch 034	LOSS: 36.72	MAE: 36.77	RMSE: 43.04
Epoch 035	LOSS: 34.91	MAE: 34.56	RMSE: 41.63
Epoch 036	LOSS: 32.84	MAE: 33.70	RMSE: 40.70
Epoch 037	LOSS: 30.64	MAE: 31.78	RMSE: 38.39
Epoch 038	LOSS: 28.77	MAE: 29.94	RMSE: 37.59
Epoch 039	LOSS: 26.92	MAE: 28.66	RMSE: 36.63
Epoch 040	LOSS: 25.01	MAE: 27.96	RMSE: 35.49
Epoch 041	LOSS: 23.86	MAE: 26.90	RMSE: 34.73
Epoch 042	LOSS: 23.41	MAE: 26.81	RMSE: 34.54
Epoch 043	LOSS: 23.07	MAE: 26.17	RMSE: 34.34
Epoch 044	LOSS: 21.96	MAE: 25.47	RMSE: 33.57
Epoch 045	LOSS: 21.31	MAE: 25.13	RMSE: 33.38
Epoch 046	LOSS: 21.02	MAE: 25.25	RMSE: 33.65
Epoch 047	LOSS: 20.86	MAE: 24.91	RMSE: 33.45
Epoch 048	LOSS: 20.38	MAE: 24.42	RMSE: 32.90
Epoch 049	LOSS: 20.22	MAE: 23.73	RMSE: 32.08
Epoch 050	LOSS: 20.07	MAE: 23.18	RMSE: 31.52
Epoch 051	LOSS: 19.77	MAE: 23.25	RMSE: 31.68
Epoch 052	LOSS: 19.67	MAE: 22.85	RMSE: 31.15
Epoch 053	LOSS: 19.67	MAE: 23.21	RMSE: 31.64
Epoch 054	LOSS: 19.69	MAE: 22.70	RMSE: 31.01
Epoch 055	LOSS: 19.58	MAE: 22.84	RMSE: 31.06
Epoch 056	LOSS: 19.51	MAE: 22.31	RMSE: 30.32
Epoch 057	LOSS: 19.36	MAE: 22.81	RMSE: 31.03
Epoch 058	LOSS: 19.42	MAE: 22.93	RMSE: 31.38
Epoch 059	LOSS: 19.26	MAE: 22.68	RMSE: 31.11
Epoch 060	LOSS: 19.23	MAE: 22.43	RMSE: 30.70
Epoch 061	LOSS: 19.13	MAE: 22.42	RMSE: 30.76
Epoch 062	LOSS: 19.03	MAE: 22.33	RMSE: 30.65
Epoch 063	LOSS: 19.16	MAE: 21.96	RMSE: 30.24
Epoch 064	LOSS: 19.13	MAE: 22.77	RMSE: 31.32
Epoch 065	LOSS: 19.12	MAE: 22.87	RMSE: 31.50
Epoch 066	LOSS: 19.55	MAE: 24.21	RMSE: 33.22
Epoch 067	LOSS: 19.62	MAE: 22.63	RMSE: 30.92
Epoch 068	LOSS: 19.21	MAE: 22.89	RMSE: 31.27
Epoch 069	LOSS: 19.53	MAE: 22.43	RMSE: 30.78
Epoch 070	LOSS: 19.12	MAE: 22.20	RMSE: 30.59
Epoch 071	LOSS: 19.00	MAE: 22.16	RMSE: 30.48
Epoch 072	LOSS: 19.01	MAE: 22.03	RMSE: 30.47
Epoch 073	LOSS: 18.86	MAE: 22.20	RMSE: 30.48
Epoch 074	LOSS: 18.93	MAE: 21.81	RMSE: 30.15
Epoch 075	LOSS: 18.79	MAE: 22.13	RMSE: 30.39
Epoch 076	LOSS: 18.79	MAE: 21.69	RMSE: 29.94
Epoch 077	LOSS: 18.78	MAE: 21.96	RMSE: 30.23
Epoch 078	LOSS: 18.75	MAE: 21.63	RMSE: 29.98
Epoch 079	LOSS: 18.75	MAE: 21.90	RMSE: 30.38
Epoch 080	LOSS: 18.75	MAE: 21.44	RMSE: 29.72
