Epoch 000	LOSS: 65.88	MAE: 64.53	RMSE: 77.60
Epoch 001	LOSS: 65.04	MAE: 63.52	RMSE: 76.64
Epoch 002	LOSS: 63.96	MAE: 62.46	RMSE: 75.61
Epoch 003	LOSS: 62.77	MAE: 61.40	RMSE: 74.54
Epoch 004	LOSS: 61.77	MAE: 60.32	RMSE: 73.42
Epoch 005	LOSS: 60.50	MAE: 59.23	RMSE: 72.26
Epoch 006	LOSS: 59.37	MAE: 58.16	RMSE: 71.07
Epoch 007	LOSS: 58.24	MAE: 57.09	RMSE: 69.85
Epoch 008	LOSS: 57.40	MAE: 56.03	RMSE: 68.60
Epoch 009	LOSS: 55.99	MAE: 54.98	RMSE: 67.33
Epoch 010	LOSS: 55.33	MAE: 53.95	RMSE: 66.05
Epoch 011	LOSS: 54.17	MAE: 52.94	RMSE: 64.76
Epoch 012	LOSS: 53.23	MAE: 51.95	RMSE: 63.47
Epoch 013	LOSS: 52.20	MAE: 50.97	RMSE: 62.17
Epoch 014	LOSS: 51.27	MAE: 50.02	RMSE: 60.88
Epoch 015	LOSS: 50.08	MAE: 49.08	RMSE: 59.60
Epoch 016	LOSS: 49.39	MAE: 48.17	RMSE: 58.32
Epoch 017	LOSS: 48.37	MAE: 47.28	RMSE: 57.07
Epoch 018	LOSS: 47.59	MAE: 46.43	RMSE: 55.84
Epoch 019	LOSS: 46.79	MAE: 45.61	RMSE: 54.66
Epoch 020	LOSS: 45.87	MAE: 44.82	RMSE: 53.50
Epoch 021	LOSS: 45.20	MAE: 44.06	RMSE: 52.39
Epoch 022	LOSS: 44.48	MAE: 43.34	RMSE: 51.34
Epoch 023	LOSS: 43.77	MAE: 42.67	RMSE: 50.34
Epoch 024	LOSS: 43.09	MAE: 42.05	RMSE: 49.43
Epoch 025	LOSS: 42.48	MAE: 41.48	RMSE: 48.58
Epoch 026	LOSS: 41.88	MAE: 40.94	RMSE: 47.80
Epoch 027	LOSS: 41.37	MAE: 40.46	RMSE: 47.09
Epoch 028	LOSS: 40.99	MAE: 40.02	RMSE: 46.47
Epoch 029	LOSS: 40.52	MAE: 39.63	RMSE: 45.92
Epoch 030	LOSS: 40.18	MAE: 39.30	RMSE: 45.46
Epoch 031	LOSS: 39.81	MAE: 38.98	RMSE: 45.05
Epoch 032	LOSS: 39.55	MAE: 38.72	RMSE: 44.71
Epoch 033	LOSS: 39.29	MAE: 38.50	RMSE: 44.45
Epoch 034	LOSS: 39.09	MAE: 38.31	RMSE: 44.24
Epoch 035	LOSS: 38.84	MAE: 38.16	RMSE: 44.08
Epoch 036	LOSS: 38.75	MAE: 38.04	RMSE: 43.97
Epoch 037	LOSS: 38.52	MAE: 37.94	RMSE: 43.90
Epoch 038	LOSS: 38.55	MAE: 37.86	RMSE: 43.86
Epoch 039	LOSS: 38.31	MAE: 37.81	RMSE: 43.85
Epoch 040	LOSS: 38.35	MAE: 37.77	RMSE: 43.85
Epoch 041	LOSS: 38.23	MAE: 37.74	RMSE: 43.87
Epoch 042	LOSS: 38.27	MAE: 37.72	RMSE: 43.89
Epoch 043	LOSS: 38.05	MAE: 37.98	RMSE: 44.76
Epoch 044	LOSS: 35.25	MAE: 35.64	RMSE: 41.82
Epoch 045	LOSS: 29.44	MAE: 30.36	RMSE: 37.57
Epoch 046	LOSS: 28.54	MAE: 31.27	RMSE: 38.69
Epoch 047	LOSS: 27.44	MAE: 28.81	RMSE: 36.56
Epoch 048	LOSS: 25.89	MAE: 28.00	RMSE: 35.75
Epoch 049	LOSS: 24.99	MAE: 27.03	RMSE: 34.68
Epoch 050	LOSS: 24.33	MAE: 26.83	RMSE: 34.96
Epoch 051	LOSS: 23.69	MAE: 26.17	RMSE: 34.38
Epoch 052	LOSS: 23.50	MAE: 26.31	RMSE: 34.60
Epoch 053	LOSS: 23.15	MAE: 25.91	RMSE: 34.49
Epoch 054	LOSS: 22.91	MAE: 26.24	RMSE: 34.92
Epoch 055	LOSS: 22.64	MAE: 26.06	RMSE: 35.02
Epoch 056	LOSS: 22.55	MAE: 25.98	RMSE: 35.05
Epoch 057	LOSS: 22.44	MAE: 26.05	RMSE: 35.17
Epoch 058	LOSS: 22.70	MAE: 26.47	RMSE: 35.53
Epoch 059	LOSS: 22.34	MAE: 25.77	RMSE: 35.09
Epoch 060	LOSS: 22.27	MAE: 25.80	RMSE: 35.05
Epoch 061	LOSS: 22.15	MAE: 25.66	RMSE: 34.90
Epoch 062	LOSS: 22.36	MAE: 25.73	RMSE: 34.75
Epoch 063	LOSS: 22.05	MAE: 25.37	RMSE: 34.48
Epoch 064	LOSS: 22.04	MAE: 25.30	RMSE: 34.42
Epoch 065	LOSS: 21.97	MAE: 25.14	RMSE: 34.21
Epoch 066	LOSS: 21.86	MAE: 25.07	RMSE: 34.15
Epoch 067	LOSS: 21.74	MAE: 24.79	RMSE: 33.89
Epoch 068	LOSS: 21.87	MAE: 24.80	RMSE: 33.87
Epoch 069	LOSS: 21.66	MAE: 24.90	RMSE: 33.94
Epoch 070	LOSS: 21.74	MAE: 24.73	RMSE: 33.68
Epoch 071	LOSS: 21.73	MAE: 24.86	RMSE: 33.73
Epoch 072	LOSS: 21.59	MAE: 24.31	RMSE: 33.21
Epoch 073	LOSS: 21.45	MAE: 23.98	RMSE: 32.98
Epoch 074	LOSS: 21.42	MAE: 23.71	RMSE: 32.64
Epoch 075	LOSS: 21.33	MAE: 23.44	RMSE: 32.00
Epoch 076	LOSS: 20.94	MAE: 23.39	RMSE: 31.96
Epoch 077	LOSS: 20.61	MAE: 23.66	RMSE: 31.92
