Epoch 000	LOSS: 66.19	MAE: 64.85	RMSE: 77.90
Epoch 001	LOSS: 65.24	MAE: 63.83	RMSE: 76.93
Epoch 002	LOSS: 64.42	MAE: 62.76	RMSE: 75.90
Epoch 003	LOSS: 63.32	MAE: 61.67	RMSE: 74.82
Epoch 004	LOSS: 62.02	MAE: 60.58	RMSE: 73.69
Epoch 005	LOSS: 60.86	MAE: 59.48	RMSE: 72.53
Epoch 006	LOSS: 59.76	MAE: 58.39	RMSE: 71.33
Epoch 007	LOSS: 58.35	MAE: 57.31	RMSE: 70.10
Epoch 008	LOSS: 57.50	MAE: 56.25	RMSE: 68.86
Epoch 009	LOSS: 56.45	MAE: 55.20	RMSE: 67.59
Epoch 010	LOSS: 55.23	MAE: 54.17	RMSE: 66.32
Epoch 011	LOSS: 54.37	MAE: 53.15	RMSE: 65.03
Epoch 012	LOSS: 53.36	MAE: 52.15	RMSE: 63.73
Epoch 013	LOSS: 52.30	MAE: 51.17	RMSE: 62.43
Epoch 014	LOSS: 51.44	MAE: 50.20	RMSE: 61.13
Epoch 015	LOSS: 50.53	MAE: 49.26	RMSE: 59.84
Epoch 016	LOSS: 49.56	MAE: 48.35	RMSE: 58.57
Epoch 017	LOSS: 48.71	MAE: 47.46	RMSE: 57.32
Epoch 018	LOSS: 47.76	MAE: 46.60	RMSE: 56.09
Epoch 019	LOSS: 46.95	MAE: 45.79	RMSE: 54.91
Epoch 020	LOSS: 46.13	MAE: 44.99	RMSE: 53.76
Epoch 021	LOSS: 45.35	MAE: 44.25	RMSE: 52.77
Epoch 022	LOSS: 44.58	MAE: 43.51	RMSE: 51.58
Epoch 023	LOSS: 43.89	MAE: 42.82	RMSE: 50.56
Epoch 024	LOSS: 43.23	MAE: 42.18	RMSE: 49.62
Epoch 025	LOSS: 42.58	MAE: 41.59	RMSE: 48.75
Epoch 026	LOSS: 42.03	MAE: 41.06	RMSE: 47.97
Epoch 027	LOSS: 41.59	MAE: 40.57	RMSE: 47.26
Epoch 028	LOSS: 41.01	MAE: 40.13	RMSE: 46.62
Epoch 029	LOSS: 40.67	MAE: 39.72	RMSE: 46.04
Epoch 030	LOSS: 40.30	MAE: 39.36	RMSE: 45.54
Epoch 031	LOSS: 39.90	MAE: 39.04	RMSE: 45.12
Epoch 032	LOSS: 39.69	MAE: 38.77	RMSE: 44.78
Epoch 033	LOSS: 39.29	MAE: 38.54	RMSE: 44.50
Epoch 034	LOSS: 39.09	MAE: 38.36	RMSE: 44.29
Epoch 035	LOSS: 38.92	MAE: 38.20	RMSE: 44.12
Epoch 036	LOSS: 38.75	MAE: 38.06	RMSE: 44.00
Epoch 037	LOSS: 38.61	MAE: 37.96	RMSE: 43.92
Epoch 038	LOSS: 38.57	MAE: 37.88	RMSE: 43.87
Epoch 039	LOSS: 38.43	MAE: 37.82	RMSE: 43.85
Epoch 040	LOSS: 38.48	MAE: 37.78	RMSE: 43.85
Epoch 041	LOSS: 38.33	MAE: 37.75	RMSE: 43.86
Epoch 042	LOSS: 38.26	MAE: 37.73	RMSE: 43.88
Epoch 043	LOSS: 38.24	MAE: 37.71	RMSE: 43.91
Epoch 044	LOSS: 38.25	MAE: 37.71	RMSE: 43.95
Epoch 045	LOSS: 38.22	MAE: 37.71	RMSE: 43.98
Epoch 046	LOSS: 38.11	MAE: 37.71	RMSE: 44.02
Epoch 047	LOSS: 38.21	MAE: 37.71	RMSE: 44.05
Epoch 048	LOSS: 38.20	MAE: 37.71	RMSE: 44.08
