Epoch 000	LOSS: 66.37	MAE: 64.96	RMSE: 78.00
Epoch 001	LOSS: 65.37	MAE: 63.96	RMSE: 77.06
Epoch 002	LOSS: 64.37	MAE: 62.92	RMSE: 76.05
Epoch 003	LOSS: 63.14	MAE: 61.85	RMSE: 74.99
Epoch 004	LOSS: 62.00	MAE: 60.76	RMSE: 73.89
Epoch 005	LOSS: 60.99	MAE: 59.67	RMSE: 72.74
Epoch 006	LOSS: 60.03	MAE: 58.58	RMSE: 71.54
Epoch 007	LOSS: 58.82	MAE: 57.50	RMSE: 70.32
Epoch 008	LOSS: 57.86	MAE: 56.43	RMSE: 69.07
Epoch 009	LOSS: 56.49	MAE: 55.37	RMSE: 67.80
Epoch 010	LOSS: 55.69	MAE: 54.31	RMSE: 66.50
Epoch 011	LOSS: 54.54	MAE: 53.28	RMSE: 65.19
Epoch 012	LOSS: 53.47	MAE: 52.26	RMSE: 63.88
Epoch 013	LOSS: 52.45	MAE: 51.27	RMSE: 62.56
Epoch 014	LOSS: 51.48	MAE: 50.29	RMSE: 61.25
Epoch 015	LOSS: 50.69	MAE: 49.33	RMSE: 59.94
Epoch 016	LOSS: 49.70	MAE: 48.42	RMSE: 58.67
Epoch 017	LOSS: 48.62	MAE: 47.52	RMSE: 57.40
Epoch 018	LOSS: 47.82	MAE: 46.64	RMSE: 56.14
Epoch 019	LOSS: 47.01	MAE: 45.80	RMSE: 54.93
Epoch 020	LOSS: 46.13	MAE: 44.99	RMSE: 53.76
Epoch 021	LOSS: 45.32	MAE: 44.23	RMSE: 52.64
Epoch 022	LOSS: 44.52	MAE: 43.49	RMSE: 51.55
Epoch 023	LOSS: 43.96	MAE: 42.81	RMSE: 50.55
Epoch 024	LOSS: 43.24	MAE: 42.18	RMSE: 49.61
Epoch 025	LOSS: 42.52	MAE: 41.58	RMSE: 48.73
Epoch 026	LOSS: 41.95	MAE: 41.03	RMSE: 47.92
Epoch 027	LOSS: 41.50	MAE: 40.54	RMSE: 47.21
Epoch 028	LOSS: 41.01	MAE: 40.09	RMSE: 46.57
Epoch 029	LOSS: 40.59	MAE: 39.69	RMSE: 46.00
Epoch 030	LOSS: 40.27	MAE: 39.34	RMSE: 45.52
Epoch 031	LOSS: 39.84	MAE: 39.03	RMSE: 45.10
Epoch 032	LOSS: 39.57	MAE: 38.75	RMSE: 44.76
Epoch 033	LOSS: 39.31	MAE: 38.52	RMSE: 44.48
Epoch 034	LOSS: 39.06	MAE: 38.33	RMSE: 44.26
Epoch 035	LOSS: 38.95	MAE: 38.17	RMSE: 44.10
Epoch 036	LOSS: 38.72	MAE: 38.05	RMSE: 43.98
Epoch 037	LOSS: 38.59	MAE: 37.95	RMSE: 43.91
Epoch 038	LOSS: 38.50	MAE: 37.87	RMSE: 43.86
Epoch 039	LOSS: 38.45	MAE: 37.81	RMSE: 43.85
Epoch 040	LOSS: 38.32	MAE: 37.77	RMSE: 43.85
Epoch 041	LOSS: 38.31	MAE: 37.74	RMSE: 43.86
Epoch 042	LOSS: 38.25	MAE: 37.72	RMSE: 43.89
Epoch 043	LOSS: 38.30	MAE: 37.71	RMSE: 43.92
Epoch 044	LOSS: 38.27	MAE: 37.71	RMSE: 43.95
Epoch 045	LOSS: 38.25	MAE: 37.70	RMSE: 43.98
